id,title,classification,problem,evidence,business_value,technical_value,dependencies,risks,compatibility_impact,test_approach,ux_impact,priority,phase
R11,Object-level permission trimming for portals,Planned Later,"No portal exists; trimming would be unused","No portal in source","External collaboration","Reuses AccessScope","Registry",medium,additive,"Trimming tests per object","Portal screens",11,Stage 7
R12,Retention and archival,Planned Later,"No retention policy","No volume pressure evidenced","Compliance","Table growth control","Registry",low,additive,"Retention window tests",none,12,Later
X1,Full rewrite of any module,Rejected,"No source evidence supports a rewrite","Stage 1 showed targeted enforcement works","-","-","-","Would discard working accounting stock and POS logic","-","-","-",-,Rejected
X2,20 analyzers in Stage 2A,Rejected,"Only two are evidence-backed","Scanner misread 38 endpoints; 46 tests falsely skipped","-","-","-","False positives teach developers to suppress diagnostics","-","-","-",-,Rejected
X3,Blockchain digital twin IoT now,Rejected,"No business case in source","Absent from all requirements and code","-","-","-","Fashionable technology without demand","-","-","-",-,Conditional
X4,Low-code studio,Rejected,"Requires stable Registry workflow engine and permission trimming","None of the three exist","-","-","-","Guarantees rework","-","-","-",-,Rejected
X5,Force every entity into one base class,Rejected,"Entities already persist with divergent conventions (TaskItem.CompanyId vs CompanyID)","Observed in source","-","-","-","Would require touching every table","-","-","-",-,Rejected
X6,Fix 908 company constants inside a feature wave,Rejected,"Large mechanical change to calculation-bearing controllers","Inventory 267 Accounting 201","-","-","-","Folding it into a wave makes the wave unreviewable","-","-","-",-,Own batch
R13,Enterprise Design System,Recommended Now,327 existing views with duplicated UI patterns and no shared token or component layer,327 .cshtml files; Master Data alone forecasts ~26 screens,Consistent bilingual UI across hundreds of future screens,One token+component layer instead of per-screen CSS,Design tokens before 2C screen delivery,Mass retrofit temptation,Additive; no mass rewrite in Phase 0,Visual regression on a sample set; RTL/LTR parity,All future screens,4,2B tokens / 2D catalogs
R14,Domain Catalog,Recommended Now,224 DbSets and 39 controllers with no documented domain ownership,224 DbSets; 16 scanner module buckets incl. a 232-action DevTools bucket,Faster onboarding and clearer ownership,Prevents cross-domain coupling by accident,none,Becomes stale if not generated,none,"Generated from source, not hand-maintained",none,6,2D
R15,Business Capability Map,Recommended Now,"End-to-end flows (Lead to Cash, Procure to Pay) are not documented across modules",Modules exist; no cross-module flow documentation found,Shows where flows break for users,Reveals missing integration points,Domain Catalog,Can become aspirational rather than evidence-based,none,Trace each flow to real endpoints,none,7,2D
R16,API and Integration Catalog,Recommended Now,"289 API actions, 3 hubs, 8 workers with no consolidated contract, auth or idempotency record",289 API actions across 10 controllers; 3 SignalR hubs; 8 hosted services,Safe external integration later,Versioning and idempotency become explicit,none,Secrets must never be documented,none,Assert every API surface has a documented auth mode,none,5,2D
R17,Enterprise UX Review of existing screens,Planned Later,Existing screens predate the design system and vary in pattern,327 views; POS/KDS/lane screens use divergent models legitimately,Consistency where it matters,Identifies real reuse before extracting components,R13,Mass rewrite risk - explicitly out of scope,none,"Sample-based review, not a sweep",Existing screens,9,2D+
R18,WMS reclassified: Partial Build on an existing bin foundation,Required Now,I previously reported WMS as absent. BinLocation and BinStock EXIST,"Models/Context/Inventory: BinLocation, BinStock classes present",Correct scoping prevents rebuilding a foundation that exists,Stage 4 scope shrinks,none,My earlier Full Platform Build classification was wrong,Corrects a Phase 0 statement,Inspect bin usage before designing Stage 4,Stage 4 screens,2,Stage 4 scoping
R19,Manufacturing reclassified: routing and work centres already exist,Required Now,I previously reported no routing or capacity. ManufRoutingOp and ManufWorkCenter EXIST,"Models/Context/Inventory: ManufRoutingOp, ManufWorkCenter, ManufPlan, ManufPlanDemand",Correct scoping; missing piece is scheduling not routing,Stage 5 scope shrinks to capacity levelling,none,My earlier classification overstated the gap,Corrects a Phase 0 statement,Inspect routing usage before designing Stage 5,Stage 5 screens,3,Stage 5 scoping
R20,Separate storefront presentation fields from the Item master,Recommended Now,StoreOldPrice StoreBadge StoreRating StoreVendor StoreHoverImage are e-commerce display concerns on the master record,"Item has 39 properties, 5 of them storefront presentation",Cleaner master data; PIM-ready,Removes presentation coupling from inventory,2C,StoreController reads these and carries parallel-team changes,Read-compatible view during transition,Assert storefront rendering unchanged,Store screens,8,2C
R21,Reconcile duplicated barcode and image sources,Required Now,Item.Barcode coexists with ItemBarcode table; Item.ImagePath coexists with ItemImage,Both pairs present in Inventory.cs,One authoritative answer per fact,Removes a duplication class already seen in roles and company sources,2C,Retiring a column used across modules,Read-compatible view before retirement,Parity tests on barcode lookup and image rendering,Product workspace,1,2C
