"inventory_id","module","scope","action","access_service","mechanism","current_bootstrap_condition","company_behavior","branch_behavior","confidential","financial_impact","inventory_impact","privilege_impact","operational_impact","current_logging","current_audit","admin_visibility","proposed_classification","migration_impact","risk"
"BO-C01","CRM","CRM","read","CrmAccessService","A: legacy early return (CrmAccessService.cs:59)","AnyRoleConfiguredAsync false -> return true BEFORE role and owner checks","per company - unconfigured company is open","none","no confidential tier","credit limits and pricing exposure","none","manage assigns CRM roles","CRM screens","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","Explicitly Allowed Bootstrap Open","seed explicit policy; VisibleOwnerIdsAsync returns null (unrestricted) while open - owner scope must be restored on configuration","owner scoping not applied while open"
"BO-C02","CRM","CRM","edit","CrmAccessService","A: legacy early return (CrmAccessService.cs:59)","AnyRoleConfiguredAsync false -> return true BEFORE role and owner checks","per company - unconfigured company is open","none","no confidential tier","credit limits and pricing exposure","none","manage assigns CRM roles","CRM screens","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","seed explicit policy; VisibleOwnerIdsAsync returns null (unrestricted) while open - owner scope must be restored on configuration","any employee may edit any customer record"
"BO-C03","CRM","CRM","manage","CrmAccessService","A: legacy early return (CrmAccessService.cs:59)","AnyRoleConfiguredAsync false -> return true BEFORE role and owner checks","per company - unconfigured company is open","none","no confidential tier","credit limits and pricing exposure","none","manage assigns CRM roles","CRM screens","NOT logged - legacy early return has no log line","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","seed explicit policy; VisibleOwnerIdsAsync returns null (unrestricted) while open - owner scope must be restored on configuration","RISK-040 CRM administration and role assignment are open"
"BO-D01","HR","HR","read","HrAccessService","B: base class + module discretion","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","confidential tier is separate and closed","leave-manage disburses cash and posts provisions","none","none","HR screens","Information log per decision (base class)","none beyond the log","none - no screen shows bootstrap state","Explicitly Allowed Bootstrap Open","RISK-037: PlatformRoleAssignments has NO production writer so HR cannot leave bootstrap-open at all today","HR screens visible"
"BO-D02","HR","HR","employee-view","HrAccessService","B: base class + module discretion","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","confidential tier is separate and closed","leave-manage disburses cash and posts provisions","none","none","HR screens","Information log per decision (base class)","none beyond the log","none - no screen shows bootstrap state","Explicitly Allowed Bootstrap Open","RISK-037: PlatformRoleAssignments has NO production writer so HR cannot leave bootstrap-open at all today","employee records readable"
"BO-D03","HR","HR","employee-manage","HrAccessService","B: base class + module discretion","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","confidential tier is separate and closed","leave-manage disburses cash and posts provisions","none","none","HR screens","Information log per decision (base class)","none beyond the log","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","RISK-037: PlatformRoleAssignments has NO production writer so HR cannot leave bootstrap-open at all today","employee records editable"
"BO-D04","HR","HR","attendance-manage","HrAccessService","B: base class + module discretion","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","confidential tier is separate and closed","leave-manage disburses cash and posts provisions","none","none","HR screens","Information log per decision (base class)","none beyond the log","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","RISK-037: PlatformRoleAssignments has NO production writer so HR cannot leave bootstrap-open at all today","attendance editable"
"BO-D05","HR","HR","leave-manage","HrAccessService","B: base class + module discretion","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","confidential tier is separate and closed","leave-manage disburses cash and posts provisions","none","none","HR screens","Information log per decision (base class)","none beyond the log","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","RISK-037: PlatformRoleAssignments has NO production writer so HR cannot leave bootstrap-open at all today","RISK-006 encashment provision and carry-over are open - money and balances"
"BO-D06","HR","HR","leave-approve","HrAccessService","B: base class + module discretion","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","confidential tier is separate and closed","leave-manage disburses cash and posts provisions","none","none","HR screens","Information log per decision (base class)","none beyond the log","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","RISK-037: PlatformRoleAssignments has NO production writer so HR cannot leave bootstrap-open at all today","approval out of turn is separately guarded by the chain"
"BO-D07","HR","HR","payroll-view","HrAccessService","B: base class + module discretion","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","confidential tier is separate and closed","leave-manage disburses cash and posts provisions","none","none","HR screens","Information log per decision (base class)","none beyond the log","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","RISK-037: PlatformRoleAssignments has NO production writer so HR cannot leave bootstrap-open at all today","payslip exposure"
"BO-D08","HR","HR","organization-manage","HrAccessService","B: base class + module discretion","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","confidential tier is separate and closed","leave-manage disburses cash and posts provisions","none","none","HR screens","Information log per decision (base class)","none beyond the log","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","RISK-037: PlatformRoleAssignments has NO production writer so HR cannot leave bootstrap-open at all today","org tree editable"
"BO-D09","HR","HR","performance-manage","HrAccessService","B: base class + module discretion","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","confidential tier is separate and closed","leave-manage disburses cash and posts provisions","none","none","HR screens","Information log per decision (base class)","none beyond the log","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","RISK-037: PlatformRoleAssignments has NO production writer so HR cannot leave bootstrap-open at all today","appraisals editable"
"BO-D91","HR","HR","payroll-manage","HrAccessService","B: base class + EXPLICIT EXCLUSION (HrAccessService.cs:115)","explicitly REFUSED under bootstrap-open - already correct","per company - unconfigured company is open","none","confidential-view IS the confidential tier","payroll-manage is the payroll basis","none","none","HR screens","Information log per decision (base class) plus a denial log","none","none - no screen shows bootstrap state","Not Bootstrap Open","no change needed - this is the pattern the other modules should follow","none - correct today and the model for Accounting and Inventory"
"BO-D92","HR","HR","confidential-view","HrAccessService","B: base class + EXPLICIT EXCLUSION (HrAccessService.cs:115)","explicitly REFUSED under bootstrap-open - already correct","per company - unconfigured company is open","none","confidential-view IS the confidential tier","payroll-manage is the payroll basis","none","none","HR screens","Information log per decision (base class) plus a denial log","none","none - no screen shows bootstrap state","Not Bootstrap Open","no change needed - this is the pattern the other modules should follow","none - correct today and the model for Accounting and Inventory"
"BO-E01","Projects","Projects","read","ProjectsAccessService","B: base class + module discretion (ProjectsAccessService.cs:116,126,133)","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","no confidential tier","budget-manage gates PostLabor PostMaterialIssue PostEquipmentDepreciation","material issue moves stock","none","project screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Explicitly Allowed Bootstrap Open","RISK-037 applies - no production writer, so Projects is bootstrap-open today","project data readable"
"BO-E02","Projects","Projects","create","ProjectsAccessService","B: base class + module discretion (ProjectsAccessService.cs:116,126,133)","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","no confidential tier","budget-manage gates PostLabor PostMaterialIssue PostEquipmentDepreciation","material issue moves stock","none","project screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","RISK-037 applies - no production writer, so Projects is bootstrap-open today","projects creatable"
"BO-E03","Projects","Projects","edit","ProjectsAccessService","B: base class + module discretion (ProjectsAccessService.cs:116,126,133)","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","no confidential tier","budget-manage gates PostLabor PostMaterialIssue PostEquipmentDepreciation","material issue moves stock","none","project screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","RISK-037 applies - no production writer, so Projects is bootstrap-open today","projects editable"
"BO-E04","Projects","Projects","budget-view","ProjectsAccessService","B: base class + module discretion (ProjectsAccessService.cs:116,126,133)","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","no confidential tier","budget-manage gates PostLabor PostMaterialIssue PostEquipmentDepreciation","material issue moves stock","none","project screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Explicitly Allowed Bootstrap Open","RISK-037 applies - no production writer, so Projects is bootstrap-open today","budget readable"
"BO-E05","Projects","Projects","budget-manage","ProjectsAccessService","B: base class + module discretion (ProjectsAccessService.cs:116,126,133)","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","no confidential tier","budget-manage gates PostLabor PostMaterialIssue PostEquipmentDepreciation","material issue moves stock","none","project screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","RISK-037 applies - no production writer, so Projects is bootstrap-open today","budget-manage is the only accounting check for GL-reaching project actions"
"BO-E06","Projects","Projects","close","ProjectsAccessService","B: base class + module discretion (ProjectsAccessService.cs:116,126,133)","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","no confidential tier","budget-manage gates PostLabor PostMaterialIssue PostEquipmentDepreciation","material issue moves stock","none","project screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","RISK-037 applies - no production writer, so Projects is bootstrap-open today","project closure"
"BO-E07","Projects","Projects","manage","ProjectsAccessService","B: base class + module discretion (ProjectsAccessService.cs:116,126,133)","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","none","no confidential tier","budget-manage gates PostLabor PostMaterialIssue PostEquipmentDepreciation","material issue moves stock","none","project screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","RISK-037 applies - no production writer, so Projects is bootstrap-open today","company-wide project administration"
"BO-E08","Projects","Projects","billing","ProjectsAccessService","B: base class, but DELEGATES to AccountingAccessService","requires accounting post as well - so it inherits Accounting bootstrap-open","per company - unconfigured company is open","none","no confidential tier","progress billing posts to the GL","none","none","project billing screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","closing Accounting post also closes project billing - a single fix covers both","RISK-040 open today only because Accounting post is open"
"BO-F01","Tasks","Tasks","read","TasksAccessService","B: base class + module discretion (TasksAccessService.cs:107,125,177)","bootstrap-open still REQUIRES a record relationship for a named task (:177)","per company - unconfigured company is open","none","no confidential tier","GenerateInvoice is separately gated by accounting post","PostLaborToWO posts work-order cost","none","task screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Explicitly Allowed Bootstrap Open","narrowest bootstrap-open in the platform: module-level open, record-level still relational","low - relationship requirement bounds the exposure"
"BO-F02","Tasks","Tasks","create","TasksAccessService","B: base class + module discretion (TasksAccessService.cs:107,125,177)","bootstrap-open still REQUIRES a record relationship for a named task (:177)","per company - unconfigured company is open","none","no confidential tier","GenerateInvoice is separately gated by accounting post","PostLaborToWO posts work-order cost","none","task screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Explicitly Allowed Bootstrap Open","narrowest bootstrap-open in the platform: module-level open, record-level still relational","low - relationship requirement bounds the exposure"
"BO-F03","Tasks","Tasks","edit","TasksAccessService","B: base class + module discretion (TasksAccessService.cs:107,125,177)","bootstrap-open still REQUIRES a record relationship for a named task (:177)","per company - unconfigured company is open","none","no confidential tier","GenerateInvoice is separately gated by accounting post","PostLaborToWO posts work-order cost","none","task screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","narrowest bootstrap-open in the platform: module-level open, record-level still relational","low - relationship requirement bounds the exposure"
"BO-F04","Tasks","Tasks","assign","TasksAccessService","B: base class + module discretion (TasksAccessService.cs:107,125,177)","bootstrap-open still REQUIRES a record relationship for a named task (:177)","per company - unconfigured company is open","none","no confidential tier","GenerateInvoice is separately gated by accounting post","PostLaborToWO posts work-order cost","none","task screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","narrowest bootstrap-open in the platform: module-level open, record-level still relational","low - relationship requirement bounds the exposure"
"BO-F05","Tasks","Tasks","reassign","TasksAccessService","B: base class + module discretion (TasksAccessService.cs:107,125,177)","bootstrap-open still REQUIRES a record relationship for a named task (:177)","per company - unconfigured company is open","none","no confidential tier","GenerateInvoice is separately gated by accounting post","PostLaborToWO posts work-order cost","none","task screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","narrowest bootstrap-open in the platform: module-level open, record-level still relational","low - relationship requirement bounds the exposure"
"BO-F06","Tasks","Tasks","complete","TasksAccessService","B: base class + module discretion (TasksAccessService.cs:107,125,177)","bootstrap-open still REQUIRES a record relationship for a named task (:177)","per company - unconfigured company is open","none","no confidential tier","GenerateInvoice is separately gated by accounting post","PostLaborToWO posts work-order cost","none","task screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","narrowest bootstrap-open in the platform: module-level open, record-level still relational","low - relationship requirement bounds the exposure"
"BO-F07","Tasks","Tasks","reopen","TasksAccessService","B: base class + module discretion (TasksAccessService.cs:107,125,177)","bootstrap-open still REQUIRES a record relationship for a named task (:177)","per company - unconfigured company is open","none","no confidential tier","GenerateInvoice is separately gated by accounting post","PostLaborToWO posts work-order cost","none","task screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","narrowest bootstrap-open in the platform: module-level open, record-level still relational","low - relationship requirement bounds the exposure"
"BO-F08","Tasks","Tasks","manage","TasksAccessService","B: base class + EXPLICIT EXCLUSION (TasksAccessService.cs:125)","bootstrapOpen ? action != Manage - manage is refused","per company - unconfigured company is open","none","no confidential tier","none","none","company-wide task administration","task screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Not Bootstrap Open","already correct","none"
"BO-G01","Communication","Communication","read","CommunicationAccessService","B: base class + module discretion (CommunicationAccessService.cs:102)","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","announcement audience honours ScopeBranchId when grants exist","no confidential tier","none","none","none","chat and announcement screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Explicitly Allowed Bootstrap Open","membership checks are INDEPENDENT of bootstrap-open - Read=>isMember holds even when open","module-level only - conversation read still requires membership"
"BO-G02","Communication","Communication","send","CommunicationAccessService","B: base class + module discretion (CommunicationAccessService.cs:102)","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","announcement audience honours ScopeBranchId when grants exist","no confidential tier","none","none","none","chat and announcement screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Explicitly Allowed Bootstrap Open","membership checks are INDEPENDENT of bootstrap-open - Read=>isMember holds even when open","module-level only - membership still required per conversation"
"BO-G03","Communication","Communication","create-group","CommunicationAccessService","B: base class + module discretion (CommunicationAccessService.cs:102)","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","announcement audience honours ScopeBranchId when grants exist","no confidential tier","none","none","none","chat and announcement screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Explicitly Allowed Bootstrap Open","membership checks are INDEPENDENT of bootstrap-open - Read=>isMember holds even when open","group creation"
"BO-G04","Communication","Communication","announcement-send","CommunicationAccessService","B: base class + module discretion (CommunicationAccessService.cs:102)","grants.Count==0 AND AnyConfiguredAsync false -> module decides","per company - unconfigured company is open","announcement audience honours ScopeBranchId when grants exist","no confidential tier","none","none","none","chat and announcement screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Legacy Behavior Requiring Migration","membership checks are INDEPENDENT of bootstrap-open - Read=>isMember holds even when open","company-wide announcement while unconfigured"
"BO-G05","Communication","Communication","manage-group","CommunicationAccessService","B: base class, membership-based","requires Owner or commAdmin - membership not bypassed","per company - unconfigured company is open","none","no confidential tier","none","none","none","chat screens","Information log per decision (base class)","none","none - no screen shows bootstrap state","Not Bootstrap Open","membership rule is independent","none"
"BO-G06","Communication","Communication","outbox-manage","CommunicationAccessService","B: base class + EXPLICIT EXCLUSION","explicitly refused under bootstrap-open - email bodies are never open by default","per company - unconfigured company is open","none","email bodies are restricted payload","none","none","none","outbox screens","Information log per decision (base class) plus a denial log","none","none - no screen shows bootstrap state","Not Bootstrap Open","already correct - the second model to follow","none"
"BO-H01","POS","POS","view sell order kitchen manage","PosAccessService","NEITHER - no bootstrap path exists","ResolveByUserIdAsync returns null when no BranchUserRole exists -> NO ACCESS","no company on the table","BranchId owns the row and target branch must match","no confidential tier","none","none","none","POS lanes","none","none","none - no screen shows bootstrap state","Not Bootstrap Open","POS is already closed-by-default and is the strongest module in this respect","none - POS lane guards are NOT bootstrap-open and must not be classified as such"
"BO-H02","Platform","Platform","platform operations","PlatformOpsAttribute","NEITHER - identity role or accounting manage","requires an Identity admin role OR accounting manage","global","none","exposes cross-module audit payloads","none","none","platform operations","event monitor","none","none","none - no screen shows bootstrap state","NEVER BOOTSTRAP OPEN","INHERITS Accounting bootstrap-open through the accounting-manage fallback - documented in the attribute itself","RISK-042 PlatformOps is reachable via accounting manage which is bootstrap-open today"
"BO-H03","Platform","Platform","system-context actions","SystemContextPolicy","NEITHER - code policy","BusinessContext.IsSystem plus SystemContextPolicy.Allows","explicit worker company","none","no confidential tier","system actions can post","none","none","background workers","worker logs","none","none - no screen shows bootstrap state","Not Bootstrap Open","code policy - must never be settable as a grant or a bootstrap policy","none - already outside the bootstrap mechanism"
