stage,record,dimension,weight,level,percent,score,delta_vs_previous,evidence
001,Stage-001-Batch-A-Result.md,Deployment and Operations,3,1,20,0.60,0.00,"one new script written to the existing discipline; still no manifest, no applied-scripts table, no runbook, no single-process control"
001,Stage-001-Batch-A-Result.md,TOTAL,100,,,47.50,3.50,"164 tests passing; no regressions; slice 2 and slice 3 SQL code-complete but not deployed (R4)"
002,Stage-002-Stage-0-Result.md,ERP Business Coverage,20,3,60,12.00,0.00,unchanged - Batch B added no business function
002,Stage-002-Stage-0-Result.md,Security and Company Isolation,15,2+,50,7.50,0.00,"a NEW surface (Business Event Monitor) gated correctly is not a system-wide improvement; 306 unguarded mutating actions, absent EF query filters, DefaultCompanyId=1 and unguarded upload URLs all unchanged (R5)"
002,Stage-002-Stage-0-Result.md,Platform Kernel and Audit,10,4,80,8.00,1.00,"level 4 met in full: operator observability (Business Event Monitor - server-paged, company-isolated, payload-masked) AND a guarded retry path (RetryAsync); plus PlatformSchemaHistory deployment-state tracking; a real read-then-write race with stale-claim reclaim was found and closed"
002,Stage-002-Stage-0-Result.md,Business Object Coverage,10,1,20,2.00,0.00,unchanged - 9/58 registered, timeline on 4
002,Stage-002-Stage-0-Result.md,Task and Work Management,10,3,60,6.00,0.00,unchanged
002,Stage-002-Stage-0-Result.md,Workflow and Approvals,10,2,40,4.00,0.00,unchanged - four silos remain
002,Stage-002-Stage-0-Result.md,Communication and Collaboration,10,2+,50,5.00,0.00,"a failed notification is now visible and retryable, but that is scored under Kernel observability and not double-counted; no channel became entity-addressable"
002,Stage-002-Stage-0-Result.md,"Search, AI and Intelligence",7,1,20,1.40,0.00,unchanged
002,Stage-002-Stage-0-Result.md,Testing and Reliability,5,2+,50,2.50,0.50,"230 tests; the deployment SCRIPTS are now tested (9 schema tests applying slice 1 x3 and slices 2-3 x2, asserting every PK/FK/CHECK/unique/filtered index); concurrency proven by an injected interleave rather than by timing; a pre-existing 50%-flaky test root-caused (app clock vs SYSUTCDATETIME at zero backoff) and fixed, stability verified over 8 consecutive runs; business modules still have zero tests, no CI"
002,Stage-002-Stage-0-Result.md,Deployment and Operations,3,3,60,1.80,1.20,"level 3 met in full: manifest.json (110 scripts, rank, SHA-256, encoding, per-batch guard verdict, 0 unread, 4 name collisions surfaced) + PlatformSchemaHistory with applied/changed/failed/pending/missing reporting + SQL-Deployment-Runbook with 7 smoke tests + single-worker-process control enforced by a SQL Server session app lock, 6/6 workers gated"
002,Stage-002-Stage-0-Result.md,TOTAL,100,,,50.20,2.70,"230 tests passing, stable over 8 consecutive runs; no regressions; one measurement correction (CORRECTION-002: unguarded mutating actions 267 -> 306) already absorbed into the baseline so the series stays on one basis"
003,Stage-003-Stage-1-Batch-A-Result.md,ERP Business Coverage,20,3,60,12.00,0.00,unchanged - no business function added; multi-tenancy still nominal (767 DefaultCompanyId call sites; FiscalPeriod has no CompanyID)
003,Stage-003-Stage-1-Batch-A-Result.md,Security and Company Isolation,15,3,60,9.00,1.50,"TWO causes reported separately (R7): (a) CORRECTION-003 - coverage is 195/384 (51%) not 76/381 (20%), a measurement fix, no attributes were added; (b) WORK - company-1 fallback deleted from BusinessContextAccessor (fired on the live POS KDS/delivery path), const CompanyId=1 removed from 4 shared security services incl. InventoryApprovalService which replayed stock/PO commands into company 1, cross-company denial added to PlatformPermissionProvider before any module check, IsSystem=>Allow replaced by SystemContextPolicy. RESIDUAL keeping this at 60: no EF query filters yet, isolation is at the permission boundary not the data boundary"
003,Stage-003-Stage-1-Batch-A-Result.md,Platform Kernel and Audit,10,4+,90,9.00,1.00,"ADR-006's documented limitation closed - NotificationProjectionConsumer's per-recipient check was nominal (adapters discarded the BusinessContext and read Session + const company); now genuinely excludes unauthorized, cross-company, inactive and no-company recipients, proven by a recording provider asserting one question per recipient with that recipient's own context. System-context bypass governed by an explicit allow-list. Residuals for level 5: no BusinessEvents retention policy; registry covers 9/58 objects"
003,Stage-003-Stage-1-Batch-A-Result.md,Business Object Coverage,10,1,20,2.00,0.00,unchanged - 9/58 registered, timeline on 4
003,Stage-003-Stage-1-Batch-A-Result.md,Task and Work Management,10,3,60,6.00,0.00,unchanged
003,Stage-003-Stage-1-Batch-A-Result.md,Workflow and Approvals,10,2,40,4.00,0.00,"unchanged - InventoryApprovalService became company-correct (scored under Security); the four silos, the missing engine and the recordless discount silo are all as they were"
003,Stage-003-Stage-1-Batch-A-Result.md,Communication and Collaboration,10,2+,50,5.00,0.00,"unchanged - the notification consumer's new exclusions are scored under Kernel enforcement and deliberately not double-counted; no channel became entity-addressable, CommMessage still has no EntityType"
003,Stage-003-Stage-1-Batch-A-Result.md,"Search, AI and Intelligence",7,1,20,1.40,0.00,unchanged - IModuleAccessService is the contract AI Context needs but R3 forbids points for a prerequisite nothing uses yet
003,Stage-003-Stage-1-Batch-A-Result.md,Testing and Reliability,5,2+,50,2.50,0.00,"+53 tests (230 -> 283) and it moves NOTHING: level 3 needs the financial writers and business flows tested, and all 53 exercise context/permission/notification. Accounting, Inventory, POS, HR, CRM, Projects still have zero; neither sanctioned writer has an accounting or costing test"
003,Stage-003-Stage-1-Batch-A-Result.md,Deployment and Operations,3,3,60,1.80,0.00,unchanged - Batch A is code-only; no SQL, no schema change, no deployment coupling
003,Stage-003-Stage-1-Batch-A-Result.md,TOTAL,100,,,52.70,2.50,"283/283 tests passing; before 50.20, after 52.70, net +2.50pp, relative +4.98%; no regressions; one measurement correction (CORRECTION-003: backlog 306 -> 189, overstated by 62%) whose contribution is reported separately from the work"
004,Stage-004-Stage-1-Batch-B-Result.md,ERP Business Coverage,20,3,60,12.00,0.00,unchanged - Batch B adds no business capability
004,Stage-004-Stage-1-Batch-B-Result.md,Security and Company Isolation,15,3+,70,10.50,1.50,"12/261 entities (4.6%) enforced on read AND write; company scope resolved per request by middleware; 4 cross-company flows now named/authorized/audited (ADR-023); fail-closed on an unresolved scope; raw SQL inventoried + 1 cross-company read fixed; NOT system-wide - 128 CompanyScopedDirect entities remain unfiltered, backlog 193 actions"
004,Stage-004-Stage-1-Batch-B-Result.md,Platform Kernel and Audit,10,4+,90,9.00,0.00,unchanged - bypass audit added but no kernel capability
004,Stage-004-Stage-1-Batch-B-Result.md,Business Object Coverage,10,1,20,2.00,0.00,unchanged
004,Stage-004-Stage-1-Batch-B-Result.md,Task and Work Management,10,3,60,6.00,0.00,unchanged
004,Stage-004-Stage-1-Batch-B-Result.md,Workflow and Approvals,10,2,40,4.00,0.00,unchanged
004,Stage-004-Stage-1-Batch-B-Result.md,Communication and Collaboration,10,2+,50,5.00,0.00,unchanged
004,Stage-004-Stage-1-Batch-B-Result.md,"Search, AI and Intelligence",7,1,20,1.40,0.00,unchanged
004,Stage-004-Stage-1-Batch-B-Result.md,Testing and Reliability,5,2+,50,2.50,0.00,"+129 tests (283 -> 412) and it moves NOTHING: Stage 003 set level 3 as requiring the financial writers and business flows tested, and all 129 exercise isolation/permission/bypass. Neither sanctioned writer gained an accounting or costing test"
004,Stage-004-Stage-1-Batch-B-Result.md,Deployment and Operations,3,3,60,1.80,0.00,"unchanged - no script, runbook or deployment mechanism changed; NO SQL executed against any database"
004,Stage-004-Stage-1-Batch-B-Result.md,TOTAL,100,,,54.20,1.50,"412/412 tests passing on SQL Server (0 skipped); before 52.70, after 54.20, net +1.50pp; one measurement correction (CORRECTION-004: backlog 189 -> 193) reported separately from the work"
005,Stage-005-Hotfix-A1-Result.md,ERP Business Coverage,20,3,60,12.00,0.00,unchanged
005,Stage-005-Hotfix-A1-Result.md,Security and Company Isolation,15,3+,70,10.50,0.00,"10 Critical financial API endpoints authorized + company-validated + 79 tests, and it moves NOTHING: level 80 requires ""no hard-coded company anywhere"" and AccountingController still uses DefaultCompanyId while PosCompanyPolicy.CatalogCompanyId=1 remains. 10-point steps leave only 70 or 80; inventing 75 would break the model"
005,Stage-005-Hotfix-A1-Result.md,Platform Kernel and Audit,10,4+,90,9.00,0.00,unchanged
005,Stage-005-Hotfix-A1-Result.md,Business Object Coverage,10,1,20,2.00,0.00,unchanged
005,Stage-005-Hotfix-A1-Result.md,Task and Work Management,10,3,60,6.00,0.00,unchanged
005,Stage-005-Hotfix-A1-Result.md,Workflow and Approvals,10,2,40,4.00,0.00,unchanged
005,Stage-005-Hotfix-A1-Result.md,Communication and Collaboration,10,2+,50,5.00,0.00,unchanged
005,Stage-005-Hotfix-A1-Result.md,"Search, AI and Intelligence",7,1,20,1.40,0.00,unchanged
005,Stage-005-Hotfix-A1-Result.md,Testing and Reliability,5,2+,50,2.50,0.00,"+80 tests (412 -> 492) and it moves NOTHING: level 3 needs the financial WRITERS tested; these test the controller with a recording service double, and JournalEntryService/StockService still have no accounting or costing test"
005,Stage-005-Hotfix-A1-Result.md,Deployment and Operations,3,3,60,1.80,0.00,"unchanged - no schema, script or deployment change; NO SQL executed against any database"
005,Stage-005-Hotfix-A1-Result.md,TOTAL,100,,,54.20,0.00,"492/492 tests passing on SQL Server (0 skipped); before 54.20, after 54.20, net 0.00pp; backlog 193 -> 183 by implementation, not by correction; no maturity credit for A6 design docs or A8/A9 roadmap"
006,Stage-006-Stage-1-Batch-C-Result.md,ERP Business Coverage,20,3,60,12.00,0.00,unchanged
006,Stage-006-Stage-1-Batch-C-Result.md,Security and Company Isolation,15,3+,70,10.50,0.00,"Foundations for 3 modules that had ZERO authorization + 111 tests, and it moves NOTHING: only 4 of 118 in-scope mutating actions are enforced (the C9 proof set, narrow by instruction), and level 80 still requires ""no hard-coded company anywhere"" which AccountingController/ProjectController/TasksController DefaultCompanyId and PosCompanyPolicy.CatalogCompanyId=1 all violate"
006,Stage-006-Stage-1-Batch-C-Result.md,Platform Kernel and Audit,10,4+,90,9.00,0.00,unchanged
006,Stage-006-Stage-1-Batch-C-Result.md,Business Object Coverage,10,1,20,2.00,0.00,unchanged
006,Stage-006-Stage-1-Batch-C-Result.md,Task and Work Management,10,3,60,6.00,0.00,"authorization added to Tasks, not capability - this dimension does not measure authorization"
006,Stage-006-Stage-1-Batch-C-Result.md,Workflow and Approvals,10,2,40,4.00,0.00,"unchanged - no workflow built; leave-approve reuses the EXISTING approver chain"
006,Stage-006-Stage-1-Batch-C-Result.md,Communication and Collaboration,10,2+,50,5.00,0.00,"authorization added to Communication, not capability"
006,Stage-006-Stage-1-Batch-C-Result.md,"Search, AI and Intelligence",7,1,20,1.40,0.00,"unchanged - AccessScope is the seam for Search/AI, none of them built"
006,Stage-006-Stage-1-Batch-C-Result.md,Testing and Reliability,5,2+,50,2.50,0.00,"+112 tests (492 -> 604) and it moves NOTHING: level 3 needs the financial WRITERS tested; these cover authorization"
006,Stage-006-Stage-1-Batch-C-Result.md,Deployment and Operations,3,3,60,1.80,0.00,"2 new idempotent scripts verified TWICE on a disposable SQL Server + 13 constraint tests, then dropped; manifest hashes recorded; NO SQL executed against any real database"
006,Stage-006-Stage-1-Batch-C-Result.md,TOTAL,100,,,54.20,0.00,"604/604 on SQL Server (0 skipped); before 54.20, after 54.20, net 0.00pp; backlog 183 -> 183 is a COINCIDENCE (-2 Batch C proofs, +2 concurrent parallel-team mutating actions); batch completion ~85% with 2 disclosed Partial items (AccessScope query-demo test, SignalR hub adoption)"
007,Stage-007-Stage-1-Closure-Result.md,ERP Business Coverage,20,3,60,12.00,+0.00,Stage 1 added NO business features by instruction; unchanged
007,Stage-007-Stage-1-Closure-Result.md,Security and Company Isolation,15,3+,80,12.00,+1.50,"Critical endpoints 40->0; backlog 183->143; 40 endpoints on a validated company source; 3 real leaks closed (hub read, CRM hierarchy, leave approver); CORRECTION-005. Capped: 59 High untouched, 908 company constants remain"
007,Stage-007-Stage-1-Closure-Result.md,Platform Kernel and Audit,10,4+,90,9.00,+0.00,"Unchanged - scanner modernization is measurement, not kernel"
007,Stage-007-Stage-1-Closure-Result.md,Business Object Coverage,10,1,20,2.00,+0.00,Unchanged
007,Stage-007-Stage-1-Closure-Result.md,Task and Work Management,10,3,60,6.00,+0.00,Unchanged
007,Stage-007-Stage-1-Closure-Result.md,Workflow and Approvals,10,2,45,4.50,+0.50,Leave approver chain company-intersected and hierarchy-defect handling prevents silent auto-approval (C.1-3)
007,Stage-007-Stage-1-Closure-Result.md,Communication and Collaboration,10,2+,50,5.00,+0.00,Unchanged - hub fix counted under Security
007,Stage-007-Stage-1-Closure-Result.md,"Search, AI and Intelligence",7,1,20,1.40,+0.00,Unchanged
007,Stage-007-Stage-1-Closure-Result.md,Testing and Reliability,5,2+,75,3.75,+1.25,"112 -> 763 tests, 0 skipped (all SQL proofs execute); real SQL Server lock/rollback/refusal proofs; DI graph container-verified; bootstrap-open trap pinned; scanner verified before use. Capped: no load harness, no mutation testing"
007,Stage-007-Stage-1-Closure-Result.md,Deployment and Operations,3,3,65,1.95,+0.15,"F4 fixture creates disposable DBs from the EF model; 115 SQL scripts manifested. Capped: 2 tables unapplied to CrossBuyDB2, shared tree broken by parallel WIP"
007,Stage-007-Stage-1-Closure-Result.md,TOTAL,100,,,57.60,+3.40,Stage 1 CLOSED. Previous 54.20 -> 57.60. Relative +6.3%
