classification,entity,dbset,table,module,company_field,company_nullable,branch_field,soft_delete,rows_crossbuydb2,null_company_rows,distinct_companies,in_pilot,filter_readiness,bypass_required_by,raw_sql,migration_risk,evidence
CompanyScopedDirect,BusinessEvent,BusinessEvents,BusinessEvents,Platform,CompanyID,False,BranchID,False,88,0,1,YES,"ready ONLY behind a bypass","BusinessEventDispatchWorker.cs:103 loads events by id with NO company predicate; the outbox queue spans every company in one pass. BusinessEventMonitorService elevated cross-company view.",none,HIGH,"BL/Platform/BusinessEventDispatchWorker.cs:103; BL/Platform/BusinessEventMonitorService.cs"
CompanyScopedDirect,Notification,Notifications,Notifications,Platform,CompanyID,TRUE,BranchID,False,1248,0,1,YES,"ready ONLY behind a bypass AND with an explicit NULL decision","NotificationProjectionConsumer.cs:71 and NotificationService.cs:33 read (RecipientEmployeeID, DedupKey) with NO company predicate - the idempotency guard. NotificationService.cs:39 resolves the company from the recipient's Employee row.",none,HIGH,"BL/Platform/NotificationProjectionConsumer.cs:71; BL/NotificationService.cs:33,39; Models/Context/Admin/Notification.cs"
ExcludedByInstruction,StockBalance,StockBalances,StockBalances,Inventory,CompanyID,False,,False,,,,NO,"BLOCKED - needs a dedicated SQL Server locking test first","StockService.cs:452 reads it with FromSqlInterpolated + WITH (UPDLOCK, HOLDLOCK) - the sole-writer overselling guard. EF composes a global filter AROUND a FromSql, changing the locking query plan.",FromSqlInterpolated,SEVERE,BL/StockService.cs:452
SecuritySensitive,Employee,Employee,Employee,HR,EmpCompanyID,False,BranchID,False,,,,NO,"MUST NOT be filtered","BusinessContextFactory reads Employee to RESOLVE the company. Filtering it creates a circular dependency: resolve company -> query Employee -> apply company filter -> resolve company.",none,SEVERE,BL/Platform/BusinessContextFactory.cs
SecuritySensitive,AccountingUserRole,AccountingUserRoles,AccountingUserRoles,Accounting,CompanyID,False,,False,,,,NO,"MUST NOT be filtered","Read by AccountingAccessService to decide permission, and by NotificationProjectionConsumer to resolve the audience across the event's company.",none,SEVERE,BL/AccountingAccessService.cs
SecuritySensitive,InventoryUserRole,InventoryUserRoles,InventoryUserRoles,Inventory,CompanyID,False,,False,,,,NO,"MUST NOT be filtered",same as AccountingUserRole,none,SEVERE,BL/InventoryAccessService.cs
SecuritySensitive,CrmUserRole,CrmUserRoles,CrmUserRoles,CRM,CompanyID,False,,False,,,,NO,"MUST NOT be filtered",same as AccountingUserRole,none,SEVERE,BL/CrmAccessService.cs
SecuritySensitive,BranchUserRole,BranchUserRoles,BranchUserRoles,POS,,,BranchId,False,,,,NO,"MUST NOT be filtered - has no CompanyID at all",Read by PosAccessService.ResolveByUserIdAsync to establish POS access before any context exists.,none,SEVERE,BL/PosAccessService.cs
CrossCompanyOperational,Companies,Companies,Companies,Admin,CompanyID,False,,False,,,,NO,"MUST NOT be filtered","ServiceController.CompaniesList -> GetAllCompaniesAsync() is genuine cross-company administration. WorkerCompanyScope.EligibleCompanyIdsAsync enumerates every company for the schedulers.",none,SEVERE,"Controllers/ServiceController.cs:33; BL/Platform/WorkerCompanyScope.cs:28"
CrossCompanyOperational,Branch,Branches,Branches,Admin,CompanyID,False,,False,,,,NO,"MUST NOT be filtered","PosController:46 lists companies via their branches; BusinessContextFactory validates a session branch against the company before the context exists.",none,SEVERE,"Controllers/PosController.cs:46; BL/Platform/BusinessContextFactory.cs"
CrossCompanyOperational,Hierarchical,Hierarchicals,Hierarchicals,Admin,,,,False,,,,NO,"MUST NOT be filtered - has no CompanyID","CrmAccessService.TeamOwnerIdsAsync loads the WHOLE org tree to resolve a manager's team; it is the org-resolution substrate.",none,SEVERE,BL/CrmAccessService.cs
CrossCompanyOperational,AspNet* (Identity),n/a,AspNetUsers/Roles/...,Identity,,,,False,,,,NO,"MUST NOT be filtered",IdentityDbContext tables; sign-in happens before any company is known.,none,SEVERE,Models/Context/CrossDbContext.cs
LegacyUnclear,FiscalPeriod,FiscalPeriods,FiscalPeriods,Accounting,,,,False,,,,NO,"NOT ELIGIBLE - no CompanyID column at all","Risk R12: period open/close may be global across companies. Adding isolation is a business decision, not a filter.",none,n/a,Models/Context/Accounting/AccountingFoundation.cs
LegacyUnclear,LeaveRequest,LeaveRequests,LeaveRequests,HR,,,,False,,,,NO,"NOT ELIGIBLE - no CompanyID",Approval silo 1; gap B6 notes LeaveApprovalStep/EmployeeRequestStep are the same shape twice.,none,n/a,Models/Context/Admin/LeaveRequest.cs
LegacyUnclear,LeaveApprovalStep,LeaveApprovalSteps,LeaveApprovalSteps,HR,,,,False,,,,NO,"NOT ELIGIBLE - no CompanyID",as above,none,n/a,Models/Context/Admin/LeaveApprovalStep.cs
LegacyUnclear,EmployeeRequestStep,EmployeeRequestSteps,EmployeeRequestSteps,HR,,,,False,,,,NO,"NOT ELIGIBLE - no CompanyID",as above,none,n/a,Models/Context/Admin/EmployeeRequest.cs
CompanyScopedIndirect,SalesInvoiceLine,SalesInvoiceLines,SalesInvoiceLines,Accounting,,,,False,,,,NO,"isolate via the parent header","No CompanyID of its own. A filter would need a navigation into the header, risking N+1 and breaking Include().",none,n/a,Models/Context/Accounting/ReceivablesPayables.cs
CompanyScopedIndirect,PurchaseInvoiceLine,PurchaseInvoiceLines,PurchaseInvoiceLines,Accounting,,,,False,,,,NO,"isolate via the parent header",as above,none,n/a,Models/Context/Accounting/ReceivablesPayables.cs
CompanyScopedIndirect,JournalEntryLine,JournalEntryLines,JournalEntryLines,Accounting,,,,False,,,,NO,"isolate via the parent header",as above,none,n/a,Models/Context/Accounting/GeneralLedger.cs
CompanyScopedIndirect,QuotationLine,QuotationLines,QuotationLines,Inventory,,,,False,,,,NO,"isolate via the parent header",as above,none,n/a,Models/Context/Inventory/Quotation.cs
CompanyScopedIndirect,BusinessEventDispatch,BusinessEventDispatches,BusinessEventDispatch,Platform,,,,False,141,,,NO,"MUST NOT be filtered - it is a QUEUE","No CompanyID. SqlEventDispatchStore.ClaimPendingAsync claims work across every company in one atomic statement; a company filter would partition the queue and stall other companies.",none,SEVERE,BL/Platform/SqlEventDispatchStore.cs
CompanyScopedIndirect,CommAttachment,CommAttachments,CommAttachments,Communication,,,,False,,,,NO,"isolate via the parent CommMessage",no CompanyID of its own,none,n/a,Models/Context/Comm/CommMessage.cs
CompanyScopedIndirect,ChatMessage,ChatMessages,ChatMessages,Communication,,,,False,,,,NO,"isolate via the parent Conversation",no CompanyID of its own,none,n/a,Models/Context/Chat/Chat.cs
GlobalReference,Currency,Currencies,Currencies,Accounting,,,,False,,,,NO,"NEVER filter - genuinely global",Shared reference data; a filter would empty every currency picker.,none,n/a,Models/Context/Accounting/AccountingFoundation.cs
GlobalReference,ExchangeRate,ExchangeRates,ExchangeRates,Accounting,,,,False,,,,NO,"NEVER filter - genuinely global",as above,none,n/a,Models/Context/Accounting/AccountingFoundation.cs
GlobalReference,AccountType,AccountTypes,AccountTypes,Accounting,,,,False,,,,NO,"NEVER filter - genuinely global",as above,none,n/a,Models/Context/Accounting/AccountingFoundation.cs
GlobalReference,ItemTypes,ItemTypes,ItemTypes,Inventory,,,,False,,,,NO,"NEVER filter - genuinely global",as above,none,n/a,Models/Context/Inventory/Inventory.cs
BranchScoped,BranchPosSetting,BranchPosSettings,BranchPosSettings,POS,,,BranchId,False,,,,NO,"not in the pilot - branch semantics differ per module",22 entities carry BranchID; branch scoping is a separate decision from company scoping.,none,n/a,Models/Context/Pos/OperationsPlatform.cs
