"risk_id","legacy_id","description","evidence","probability","impact","severity","affected_domains","current_control","mitigation","target_phase","owner_role","trigger_condition","acceptance_evidence"
"RISK-008","R-08","Hand-written schema can diverge from the EF model with no failing test","Idempotent SQL not migrations; unit tests run on SQLite which does not enforce cascade restrictions","Medium","High","High","Platform","None","Model-vs-database comparison test on a scratch DB","2A","Platform owner","A column or FK added in SQL only","Divergence report empty or explicitly accepted"
"RISK-009","R-09","Item.Barcode column coexists with the ItemBarcode table","Both present in Models/Context/Inventory/Inventory.cs","Certain","Medium","High","Master Data Inventory POS Sales","None - two sources of one fact","IMP-004 ItemBarcode authoritative with read precedence; column retained in Phase 0; structural divergence test","2C","Master Data owner","Barcode lookup returns different answers","Parity test on barcode resolution across both sources"
"RISK-012","R-12","Uploaded files may be reachable without authorization","Three file stores FileManager HR documents project files; no unified authorization","Medium","High","High","Documents HR Projects Communication","Per-module checks vary","2B unified attachments with authorization inherited from parent and an authorizing download endpoint; never a guessable static path","2B","Platform owner","A file URL is shared outside the app","Test proving a non-permitted user cannot download by URL"
"RISK-015","R-15","Org hierarchy has no CompanyID so cross-company grafts are possible","Hierarchical carries no CompanyID; C.1 closed two callers via IOrgHierarchy","Medium","High","High","HR CRM Projects Workflow","IOrgHierarchy intersects with company and logs dropped nodes","Stage 3 org redesign adds company ownership","Stage 3","HR owner","A new hierarchy consumer is added","New consumers use IOrgHierarchy; defect handling asserted"
"RISK-016","R-16","A hierarchy defect could silently auto-approve a workflow","CreateAsync auto-approves on an empty chain; ApproverChain.HierarchyDefect now refuses","Low","Critical","High","HR Workflow","HierarchyDefect contract","2B approval engine must inherit the same contract","2B","Workflow owner","Any new approval chain builder","Test broken chain refuses and never auto-approves"
"RISK-018","R-18","Master Data terminology is ambiguous","Four overlapping type signals ItemType IsComposite CompositeType ProductionMethod","Certain","High","High","Master Data Inventory Manufacturing Sales POS","None","2C canonical definitions plus the 15-area Product Workspace","2C","Master Data owner","A new composite type is needed","Terminology test; workspace covers every legacy field"
"RISK-025","R-25","Search could leak existence through ranked results","No search exists yet","Medium","High","High","Search Platform","None","Trim by company AND AccessScope BEFORE ranking never post-filter","2B-late","Platform owner","Search ships","Trimming test at query level"
"RISK-028","R-28","Analyzer false positives train developers to suppress diagnostics","18 speculative analyzers proposed only 2 evidence-backed","Medium","High","High","Engineering","Scope limited to 2 analyzers","Warning-first rollout; dogfood gate reproducing 157/88/143; generous ambiguity; pragma suppression banned","2A","Platform owner","A false positive is reported","Analyzer agrees with the verified scanner before enforcing"
"RISK-031","R-31","PlatformRoleAssignments and ProjectMembers absent from CrossBuyDB2","Stage 1 closure; four Batch C proof endpoints gated on deployment","Certain","Medium","High","Platform Projects","Idempotent deploy scripts exist","Operator applies scripts before the Security Console","2B","Operator","Security Console or Projects membership work begins","Tables present and proof endpoints exercised"
"RISK-033","new","Composite items are load-bearing in the stock writer and POS selling path","ItemComponent read by StockService lines 319 and 1189 (kit explosion) PricingService PosOrderService x2 ManufService PosSetupService","Certain","High","High","Inventory POS Manufacturing Sales Master Data","None - the dependency was undocumented","Any composite redesign must preserve StockService kit explosion and POS component behaviour; covered by the nine-invariant gate","2C","Inventory owner","Any change to ItemComponent shape","Kit explosion and POS component tests unchanged"
"RISK-010","R-10","Item.ImagePath coexists with the ItemImage table","Both present in Inventory.cs","Certain","Low","Medium","Master Data Commerce Store","None","IMP-004 ItemImage authoritative with primary designation; column retained in Phase 0","2C","Master Data owner","Storefront shows a different image than the workspace","Rendering parity test"
"RISK-011","R-11","Storefront presentation fields live on the Item master","Item has StoreOldPrice StoreBadge StoreRating StoreVendor StoreHoverImage among 39 properties","Certain","Medium","Medium","Master Data Commerce Store","None","IMP-004 separate Commerce Presentation per channel with a read-compatible view; no data movement in Phase 0","2C-3","Master Data owner","A second sales channel is added","Storefront rendering unchanged after separation"
"RISK-013","R-13","Raw SQL can bypass EF global query filters","Stage1RawSqlSafetyTests exists as an enforced inventory","Low","High","Medium","Platform Inventory Accounting","Enforced test over the raw-SQL inventory","Keep the test and extend to any new raw SQL","ongoing","Platform owner","New raw SQL is added","Raw SQL inventory test green"
"RISK-017","R-17","UI patterns duplicated across 327 views with 11 layouts and 0 ViewComponents","crossbuy-brand.css is 211 lines of Bootstrap overrides; _DocTimeline and _DocEventTimeline duplicate","Certain","Medium","Medium","All UI","None","Design tokens plus Tier 1 components in 2B; layout consolidation 11 to 3 as its own batch","2B","UX owner","A third divergent copy of a component appears","Tier 1 components extracted; visual parity on a sample"
"RISK-019","R-19","WMS bin foundations are OPERATIONAL and underused not absent","BinLocationId is a field on StockService movement DTOs (destination source opening); 186 refs; ProcurementService SellingService WarehouseService InventoryController; 5 views; 13 write ops","Certain","Medium","Medium","Warehouse Inventory","Bins already participate in stock movements","Stage 4 EXTEND AND REDESIGN over the existing operational foundation","Stage 4","WMS owner","Warehouse volume grows","Stage 4 extends BinLocation/BinStock without changing StockService semantics"
"RISK-020","R-20","Manufacturing routing foundations underused","ManufRoutingOp ManufWorkCenter ManufPlan ManufPlanDemand exist; no scheduling or capacity levelling","Certain","Medium","Medium","Manufacturing","None","Stage 5 major extension scheduling capacity execution costing UX","Stage 5","Manufacturing owner","Production volume grows","Stage 5 extends existing routing entities"
"RISK-021","R-21","Unit conversions are operational but unit sets do not exist","UoMConversion read by StockService line 236 PosOrderService line 547 ItemService IntegrityCheckService InventoryApiController","Certain","Medium","Medium","Master Data Inventory Procurement Sales POS","IntegrityCheckService already checks conversions","2C Unit Sets plus a conversion designer with cycle prevention; preserve existing conversion reads","2C","Master Data owner","A conversion cycle is created","Cycle-prevention and rounding tests; existing conversion paths unchanged"
"RISK-023","R-23","Reporting is limited with no self-service builder","Statements and dashboards only","Certain","Medium","Medium","Reporting","None","Stage 9 after search events and trimming","Stage 9","Reporting owner","Report requests exceed development capacity","Report builder with permission trimming"
"RISK-027","R-27","Hand-maintained catalogs become stale and are then trusted","224 DbSets 39 controllers 289 API actions too large to maintain by hand","High","Medium","Medium","Documentation Platform","None","Generate Domain and API catalogs FROM SOURCE; enrich manually but never author ownership facts by hand","2D","Platform owner","A catalog disagrees with source","Regeneration produces no diff against the committed catalog"
"RISK-029","R-29","Parallel team work is uncommitted so our base can shift invisibly","66 untracked and 65 modified files; a Razor break appeared then was fixed by them","High","Medium","Medium","All","Selective commits; baseline re-verified each phase","Re-derive the baseline at the start of every phase; request a commit","ongoing","Platform owner","A shared file changes under us","Baseline re-verified from source each phase"
"RISK-030","R-30","Customer experience and portal capabilities are absent","No case management SLA or portal in source","Certain","Medium","Medium","Customer Experience Portals","None","Stage 7; external principals out of scope until a portal exists","Stage 7","CX owner","External users are required","BusinessContext extended for external principals with tests"
"RISK-014","R-14","Sanctioned POS company constants remain","PosAccessService.CatalogCompanyId and PosSetupService.PosCompanyId are live constants","Certain","Low","Low","POS","Documented permanent exception","Keep as a declared exception; must not be copied into other modules","none","POS owner","The constant appears outside POS","Structural test scoping the exception to POS"
"RISK-032","R-32","BusinessEvent retention is undefined","BusinessEvents grows unbounded; no retention policy","Low","Medium","Low","Platform","None","Per-object retention in 2B contracts; archive never purge for accounting-owned objects","2B-later","Platform owner","Event table growth affects performance","Retention applied with archive-not-purge for ledger objects"
"RISK-034","new","Variants-as-separate-items population is unmeasured so 2C sizing is unknown","No variant model exists; conversion risk cannot be sized without data","Medium","Medium","Low","Master Data","None","Requires an APPROVED read-only assessment; blocked until then","2C planning","Master Data owner","2C scoping begins","Approved read-only measurement of candidate variant groups"
"RISK-035","new","Only 2 concurrency tokens across 231 entities so most write paths are last-write-wins","IMP-003 measurement: 2 concurrency tokens over 231 entities; the stock path is protected separately by explicit UPDLOCK and HOLDLOCK proven in Stage 1 F4","Medium","Medium","Medium","Master Data HR CRM Projects Platform","Stock and financial critical paths ARE protected by explicit SQL locking - this risk covers ORDINARY entity edits only and must not be read as the stock writer being unprotected","Add RowVersion concurrency tokens to entities with concurrent-edit exposure starting with Item and Customer; surface the Design System conflict state in the UI","2C","Platform owner","Two users edit the same master record","Concurrent-edit test showing the second writer is refused rather than silently overwriting"
"RISK-036","new","Shared SQL test fixture schema pollution made suite results order-dependent","Adding three IMP-003 tests broke three PlatformSchemaDeploymentTests; the prior green suite was order-dependent because EnsureEfSchemaAsync pollutes the shared fixture database from TaskScopeQuerySqlTests","Certain","High","High","All testing Platform","IMP-003 comparison test no longer pollutes the shared fixture; suite green twice at 766 of 766","Isolated probe database per schema-generating test family; deterministic cleanup; randomized-order verification where practical; an acceptance test that fails if a shared fixture gains non-kernel tables; no skipped SQL evidence tests","2A","Platform owner","Any new schema-generating test is added","Suite green under randomized order plus a shared-fixture pollution guard test"
"RISK-037","mitigated","PlatformRoleAssignments has production readers but NO production writer so HR and Projects resolve through bootstrap-open","4 production readers (PlatformRoleDirectory HrAccessService ProjectsAccessService EntityRegistry); writes exist ONLY in 4 test files; the table is empty and unfillable in production; Wave 2 plans to gate 52 High-risk HR and Identity endpoints on HrAccessService where those gates would evaluate bootstrap-open and allow broadly while tests pass because fixtures seed grants directly","Certain","Critical","Critical","HR Projects Identity Platform Security","payroll-manage and confidential-view are never bootstrap-open and project billing delegates to accounting - those three keep explicit closed behaviour. MITIGATED IN STAGE 2A BATCH A: IPlatformGrantWriter is the production writer (create revoke validity list get) with administration authorization a privilege ceiling resolved through the REAL access services idempotency transactional BusinessEvents and an additive audit schema. 17 acceptance tests pass on an isolated SQL Server probe and NONE seeds a grant row - every row is created by the writer. Proven end to end on HrActions.PayrollManage which is never bootstrap-open: denied then granted then denied. NOT YET CLOSED because no company has been cut over and the legacy writers are still live (RISK-038)","Production Grant Writer with administration authorization additive audit schema and SQL Server evidence. BLOCKS Wave 2 HR authorization rollout AND Security Administration Console activation AND Platform-source cutover until delivered","2B before Wave 2","Security owner","Wave 2 HR gating or Security Console work begins","A production grant path creates an assignment that HrAccessService honours plus a seeded-versus-unseeded guard proving bootstrap-open is not why a test passes"
"RISK-038","new","A legacy role writer continuing after Platform cutover reports success while producing no effective permission","AccountingController AssignAccRole and RemoveAccRole; InventoryController AssignRole and RemoveRole; CrmController AssignCrmRole all write legacy tables which the authoritative reader ignores after cutover; 7 writers inventoried in the shutdown matrix","High","High","High","Accounting Inventory CRM Security","None yet - legacy writers are live","Writer shutdown matrix with per-mode behaviour; each writer redirects to the Platform Grant Writer or is explicitly disabled with a user-facing message; no silent success; rollback restores legacy behaviour; a test per writer route","2B at cutover","Security owner","Any company reaches Platform cutover","Post-cutover test proving a legacy route cannot report success plus a LegacyWriterAfterCutover divergence alarm"
"RISK-039","mitigated","A role administration UI can let an administrator grant rights exceeding their own authority","Grant Writer design: without an explicit ceiling a module administrator could grant Platform scope or a cross-company role - the classic self-escalation failure of role-management screens","Medium","High","High","Security Platform All modules","MITIGATED IN STAGE 2A BATCH A: the ceiling is implemented in PlatformGrantWriter.CheckCeilingAsync and resolves the grantor authority through the REAL module access services rather than from storage. Self-escalation is refused below platform authority a module administrator may not confer a role they do not themselves hold and cross-company administration requires platform security authority. Critically module-level authority is NOT admissible while the scope is bootstrap-open so the first grant in a company can only be made by a real administrator. Four dedicated tests pass. NOT CLOSED because no grant administration UI exists yet - the API surface is the only caller","Grantor authority ceiling; company boundary; branch boundary; module scope enforcement; Platform scope restricted to the Platform Security Administrator; effective-right comparison through the REAL access services; mandatory self-escalation and cross-company tests","2B with the Grant Writer","Security owner","Any grant administration surface ships","Test proving no administrator can grant beyond their own effective rights and that cross-company grants are refused"
"RISK-040","new","Financial modules cannot exclude dangerous bootstrap actions","AccountingAccessService InventoryAccessService and CrmAccessService evaluate a bootstrap decision BEFORE the action switch: if no module role is configured for the company return Allow. No per-action exclusion is possible. Exposed today: Accounting.post Accounting.pay Accounting.currency-override Inventory.doc Inventory.warehouse-access CRM.manage and delegated Projects.billing","Certain","Critical","Critical","Accounting Inventory CRM Projects Platform","Mechanism B modules (HR Tasks Communication) DO exclude their sensitive actions - that pattern exists and is the model","Move these modules to the action-aware bootstrap pattern; define Never Bootstrap Open actions; preserve behaviour through explicit LegacyCompatibility policies BEFORE hardening; add decision-source logging; require real SQL Server evidence; block behavioural rollout until the Grant Writer exists where relevant. BLOCKS financial bootstrap hardening AND Wave 2 authorization relying on these services AND production cutover for affected companies and scopes","2B","Security owner","Any unconfigured company exists in production or a new company is provisioned","Never Bootstrap Open actions deny with zero roles on a disposable SQL Server database plus behaviour-preserving policy seed proven unchanged"
"RISK-041","new","High-impact bootstrap decisions are not audited","Mechanism A returns Allow without the structured logging ModuleAccessServiceBase performs at Information (ModuleAccessServiceBase.cs:112). The highest-impact bootstrap decisions are therefore invisible in operational logs","Certain","High","High","Accounting Inventory CRM Platform","Mechanism B logs every bootstrap decision; Mechanism A logs nothing","Additive permission result contract carrying an explicit decision source; BusinessEvent and audit integration; log grouping to avoid noise; Security Console exposure; tests proving the decision reason is visible","2B","Platform owner","Any bootstrap-open decision is taken on a financial module","Test asserting the decision reason is AllowedByBootstrapOpen and appears in audit"
"RISK-042","new","Platform operations inherit bootstrap-open accounting manage","PlatformOpsAttribute authorizes on an Identity admin role OR accounting manage; on an unconfigured company accounting manage allows through Mechanism A so platform operational surfaces become reachable through financial bootstrap behaviour. The attribute documents this limitation in its own comment","Certain","High","High","Platform Accounting","None - the fallback is by design and documented but unmeasured until now","Classify PlatformOps as Never Bootstrap Open; separate platform-operations authority from accounting bootstrap; keep restricted payload and retry operations closed; add direct tests for unconfigured companies; show the exposure in the Security Console","2B","Platform owner","Any unconfigured company reaches a platform operations surface","Test proving platform operations deny on a company with zero accounting roles"
"RISK-043","new","Bootstrap policy cannot be safely hardened before Grant Writer availability","HrAccessService and ProjectsAccessService read PlatformRoleAssignments but no production Grant Writer exists (RISK-037). Setting their bootstrap state to Disabled before the writer exists would lock legitimate administrators and users out","Certain","High","High","HR Projects Security","RISK-037 already blocks Wave 2; this records the reverse dependency","Grant Writer first; explicit behaviour-preserving policies second; hardening only after real grants can be created; company and scope rollout; rollback; first-run recovery","2B after the Grant Writer","Security owner","Any attempt to set HR or Projects bootstrap state to Disabled","Grant Writer creates a real grant that HrAccessService honours before any hardening step runs"
"RISK-044","new","Bootstrap-open masks role-migration divergence","In IMP-001 Shadow mode the legacy and platform decisions may both return Allow solely because bootstrap-open is active, which prevents proving that migrated role data produces the same authorization result","High","Medium","Medium","Security Accounting Inventory CRM HR Projects","Shadow mode decides on legacy so it cannot broaden access - but it also cannot prove correctness","BootstrapOpenMaskedDifference divergence type; block cutover while present; display migration and bootstrap state together; require explicit role-based comparison evidence; trigger review when the first real grant is configured","2B","Security owner","Any company enters Shadow mode while bootstrap-open is active","Cutover blocked test plus a masked-divergence detection test"
"RISK-045","new","Implicit bootstrap compatibility may remain enabled indefinitely","A behaviour-preserving LegacyCompatibility state is required initially to avoid changing production behaviour, but without expiry review and administrative visibility it can become permanent","High","Medium","Medium","All modules Security","None yet - today the behaviour is implicit with no state at all","Explicit policy rows; review date; expiry where applicable; acknowledgement; persistent warning; environment hardening; company-by-company transition; audit and notifications","2B","Security owner","A LegacyCompatibility policy passes its review date","Review-date enforcement test plus a persistent console warning for unreviewed policies"
"RISK-046","new","A barcode migration could change the resolved sold unit and therefore quantity","ItemBarcode.UoMId SELECTS THE SOLD UNIT (Hypermarket assessment, PosOrderService scan path). Changing barcode-to-UoM resolution changes sale quantity stock quantity COGS invoice quantity and receipt quantity","Medium","Critical","High","Master Data Inventory POS Retail Accounting","Current resolution is correct; ItemBarcode(Barcode,UoMId) is already authoritative for per-unit barcodes","ItemBarcode authoritative with IsPrimary seeded from Item.Barcode; preserve UoMId semantics byte-for-byte; migration comparison per barcode; no silent remapping; ambiguity rejection retained; non-skippable POS and Hypermarket quantity tests","2C","Master Data owner","Any barcode consolidation or import step runs","Per-barcode before-and-after comparison proving the resolved UoM and quantity are identical"
"RISK-047","new","Composite history cannot be reproduced because ItemComponent has no revision history","ItemComponent is consumed by StockService:319 and :1189 PricingService:311 PosOrderService:302 and :1746 ManufService and PosSetupService with 20 write sites, but carries no revision or effective date. A later component change makes a historical explosion impossible to reproduce","High","High","High","Master Data Inventory POS Manufacturing Accounting","None - rows are mutable in place","Additive revisions with effective dates; existing rows become revision 1; historical snapshots; NO automatic reclassification; tests across Stock POS Pricing and Manufacturing","2C","Inventory owner","Any composite component is edited after a sale referencing it","Historical explosion reproduced from a revision snapshot and matching the original movement"
"RISK-048","new","Introducing a factor-1 fallback for a missing unit conversion would silently corrupt quantities","The current system REJECTS a sale line when no UoMConversion exists and never assumes factor 1 (Hypermarket assessment; PosOrderService:547; StockService:236). A cleanup that added a default factor would silently alter every affected quantity","Medium","Critical","High","Master Data Inventory POS Retail Manufacturing","CORRECT TODAY - the rejection is the existing behaviour, so this risk guards a future regression rather than a present defect. Severity High not Critical for that reason: impact is Critical but probability requires a deliberate change","Preserve the rejection; no default factor anywhere; explicit validation surfaced in the Unit Conversion Designer; deterministic conversion tests; POS Hypermarket Stock and Manufacturing evidence","2C","Master Data owner","Any change to conversion lookup or a new conversion designer","Test proving a missing conversion still rejects and no factor-1 path exists"
"RISK-049","new","Weighted item and scale configuration has no production administration surface","IsWeighted and ScaleCode determine fresh-food checkout quantity but are writable only through SQL or a DevOnly endpoint; Views/Inventory/ItemForm.cshtml exposes neither field (Hypermarket finding F4)","Certain","High","High","Master Data Retail POS","ScaleBarcodeParser and the engine are implemented and correct; only the administration surface is missing","Production administration surface with permission controls; ScaleCode filtered uniqueness preserved; validation preview and sample barcode decoder; audit and elevated approval; Hypermarket test evidence","2C","Retail owner","Any new weighted item or scale code is required in production","Admin screen writes both fields with uniqueness validation and Hypermarket calculations unchanged"
"RISK-050","new","Barcode consolidation could introduce first-match guessing where the system currently rejects","The system EXPLICITLY REJECTS an ambiguous barcode match and never guesses (Hypermarket assessment, multi-barcode gated by the BarcodeMulti capability). A consolidation or cleanup could accidentally select the first match","Medium","High","High","Master Data Retail POS","Explicit rejection is the current behaviour","Preserve explicit rejection; conflict diagnostics; NO first-match behaviour; a Barcode Center conflict-resolution workflow; migration divergence report; tests proving ambiguity remains denied","2C","Master Data owner","Any barcode consolidation or duplicate-resolution step runs","Test proving an ambiguous barcode is still denied after consolidation"
