"script","rank","idempotency","safe_to_reapply","guards_found","mutations","unguarded_batches","review_verdict","review_evidence","encoding","bytes","sha256","excluded","excluded_reason"
"deploy/sql/hr11_recruitment.sql","30","guarded","True","object-null;if-not-exists;col-length","create-table;create-index;insert","",,,"utf-8-bom","4988","8fd76f90fc9ca6baf4f97a7fff2543196d83b1f2250685461d1d9067afecf6ed","False",
"deploy/sql/hr8_employee_requests.sql","30","guarded","True","object-null","create-table;create-index","",,,"utf-8","2698","802255dbd6e3bf7bd3e7cdfd64ff01186af0ab00361a34ebcf9f6fc2d3bafcff","False",
"deploy/sql/hr9_appraisals.sql","30","guarded","True","object-null","create-table;create-index","",,,"utf-8","2821","5c6be48dca04b8cb9a8b6dd31dea568c7e25fdd813d945f1cb8a0c6f7a1b051e","False",
"deploy/sql/manuf_variance_520109.sql","30","guarded","True","where-not-exists","insert","",,,"utf-8","752","855f259ce31f6682243c3d74e3acc16b7e8f96145911caaad51e6852dbafeb37","False",
"deploy/sql/pos_fix_preset_names.sql","30","guarded-by-predicate","True","","update","1","idempotent","Four UPDATEs that assign a CONSTANT value keyed on Code. Re-running writes the identical value, so the end state is the same however many times it runs. Requires sqlcmd -f 65001 or the Arabic literals are stored as mojibake.","utf-8","507","73f0d7654a3907243ef27cc4c77a6022fd6b7ef88d6e72636131101f83d8b185","False",
"deploy/sql/pos_hold_recall.sql","30","guarded","True","col-length","alter-add","",,,"utf-8","379","2a2a1c55915f1bd1543a55d8e6711e8fc0cbcb38621256945fb12695b284f1b3","False",
"deploy/sql/pos_order_guests.sql","30","guarded","True","col-length","alter-add","",,,"utf-8","236","90c7555679c60772e37c66da2771dac97c1ccebf9d91192fe46103ff218b4fd7","False",
"deploy/sql/pos_quickmenu.sql","30","guarded","True","if-not-exists;sys-catalog","create-table;alter-add;create-index","",,,"utf-8","1225","5ca52774f4e92248d074138fea7f88aec44d236b0654764837c58cff18f35915","False",
"deploy/sql/pos_send_to_kitchen.sql","30","guarded","True","col-length","alter-add","",,,"utf-8","448","970501146c2df9eb30bafea3605a46d34489a28708d274c4fd6136587b217900","False",
"deploy/sql/pos_table_status.sql","30","guarded","True","col-length","alter-add","",,,"utf-8","392","90f45caad0e194f56e1c47dce72ceeb2bc099b4ce030f1d3bb6ff6bcf0037ba8","False",
"deploy/sql/pricing_costplus_2c.sql","30","guarded","True","col-length","alter-add","",,,"utf-8","833","820a1d0935da36635453eccc89971c0568934ebbc26fe2b6810298f471c15df7","False",
"deploy/sql/pricing_discount_approval_2d.sql","30","guarded","True","col-length","alter-add","",,,"utf-8","729","df0112c2a6c891cd67193f734df174efb1deb60fa9e98cd6142a53144c796f24","False",
"deploy/sql/pricing_margin_2a.sql","30","guarded","True","col-length","alter-add","",,,"utf-8","1048","27f45ada2287f331aa2ff64b3914a085f8675b171d7505cdffe6b80f75e0ebd3","False",
"deploy/sql/pricing_promotions_2b.sql","30","guarded","True","object-null","create-table;create-index","",,,"utf-8","1865","591e8fc54d090e61c430b3709d8a6bdb9a145b38e508fa013274842c1b3d2090","False",
"deploy/sql/projects_p2_contract.sql","30","guarded","True","if-not-exists;col-length","insert","",,,"utf-8","1986","c4b5d6014e9d5e6325fa343194502f0197e28caef12d346f91723f347342a315","False",
"deploy/sql/projects_p3_progress.sql","30","guarded","True","object-null","create-table;create-index","",,,"utf-8","2062","9d53c1b3c0ad7017d47a551ffca142d959e71fd6d091e2ff4d78680dff5a8bb3","False",
"deploy/sql/projects_p4_billing.sql","30","guarded","True","object-null;if-not-exists","create-table;create-index;insert","",,,"utf-8","4405","a473b3672af5be0059e243a8344dfc970a48bab6a2625cf4c8f7a29cfc3ee381","False",
"deploy/sql/projects_p5a_material.sql","30","guarded","True","object-null;if-not-exists","create-table;create-index;insert","",,,"utf-8","3428","fcb98d9271b19cb55660bb426c242fe8f0accf79407f826ad18eebc843aa5456","False",
"deploy/sql/projects_p6c_subcontract.sql","30","guarded","True","object-null;if-not-exists","create-table;create-index;insert","",,,"utf-8","4095","e273113e70347d92020b0eb2f1831219c2c0939025bf60f99dd22122343d157f","False",
"deploy/sql/projects_p6d_variation.sql","30","guarded","True","object-null;col-length;sys-catalog","create-table;alter-add;create-index","",,,"utf-8","3119","7d3a70d3c96d5f3ea2afb27251120b9c2e53e8beb76ab918776a836f8f9b206b","False",
"deploy/sql/projects_p6e_equipment_dep.sql","30","guarded","True","object-null","create-table;create-index","",,,"utf-8","1469","03f08348b7e703c0a225cfaa5537d6fea9c186ef9227a507ba61b91bd4be4781","False",
"deploy/sql/tasks_category.sql","30","guarded","True","col-length","alter-add","",,,"utf-8","244","9aa7b3c1364392d9640f2f3e46851658fe1716fceefa664c049c2d6c120ae520","False",
"deploy/sql/tasks_tm9_scheduled.sql","30","guarded","True","if-not-exists;col-length;sys-catalog","create-index","",,,"utf-8","1324","b1eb3afc257fe87c5a27537cf8ec36823be253b6aae5ecbce2e718cfa4c387ff","False",
"deploy/sql/tasks_tm9b_suggestions.sql","30","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","815","7e502d03d16cbb52f1b986e4b2159b22d6a6d11e514fe6eb97a87f1a28becbff","False",
"CrossBuy/deploy/sql/comm_outbox_slice_003.sql","31","guarded","True","if-not-exists;if-exists;col-length;sys-catalog","alter-add;create-index","",,,"utf-8","5492","9a24661e26b87348f87a2efec8f9b62cc578e0066362e153198831e5916f5c9b","False",
"deploy/sql/notification_mutes_p2.sql","31","guarded","True","object-null","create-table;create-index","",,,"utf-8","472","44fff0765cf46bf35b9d16a5d468ece4c224094f43b86c9cfa19231f78ee9099","False",
"CrossBuy/deploy/sql/calendar.sql","40","guarded","True","object-null","create-table;create-index","",,,"utf-8","1492","5fb2a2f4e5798d368a88a51b90c129c99327dbbbdf47229c7c78a45763f2cfe3","False",
"CrossBuy/deploy/sql/inventory_reconcile_log.sql","40","guarded","True","if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","1031","f33ef6e7bf3ee53f71f9969147a40b11a4ea3cbe888edfaee023e519bf27657e","False",
"CrossBuy/deploy/sql/library.sql","40","guarded","True","object-null;col-length","create-table;alter-add;create-index","",,,"utf-8","1513","e156c4ac5380c836e74f51d0904bb1961dc4a5fa34cfa5fc169454b8c2d47f07","False",
"CrossBuy/deploy/sql/platform_role_assignments.sql","40","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","11565","1fb15bc249be882db2c86ac16ef65982e8f5218e294cba987dd955a9a4442255","False",
"CrossBuy/deploy/sql/platform_schema_history.sql","40","guarded","True","object-null;if-not-exists;create-or-alter;sys-catalog","create-table;alter-add;create-index;create-proc","",,,"utf-8","9746","4c31180f68076cceee6bd8536cee83a0338d24a8e7b14fae4b0619875d0df2c1","False",
"CrossBuy/deploy/sql/project_members.sql","40","guarded","True","object-null;if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","9499","169542df0751bf0a9221dd2188d915072b6715d5c17557d4e601af5928468d13","False",
"crossbuy_ai/sql/ai_tables.sql","40","guarded","True","object-null","create-table","",,,"utf-8","2645","f5dac3e6adf50d130ded22714b09310bf91e5de382a37d3e8a18bf727bf62822","False",
"deploy/sql/announcements_p5.sql","40","guarded","True","object-null","create-table;create-index","",,,"utf-8","1761","6258b56d54dd8385e5661f54c9040941882c26f65dadc64319f953f668b1b4e1","False",
"deploy/sql/appcache_session_table.sql","40","guarded","True","object-null","create-table;create-index","",,,"utf-8","1325","ceb2de94bd2f4b9a57a6884714155e07921b0c29ef67f8d4118577b3e0538702","False",
"deploy/sql/asset_maintenance.sql","40","guarded","True","object-null;where-not-exists;sys-catalog","create-table;create-index;insert","",,,"utf-8","2617","7b8bc58e11d98a5a565cabad5b829f542d0bf46645dfece9f79af2bc8f519da4","False",
"deploy/sql/bin_stock.sql","40","guarded","True","if-not-exists;sys-catalog","create-table;create-index","",,,"utf-8","1242","7c7509afd99df1a6c3b74120d85f3f03d4984778342c1c2c19e8b683a4c6269a","False",
"deploy/sql/boq.sql","40","guarded","True","object-null","create-table;create-index","",,,"utf-8","1407","347251dcd974518084ff85fd78b8eb59335021ec0e1ca70a5e2cc347e2e15a26","False",
"deploy/sql/chat_p3.sql","40","guarded","True","object-null","create-table;create-index","",,,"utf-8","2399","c96e1534925a2e4ab81b72bb4a20e52a5a8e3bd0dee70e5e07a920495838fbd1","False",
"deploy/sql/fx_bank_revaluation.sql","40","guarded","True","col-length","alter-add","",,,"utf-8","745","796e206a1da92bb703a54f986874568ab88c9d1844438a79441e1bcd2502c731","False",
"deploy/sql/invoice_line_description_en_2026-07.sql","40","guarded","True","col-length","alter-add","",,,"utf-8","1147","5299bf81bb35cf17928bf13a55a1dcb59ea433f447570e6a0f6b596c4e378964","False",
"deploy/sql/item_images.sql","40","guarded","True","object-null","create-table;create-index","",,,"utf-8","672","f44e663546afc42d476fdd001c676c1741d1aa91d462ba4af9e0bcef7974ed04","False",
"deploy/sql/lead_name_en_2026-07.sql","40","guarded","True","col-length","alter-add","",,,"utf-8","678","a9eafa0cadce444b589d80e30ee03e28bff4bd2f902b534bec2347391497214d","False",
"deploy/sql/project_dimension.sql","40","no-mutation","True","col-length","","",,,"utf-8","1112","f0b3853bebc653ab5c064f7dc566554dc0e66c9721565637f9329605f74a7636","False",
"deploy/sql/store_category_seed.sql","40","guarded","True","where-not-exists","insert","",,,"utf-8","4749","a40bc131f2b3c450ae81ad1012ea889e7bafc76a1dea1829e246eeb8c53869f9","False",
"deploy/sql/store_from_items.sql","40","guarded","True","if-not-exists;col-length","insert","",,,"utf-8","7275","130ab0929cb51b5bd226f99faea4ef96c257556918929c8b881e6f5ca89130cf","False",
"deploy/sql/ticket_desc_category_en_2026-07.sql","40","guarded","True","col-length","alter-add","",,,"utf-8","985","eb2f4a3f3399b6ae67aab0828ebbbc9ed3eb044849ee8244ba760223ce19fd80","False",
"deploy/sql/warehouse_sections_item_groups.sql","40","guarded","True","if-not-exists;sys-catalog","alter-add","",,,"utf-8","1731","419b8731c45ef7d5db3458428414b3dec3866a52c48a3a6cb513811240a16d30","False",
"deploy/sql/00_backup_dev_db.sql","90","no-mutation","True","","","",,,"utf-8","453","2fe627d8574d41ef71b8ad3c57dd0ab847fe1c92faed0457540c0c580535fde4","True","Dev-only backup helper. Not part of any deployment."
"deploy/sql/10_purge_for_production.sql","90","guarded","True","object-null","insert","",,,"utf-8","4015","f289fbeaad55b1b40ac94708d70860faaeca24c93511d8b209b2a5c185cdd717","True","DESTRUCTIVE: purges demo data. Manual, deliberate, backup first."
"script.sql","90","not-deployable","False","","create-table;create-index","40;43;46;49;52;55;58;61;64;67;70;73;76;79;82;85;88;91;94;97;110;112;114;116;118;120;122;123;124;125;126;127;128;129;130;131;133;134;135;136","not-deployable","Unversioned scratch script at the repository root: ~40 unguarded CREATE TABLE / CREATE INDEX batches. Excluded from every deployment; kept only as history.","utf-16le-bom","134654","3f6eef6eaf48985cfd60750b6ab4e4fe3d7690159948549a015b9656f0a02d96","True","Unversioned scratch script at the repository root. Not deployable."
