Path,Type,Purpose,OwningDomain,ActiveOrLegacy,UsageStatus,RouteOrScreen,Dependencies,SecurityMechanism,CompanyBehavior,BranchBehavior
CrossBuy/BL/PosAccessService.cs,Service,"Resolves POS login context from BranchUserRoles; role predicates (CanSell/CanOrder/IsManager/IsKitchen/IsWaiter); THE single lane-activity whitelist",POS shared,Active,Directly used,n/a,"CrossDbContext, IModuleAccessService contract, EntityRegistry",implements IModuleAccessService.CanAsync with branch isolation on PermissionTarget,PosCompanyPolicy.CatalogCompanyId=1 stated explicitly with justification; BranchCompanyId carried separately,IsActivityAllowedForLane: hyper={Hyper} only; restaurant={Restaurant,Cafe,NULL}; Retail denied
CrossBuy/BL/PricingService.cs,Service,"Price resolution (list/cost-plus/base/converted), best-promotion layer, margin floor, discount ceiling, price-list + promotion CRUD, bulk price change preview/execute/undo",Pricing,Active,Directly used,n/a,"CrossDbContext, ICurrencyService, IManufService, ICurrencyRounding",service-layer; company predicate on every query,companyId parameter,branch enters only as the pinned DefaultPriceListId passed by the caller
CrossBuy/BL/ScaleBarcodeParser.cs,Service (pure),"Parses variable-measure scale barcodes against a branch config (GS1 mod-10, configurable field lengths); builds them for seeds/tests",Hypermarket,Active,Directly used by Scan and PriceCheck,n/a,none (pure static; no DB),n/a - pure function,n/a,config comes from the branch's 6 BranchPosSetting.Scale* columns
CrossBuy/BL/ShelfLabelService.cs,Service (pure),"Zero-dependency EAN-13 SVG renderer with quiet zones + an encode/decode round-trip self-test",Hypermarket,Active,Directly used by InventoryController.ShelfLabels,n/a,none (pure),n/a,n/a,n/a
CrossBuy/BL/LoyaltyPointsHelper.cs,Service (static),"Loyalty EARN: capability + walk-in guard, rate resolution (branch override then company), eligible-net computation, floor to whole points, proportional and full reversal",Loyalty,Active,Directly used by PayAsync/PayTendersAsync/VoidPaidOrderAsync/ReturnOrderLinesAsync,n/a,CrossDbContext only (static - deliberately no DI to avoid writer coupling),n/a - called inside an authorized flow,companyId parameter,gated by the branch 'Loyalty' capability; branch rate override
CrossBuy/BL/OfficialInvoiceHelper.cs,Service (static),"Loads A4 invoice print data; stamps a walk-in beneficiary set-once, tax-zero-only, audited",Accounting,Active,Directly used by both HyperPosController and AccountingController,n/a,CrossDbContext,n/a,invoice company predicate applied by callers,n/a
CrossBuy/BL/StockService.cs,Service,"THE stock writer: movements, balances, cost layers, FEFO allocation, batch forcing, transfers, write-offs, bin stock, negative-stock guard",Inventory,Active,Directly used,n/a,"CrossDbContext, IJournalEntryService, ICurrencyRounding",service-layer; architectural invariant - sole stock writer,companyId parameter,warehouse-scoped; branch enters only via the caller's warehouse choice
CrossBuy/BL/JournalEntryService.cs,Service,"THE GL writer: create/post/reverse journal entries",Accounting,Active,Directly used,n/a,"CrossDbContext, IBusinessEventService (parallel-team kernel wiring in ReverseAsync only)",service-layer; architectural invariant - sole GL writer,companyId on the entry input,n/a
CrossBuy/BL/ReceivableService.cs,Service,"Sales invoice + return + receipt creation with AR/revenue/VAT GL and the stock issue that carries UoMId to base conversion; customer search/create",Accounting,Active,Directly used,n/a,"IJournalEntryService, IStockService, IBusinessEventService, ICurrencyService, ICurrencyRounding",service-layer,companyId parameter,warehouse from the invoice line
CrossBuy/BL/CurrencyRounding.cs,Service,"THE single money-precision source: decimals per (company, currency, branch) and RoundAsync with explicit AwayFromZero; throws for an undefined currency",Accounting,Active,Directly used everywhere in the hyper path,n/a,CrossDbContext,n/a,companyId parameter,branch may override the functional currency
CrossBuy/BL/CurrencyService.cs,Service,"Functional currency resolution, rate lookup, rate staleness, conversion to/from base",Accounting,Active,Directly used,n/a,CrossDbContext,n/a,companyId parameter,branch functional currency
CrossBuy/BL/ItemService.cs,Service,"Item CRUD incl. IsWeighted/ScaleCode validation, per-unit barcode rows, cross-table barcode duplicate pre-check, scale-range save guard",Inventory,Active,Directly used - but the weighted/scale fields it validates have NO UI,n/a,"CrossDbContext, IWebHostEnvironment",called from InventoryController under [InvPerm],companyId parameter; ScaleCode unique per company (filtered index),scale-range guard is company-wide over any branch's configured prefix
CrossBuy/BL/ManufService.cs,Service,"Work orders + standard unit cost; consumed by RecipeAtSale cost-plus and SemiFromBranchComplete preparation",Manufacturing,Active,Directly used by the hyper/POS sourcing path,n/a,"CrossDbContext, IStockService, IJournalEntryService",service-layer,companyId parameter,warehouse per branch
CrossBuy/BL/IntegrityCheckService.cs,Service,"16 integrity classifications incl. 5 retail-specific (receiptno_dup, receiptno_out_of_series, fixed_barcode_in_scale_range, unbatched_inbound_tracked, cogs_impact) plus dbset_tables_exist and writer_coupling",Governance,Active,Directly used (manual + daily),/Inventory/IntegrityReconciliation,CrossDbContext + reflection over the EF model,called under [InvPerm] or from the hosted service,companyId parameter; dev-tuned frozen baselines (documented as needing production re-tuning),branch_company_mismatch check is branch-aware
CrossBuy/BL/IntegrityCheckHostedService.cs,Hosted service,Daily integrity run - the only background job whose output covers hyper data,Governance,Active,Directly used,n/a,IServiceScopeFactory (scope per run),n/a - background,explicit company scope per run,n/a
CrossBuy/BL/ScopedTx.cs,Infrastructure,"own-or-join ambient transaction helper - the reason a hyper sale is atomic across invoice + GL + stock + receipt + loyalty + idempotency token",Infrastructure,Active,Directly used,n/a,CrossDbContext,n/a,n/a,n/a
CrossBuy/BL/StoreCatalogService.cs,Service,Storefront product/category read models,Commerce,Active,Directly used,/Store/*,CrossDbContext,called inside BeginPublicCatalogRead,pinned public catalogue company,n/a
CrossBuy/BL/WarehouseService.cs,Service,Warehouse list for POS setup + branch sales-warehouse selection,Inventory,Active,Directly used,n/a,CrossDbContext,n/a,companyId parameter,n/a
CrossBuy/BL/PosDashboardDto.cs,DTO,POS dashboard shapes (sales, by type, top items, recent),POS shared,Active,Directly used by PosController.Dashboard,n/a,none,n/a,n/a,n/a
CrossBuy/Models/Context/Pos/OperationsPlatform.cs,Model,"22 POS/retail entities: ActivityPreset, ActivityPresetCapability, BranchCapability, BranchPosSetting, HyperPayToken, PosOrder, PosOrderLine, PosPayment, PosTerminal, PosShift, BranchPaymentMethod, BranchUserRole, PosSyncLog, PosSyncConflict, BranchItemSourcing, modifiers, tables, delivery, reservations",POS shared,Active,Directly used,n/a,none,n/a,PosOrder.CompanyId; BranchCapability/BranchPosSetting keyed by branch only,BranchId on almost every setup entity
CrossBuy/Models/Context/Loyalty/Loyalty.cs,Model,"PointsMovement - signed points ledger; balance is DERIVED (never stored)",Loyalty,Active,Directly used,n/a,none,n/a,CompanyID on every movement,branch enters only via the earn rate and capability
CrossBuy/Models/Context/Inventory/Inventory.cs,Model,"Item (incl. IsWeighted, ScaleCode, LoyaltyEligible, QuickCode, Store* presentation), ItemBarcode(UoMId), UoMConversion, ItemComponent, StockBatch, StockBalance, StockMovement, StockCostLayer, BinLocation, BinStock, ItemWarehouseSetting",Inventory,Active,Directly used,n/a,none,n/a,CompanyID on Item/Category/Warehouse/Balance/Movement,warehouse is the stock dimension; branch is not
CrossBuy/Models/Context/Inventory/PriceList.cs,Model,"PriceList, PriceListLine (UoMId, MinQty, PricingMode Fixed|CostPlus, MarkupPercent, validity), Promotion (type, value, currency, item/category/customer/segment, MinQty, priority, validity)",Pricing,Active,Directly used,n/a,none,n/a,CompanyID on both,no branch column - branch scoping is by pinning a list to a branch
CrossBuy/Models/Context/Inventory/PriceChangeLog.cs,Model,"Append-only bulk price-change audit keyed (PriceListId, ItemId, UoMId) - never LineId",Pricing,Active,Directly used,n/a,none,n/a,CompanyID,n/a
CrossBuy/Models/Context/Admin/Branch.cs,Model,"Branch incl. ActivityPresetCode (Restaurant|Cafe|Hyper|Retail), FunctionalCurrencyId, CurrencyLockedAt, BrandId",Admin,Active,Directly used,n/a,none,n/a,CompanyID,ActivityPresetCode is the hyper scoping key everywhere
CrossBuy/Models/Context/CrossDbContext.cs,Infrastructure,"DbSet registrations for every entity above (POS block 444-482); EF decimal precision configuration",Infrastructure,Active,Directly used,n/a,all models,n/a,carries the parallel team's CompanyScope + global query filters on ~12 pilot entities,n/a
CrossBuy/Models/PosLaneActivityGuardAttribute.cs,Attribute (filter),"THE shared per-request lane guard: re-checks the session branch's activity against the lane whitelist; drops a mismatched session; 403 JSON for AJAX/non-GET, redirect for GET",POS shared,Active,Directly used by both lanes,n/a,"CrossDbContext, IPosAccessService, IStringLocalizer",it is a LANE guard and explicitly NOT authorization (stated in Correction005 tests),n/a,reads Branch.ActivityPresetCode per request
CrossBuy/Models/SessionValidationMiddleware.cs,Middleware,"Employee-session gate with explicit bypasses for /pos/* cashier paths, /hyper/pos (StartsWith), /store, /api, /hubs",Infrastructure,Active,Directly used,n/a,none,the outer gate; /hyper (back-office) stays behind it - only /hyper/pos bypasses,n/a,n/a
CrossBuy/Models/InvPermAttribute.cs,Attribute (filter),"Inventory action permission (read|doc|purchase|manage) + warehouse-keeper branch scope over warehouseId args",Inventory,Active,Directly used on pricing/promotion/bulk mutating actions,n/a,IInventoryAccessService,real role authorization,n/a,warehouse-scoped
CrossBuy/Models/DevOnlyAttribute.cs,Attribute (filter),404s an entire controller outside Development,Test harness,Active,Directly used on DevSeedController,n/a,IWebHostEnvironment,the sole production protection for all seed/accept endpoints,n/a,n/a
CrossBuy/Models/Menu/MainMenu.cs,Navigation,"MainMenu.Hyper() = 3 groups / 4 items (Dashboard, Cashier terminal, Hyper sales, Item margin); MainMenu.Restaurant() = 4 groups / 17 items; MainMenu.Inventory() reports group lists ExpiryAlerts but NOT BulkPriceChange or ShelfLabels",Navigation,Active,Directly used,rendered by _LayoutBackend,none,n/a,n/a,n/a
CrossBuy/Views/Hyper/Dashboard.cshtml,View,"Hyper diagnostic panel: branch picker, activity, capability badges, POS setting, terminals, open shifts",Hypermarket,Active,Directly used,GET /hyper,_LayoutBackend + MainMenu.Hyper,Session[Employee],n/a,hyper branches only
CrossBuy/Views/Hyper/PosLane.cshtml,View,"THE cashier workspace: scan box, cart table, total, Pay cash, terminal/shift card, capability badges, Z report, 20 lines of inline JS (idempotency token + offline banner)",Hypermarket,Active,Directly used,GET /hyper/pos/lane,_LayoutHyperPos,Session[HyperCtx] + lane guard,n/a,branch from session
CrossBuy/Views/Hyper/PosLogin.cshtml,View,Hyper lane sign-in (documented clone of Views/PosApp/Login.cshtml),Hypermarket,Active,Directly used,GET /hyper/pos/login,Layout=null (standalone page),[AllowAnonymous],n/a,n/a
CrossBuy/Views/Hyper/PosStart.cshtml,View,Terminal picker + open/resume shift (documented verbatim clone of Views/PosApp/Start.cshtml),Hypermarket,Active,Directly used,GET /hyper/pos/start,_LayoutHyperPos,Session[HyperCtx]; NO role check on the POST it targets,n/a,terminals of the session branch only
CrossBuy/Views/Hyper/Customer.cshtml,View,"Customer identity: search, quick-add, current linked customer, read-only points balance",Hypermarket,Active,Directly used,GET /hyper/pos/customer,_LayoutHyperPos,Session[HyperCtx] + CustomerIdentity capability,n/a,capability is branch-scoped
CrossBuy/Views/Hyper/PriceCheck.cshtml,View,"Read-only price lookup by fixed or scale barcode; shows unit, per-kg, scale code, price source",Hypermarket,Active,Directly used,GET/POST /hyper/pos/pricecheck,_LayoutHyperPos,Session[HyperCtx] + PriceCheck capability; writes nothing,n/a,branch price list + scale config
CrossBuy/Views/Hyper/Receipts.cshtml,View,Last 10 paid orders of THIS terminal with a reprint link (receipt recovery),Hypermarket,Active,Directly used,GET /hyper/pos/receipts,_LayoutHyperPos,Session[HyperCtx]; scoped to (company branch terminal),n/a,terminal-scoped
CrossBuy/Views/Hyper/HyperSales.cshtml,View,"Hyper sales overview: revenue (document currency), order count, margin (functional), top 10 items, by category. Carries a literal placeholder-layout banner",Hypermarket,Active,Directly used,GET /hyper/reports/sales,_LayoutBackend,Session[Employee],n/a,hyper branches only
CrossBuy/Views/Hyper/HyperItemMargin.cshtml,View,"Per-item margin with a three-state cost status (Costed|ZeroCost|Unposted) and a blank-when-stale indicative column. Carries a literal placeholder-layout banner",Hypermarket,Active,Directly used,GET /hyper/reports/item-margin,_LayoutBackend,Session[Employee],n/a,hyper branches only
CrossBuy/Views/Shared/_LayoutHyperPos.cshtml,Layout,Hyper lane chrome - documented verbatim clone of _LayoutPosApp rebound to HyperCtx,Hypermarket,Active,Directly used,n/a,Metronic 8 bundles + crossbuy-brand.css,reads Session[HyperCtx] for identity display,n/a,shows the branch badge
CrossBuy/Views/Shared/_MainMenu.cshtml,Navigation view,"System switcher; Hypermarket is a first-class tile (#e0873a) active for /hyper and /hyper/pos",Navigation,Active,Directly used,n/a,MainMenu,n/a,n/a,n/a
CrossBuy/Views/Portal/Choose.cshtml,View,Post-login system chooser; Hypermarket tile links to /hyper/dashboard,Navigation,Active,Directly used,/Portal/Choose,none,Session[Employee],n/a,n/a
CrossBuy/Views/Pos/Setup.cshtml,View,"THE only screen that assigns Branch.ActivityPresetCode and edits capabilities - shown on the RESTAURANT sidebar and bound to the 7 restaurant capability keys",POS shared,Active,Directly used - and the incorrect home for hyper configuration,/Pos/Setup,_LayoutPos + PosController.Capabilities,[SessionValidation] + PosGate on the POSTs,DefaultCompanyId for lists,branch picker
CrossBuy/Views/Inventory/PriceLists.cshtml,View,Price-list list shell (rows via PriceListsData partial),Pricing,Active,Directly used,/Inventory/PriceLists,_LayoutInventory + _PriceListRows,authentication (GET); [InvPerm(doc)] on mutations,DefaultCompanyId,n/a
CrossBuy/Views/Inventory/PriceListEditor.cshtml,View,"Price-list editor incl. per-line UoM, MinQty, Fixed|CostPlus, markup, validity",Pricing,Active,Directly used,/Inventory/PriceListEditor,_LayoutInventory,[InvPerm(doc)] on save,DefaultCompanyId,n/a
CrossBuy/Views/Inventory/Promotions.cshtml,View,Promotion list shell,Pricing,Active,Directly used,/Inventory/Promotions,_LayoutInventory + _PromotionRows,as above,DefaultCompanyId,n/a
CrossBuy/Views/Inventory/PromotionEditor.cshtml,View,"Promotion editor: type, value, currency, item/category/customer/segment, MinQty, priority, validity",Pricing,Active,Directly used,/Inventory/PromotionEditor,_LayoutInventory,[InvPerm(doc)] on save,DefaultCompanyId,no branch field - activation is by branch capability only
CrossBuy/Views/Inventory/BulkPriceChange.cshtml,View,"Bulk price change: preview grid, mandatory reason, execute, undo",Pricing,Active,"REACHABLE BY URL ONLY - no menu entry, no inbound link from any view",/Inventory/BulkPriceChange,_LayoutInventory,GET is authentication-only; the 3 mutating actions carry [InvPerm(doc)],DefaultCompanyId,n/a
CrossBuy/Views/Inventory/ShelfLabels.cshtml,View,A4 shelf-label sheet with EAN-13 SVG bars and a per-kg / scale-code variant,Hypermarket,Active,"REACHABLE BY URL ONLY - no menu entry, no inbound link from any view",/Inventory/ShelfLabels,_LayoutInventory + IShelfLabelService,authentication only; read-only,DefaultCompanyId,n/a
CrossBuy/Views/Inventory/ExpiryAlerts.cshtml,View,Near-expiry and expired on-hand by batch,Inventory,Active,Directly used (in the Inventory reports alias list),/Inventory/ExpiryAlerts,_LayoutInventory,authentication,DefaultCompanyId,n/a
CrossBuy/Views/Inventory/Batches.cshtml,View,All batches with on-hand and days-to-expiry,Inventory,Active,Directly used,/Inventory/Batches,_LayoutInventory,authentication,DefaultCompanyId,n/a
CrossBuy/Views/Inventory/ItemForm.cshtml,View,"Item editor: code, primary barcode, category, units grid with per-unit barcode. NO IsWeighted, NO ScaleCode, NO LoyaltyEligible field",Inventory,Active,Directly used - and the reason weighted retail is not configurable,/Inventory/ItemForm,_LayoutInventory + IItemService,[InvPerm] on save,DefaultCompanyId,n/a
CrossBuy/Views/Accounting/SalesInvoicePrint.cshtml,View,"Shared A4 invoice template used by BOTH the hyper lane and accounting (one template, two thin actions)",Accounting,Active,Directly used,/hyper/pos/invoice/print/{id} and /Accounting/SalesInvoicePrint,OfficialInvoiceHelper,capability + branch ownership (hyper) or [AccPerm] (accounting),invoice company predicate,branch ownership proved for the hyper caller
CrossBuy/Hubs/PosHub.cs,SignalR hub,"Branch-group POS broadcasts (OrderSentToKitchen, LineKdsStatusChanged, OrderReady, OrderPaid)",Restaurant POS,Active,"Apparently unused by Hypermarket - HyperPosController never injects IHubContext",/hubs/pos,IPosAccessService,[Authorize] with Identity + JWT; branch group derived server-side,n/a,branch group from the user's POS access
CrossBuy/wwwroot/Backend-assets/js/pos-terminal.js,JavaScript,Restaurant cashier SPA behaviour (1642 lines),Restaurant POS,Active,Directly used by Views/PosApp/Terminal.cshtml only,n/a,none,n/a,n/a,n/a
CrossBuy/wwwroot/Backend-assets/js/pos-offline.js + pos-offline-order.js + pos-sw.js + pos.webmanifest,JavaScript / PWA,"Restaurant offline queue + service worker + manifest. Per AUDIT-DEVIATIONS a real offline session has NEVER run on a real path",Restaurant POS,Active but unproven,Not used by Hypermarket (HM-10 explicitly declined to generalise it),n/a,none,n/a,n/a,n/a
CrossBuy/wwwroot/Backend-assets/css/pos-cashier.css,CSS,Restaurant cashier dark theme scoped under .posx,Restaurant POS,Active,Not used by the hyper lane (which uses stock Metronic),n/a,none,n/a,n/a,n/a
CrossBuy/deploy/sql/hyper_presets.sql,SQL,"Creates the 'Hyper' ActivityPreset and its 10 default capabilities (5 ON / 5 OFF); scope-guarded to the Hyper preset only",Hypermarket,Active,Applied,n/a,ActivityPresets + ActivityPresetCapabilities,n/a,n/a,preset-level defaults; per-branch rows come from ApplyPreset
CrossBuy/deploy/sql/hm2_multiunit.sql,SQL,"Adds PosOrderLines.UoMId, PriceListLines.UoMId, SalesInvoiceLines.UoMId (all nullable = base)",Hypermarket,Active,Applied,n/a,n/a,n/a,n/a,n/a
CrossBuy/deploy/sql/hm3_weighted.sql,SQL,"Adds Items.IsWeighted + Items.ScaleCode with a FILTERED unique index per company, and the 6 BranchPosSettings.Scale* columns",Hypermarket,Active,Applied,n/a,n/a,n/a,ScaleCode unique per company,scale format is per branch
CrossBuy/deploy/sql/hm4_pricing.sql,SQL,"Creates PriceChangeLogs (plural, decimal(19,4)) + 2 indexes",Hypermarket,Active,Applied,n/a,n/a,n/a,CompanyID column,n/a
CrossBuy/deploy/sql/hm7_count_batch.sql,SQL,"Adds StockCountLines.BatchNo, ExpiryDate, BatchCreatedInCount",Hypermarket,Active,Applied,n/a,n/a,n/a,n/a,n/a
CrossBuy/deploy/sql/hm8_official_invoice.sql,SQL,"Adds SalesInvoices.CustomerNameOverride/CustomerTaxNoOverride/CustomerOverrideBy/At (display-only beneficiary)",Hypermarket,Active,Applied,n/a,n/a,n/a,n/a,n/a
CrossBuy/deploy/sql/hm9_loyalty_earn.sql,SQL,"Creates PointsMovements + 2 indexes; adds Companies.LoyaltyPointsPerCurrencyUnit, BranchPosSettings.LoyaltyPointsPerCurrencyUnit, ItemCategories.LoyaltyEligible, Items.LoyaltyEligible",Loyalty,Active,Applied,n/a,n/a,n/a,company default rate,branch override rate
CrossBuy/deploy/sql/hm10_pay_idempotency.sql,SQL,"Creates HyperPayTokens with UNIQUE (CompanyId, Token) - the pay-race backstop",Hypermarket,Active,Applied,n/a,n/a,n/a,unique per company + token,n/a
CrossBuy/deploy/sql/hm_d18_hyper_kwd_pricelist.sql,SQL,"DEMO seed: a KWD price list + one line + branch link. Runbook marks it 'not a real price source'",Hypermarket,Active,Demo data only - must not be treated as production pricing,n/a,n/a,n/a,company 1,branch HYPER-DEMO
CrossBuy/deploy/sql/hm_d38_branch_tax.sql,SQL,"Adds BranchPosSettings.DefaultTaxCodeId and pins the Kuwait hyper branch to VATEX (0%)",Hypermarket,Active,Applied,n/a,n/a,n/a,n/a,branch-level tax override
CrossBuy/deploy/sql/hm_d39_rename_cogs.sql,SQL,Renames 510101 to Cost of Goods Sold and adds a separate rent account,Accounting,Active,Applied,n/a,n/a,n/a,n/a,n/a
CrossBuy/deploy/sql/hm_d34_relabel_shell_company_refs.sql,SQL,Relabels 197 branches mislabelled onto empty shell companies,Admin,Active,Applied,n/a,n/a,n/a,corrects branch CompanyID,n/a
CrossBuy/deploy/sql/hm16_rename_grni.sql,SQL,Renames 210203 to GRNI (it was mislabelled Payroll Tax Payable),Accounting,Active,Applied,n/a,n/a,n/a,n/a,n/a
CrossBuy/deploy/sql/hm2_d23_rate_staleness.sql,SQL,Exchange-rate staleness configuration used by the hyper KWD path,Accounting,Active,Applied,n/a,n/a,n/a,n/a,n/a
CrossBuy/deploy/sql/pos_*.sql (17 scripts),SQL,"POS foundation the hyper lane reuses: pos_schema_master, pos_setup, pos_order, pos_terminals, pos_payment_roles, pos_shift_close_rc6a, pos_void_rc6c, pos_hold_recall, pos_sync_log_9d, pos_sync_conflict_9e, pos_branch_item_sourcing_bis1, pos_modifiers*, pos_kds*, pos_quickmenu, pos_reservations_b1, pos_delivery_c1-c3",POS shared,Active,"Applied; the modifier/KDS/delivery/reservation scripts back restaurant-only features",n/a,n/a,n/a,n/a,n/a
CrossBuy.Tests/Correction005StructuralTests.cs,Test (xUnit),"Pins the 13 hard-coded-company controllers by name (incl. both hyper controllers) and asserts the POS stamp action keeps its branch checks and gained a role check",Governance,Active,Directly used,n/a,source-text reflection,n/a,pins PosCompanyId as a known constant,asserts BranchOwnsInvoiceAsync is present
CrossBuy.Tests/Stage1PermissionBacklogTests.cs,Test (xUnit),Lists 3 hyper lane actions in the authorization backlog and pins the backlog size,Governance,Active,Directly used,n/a,source-text reflection,n/a,n/a,n/a
CrossBuy/Resources/SharedResources.resx (+ .ar .en .fr),Localization,"912 keys; ~30 are retail/hyper-specific (scale barcode errors, multi-barcode, weighted, price check, shelf labels, scale code, receipts, hypermarket)",Localization,Active,Directly used,n/a,none,n/a,n/a,n/a
CrossBuy/deploy/HYPER-DEPLOY-RUNBOOK.md,Documentation,"Ordered SQL set, required data per hyper branch, post-deploy checklist, what not to deploy, known deploy risks",Hypermarket,Active,Directly used,n/a,n/a,n/a,warns dev-tuned integrity baselines misclassify on production,per-branch data requirements enumerated
CrossBuy/deploy/AUDIT-DEVIATIONS.md,Documentation,"Running deviation/decision log; the authoritative source for HM-D41..D61 deferrals and every hyper acceptance result",Governance,Active,Directly used,n/a,n/a,n/a,n/a,n/a
