Path,Change,Role,Purpose,Bytes,Lines,SHA256
docs/construction/Stage-Construction-CR01-BOQ-Identity-Evidence.md,CREATED,document,"CR-01 defect, remediation, tests, mutation proof",6599,127,98129da29a512df9670e613509aaccba77683f7cff47b77f02e0bb6d27e666df
docs/construction/Stage-Construction-CR02-Subcontract-Cap-Evidence.md,CREATED,document,"CR-02 defect, remediation, tests, mutation proof, scope boundary",6271,113,f0fff5e5fa2abcd6cf4cf645c1c40bad60b87d537e876cd06335ead160dad760
docs/construction/Stage-Construction-CR03-Commercial-Revision-Evidence.md,CREATED,document,"CR-03 defect, remediation, tests, mutation proof",6742,115,128ab83b66616b6ba2656c2051a8a669cc5b3fe1ba1eaef69dfa439159e795e1
docs/construction/Stage-Construction-Contract-Mapping-Measurement.md,CREATED,document,"D-01 measurement specification, decision rule, results form",7676,107,daaaf0308c7037e763944775a8bda61e84f8f99912d0723951bb3a5563d448ee
docs/construction/Stage-Construction-Concurrency-and-Audit-Design.md,CREATED,document,"Token design, audit design, the declared base-table gap",9039,152,1fc2e72f7e19496ecb38618302da68ae99e40f918f3315ee1aa36d2b9731e8ec
docs/construction/Stage-Construction-C1-Delivery-Report.md,CREATED,document,C1 delivery report and completion-gate table,9774,141,6443cfc3f75f96d859361b3611598cfc319c66d3ec9a7da2f82fdef7771633b9
docs/construction/Stage-Construction-C1-Preservation-Report.md,CREATED,document,"Hashes, archive, restore verification",5547,100,042834158830f363fc9c6531c5999d9d5a18cc7816c0a53cb8dcb7fcf7cf5710
docs/construction/mutation-proof-results.json,CREATED,evidence,Raw mutation-proof output (baseline / mutated / restored per mutation),2085,54,9af32f5300c97a01608dadd56a6963d5743b10420f3a567004d130cd1c02f768
docs/construction/_generator/run_mutation_proofs.py,CREATED,tooling,"Applies, proves and restores mutations C-01/C-02/C-03; sweeps for leftover markers",12068,262,96e50308ddbbac68aca514ead5986ca4b103f5694227742998e316aa0ba0c5de
docs/construction/_generator/generate_c1_manifest.py,CREATED,tooling,This script,7426,137,80f429a229cdc6dfb5075eaa87134c8c6f0a8ab7de4a18ada21ff794a03409e3
docs/construction/_generator/generate_construction_catalogs.py,MODIFIED,tooling,Roadmap extended with C11 (schedule baselines / Primavera-MSProject import) and C12 (resource leveling),76895,689,e77085ae579d1e68416f7b17b750a2e7b8d5b5907f5fd1b31974674664da1c24
