key,arabic,english,french,ar_source,en_source,fr_source,translation_status,use_count,first_used_in
A spreadsheet has to be opened in Excel. Use Download.,ملف الجدول يُفتح في إكسل — استخدم «تنزيل».,A spreadsheet has to be opened in Excel. Use Download.,Un classeur s'ouvre dans Excel — utilisez Télécharger.,view,view,view,translated in all three,1,CrossBuy/Views/Shared/_ReportPreviewModal.cshtml
A work center is a machine or station with an hourly labor and overhead rate. Used in routings to compute time-based cost automatically.,مركز العمل = آلة أو محطة لها تكلفة عمالة وأوفرهيد بالساعة. تُستخدم في مسارات التصنيع لاحتساب تكلفة الوقت تلقائيًا.,A work center is a machine or station with an hourly labor and overhead rate. Used in routings to compute time-based cost automatically.,Un poste de charge est une machine ou une station avec un taux horaire de main-d'œuvre et de frais généraux. Utilisé dans les gammes pour calculer automatiquement le coût basé sur le temps.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/WorkCenters.cshtml
AI Insights,رؤى ذكية,AI Insights,Analyses IA,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/AiInsights.cshtml
AI analytics,تحليلات الذكاء الاصطناعي,AI analytics,Analytique IA,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/AiInsights.cshtml
AM,صباحاً,AM,AM,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
AP,موردون,AP,AP,view,view,view,translated in all three,3,CrossBuy/Views/Accounting/Executive.cshtml
AP Aging,أعمار ديون الموردين,AP Aging,Balance âgée fournisseurs,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/ApAging.cshtml
AP diff,فرق الموردين,AP diff,Écart fournisseurs,view,view,view,translated in all three,1,CrossBuy/Views/Currency/Revaluation.cshtml
AR,عملاء,AR,AR,view,view,view,translated in all three,3,CrossBuy/Views/Accounting/Executive.cshtml
AR Aging,أعمار ديون العملاء,AR Aging,Balance âgée clients,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/ArAging.cshtml
AR diff,فرق العملاء,AR diff,Écart clients,view,view,view,translated in all three,1,CrossBuy/Views/Currency/Revaluation.cshtml
About,حول,About,À propos,view,view,view,translated in all three,1,CrossBuy/Views/Shared/_mainLayout.cshtml
About Us,من نحن,About Us,À propos de nous,view,view,view,translated in all three,1,CrossBuy/Views/Shared/_mainLayout.cshtml
Absence,خصم غياب,Absence,Absence,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/Payslips.cshtml
Absence / day,غياب / يوم,Absence / day,Absence / jour,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
Absence penalty,خصم غياب,Absence penalty,Pénalité d'absence,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/Payslip.cshtml
AbsenceDaysBeforePenalty,أيام الغياب قبل العقوبة,Absence Days Before Penalty,Jours d'absence avant pénalité,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
AbsenceDeductionPerDay,خصم الغياب / يوم,Absence Deduction per Day,Retenue pour absence par jour,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
Absent,غائب,Absent,Absent,view,view,view,translated in all three,4,CrossBuy/Views/Admin/Attendance.cshtml
Absent days,أيام الغياب,Absent days,Jours d'absence,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
Accent,لون التمييز,Accent,Accent,view,view,view,translated in all three,1,CrossBuy/Views/Brand/BrandEditor.cshtml
Accept,قبول,Accept,Accepter,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/QuotationDetails.cshtml
Accept this quotation?,قبول عرض السعر؟,Accept this quotation?,Accepter ce devis ?,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/QuotationDetails.cshtml
Accepted,مقبول,Accepted,Accepté,view,view,view,translated in all three,5,CrossBuy/Views/Admin/ApplicationDetail.cshtml
Accessibility,إمكانية الوصول,Accessibility,Accessibilité,view,view,view,translated in all three,1,CrossBuy/Views/Shared/_mainLayout.cshtml
Account,الحساب,Account,Compte,shared,shared,shared,translated in all three,18,CrossBuy/Views/Accounting/BalanceSheet.cshtml
Account Insights,تحليلات الحسابات,Account Insights,Analyses des comptes,view,view,view,translated in all three,1,CrossBuy/Views/Crm/AccountInsights.cshtml
Account Ledger,كشف حساب,Account Ledger,Grand livre de compte,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/Ledger.cshtml
Account No,رقم الحساب,Account No,N° de compte,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/BankAccounts.cshtml
Account Settings,إعدادات الحساب,Account Settings,Paramètres du compte,view,view,view,translated in all three,4,CrossBuy/Views/Shared/_LayoutAccounting.cshtml
Account name,اسم الحساب,Account name,Nom du compte,view,view,view,translated in all three,1,CrossBuy/Views/Crm/AccountEditor.cshtml
Account statement,كشف حساب,Account statement,Relevé de compte,shared,shared,shared,translated in all three,4,CrossBuy/Views/Accounting/CustomerStatement.cshtml
Accountant,محاسب,Accountant,Comptable,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/AccountingRoles.cshtml
Accounting,النظام المحاسبي,Accounting,Comptabilité,shared,shared,shared,translated in all three,44,CrossBuy/Views/Accounting/AccountingRoles.cshtml
Accounting roles,أدوار وصلاحيات المحاسبة,Accounting roles,Rôles de comptabilité,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/AccountingRoles.cshtml
Accounts,الحسابات,Accounts,Comptes,shared,shared,shared,translated in all three,5,CrossBuy/Views/Accounting/Index.cshtml
Accounts analysed,الحسابات التي تم فحصها,Accounts analysed,Comptes analysés,view,view,view,translated in all three,1,CrossBuy/Views/Crm/AccountInsights.cshtml
Accounts needing attention,حسابات تحتاج متابعة,Accounts needing attention,Comptes nécessitant une attention,view,view,view,translated in all three,1,CrossBuy/Views/Crm/AccountInsights.cshtml
"Accounts, journals & reports","Accounts, journals & reports","Accounts, journals & reports","Accounts, journals & reports",fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Portal/Choose.cshtml
Accum. dep @ cutoff,مجمّع الإهلاك حتى القطع,Accum. dep @ cutoff,Amort. cumulé à la coupure,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/OpeningBalances.cshtml
Accum. dep.,مجمع الإهلاك,Accum. dep.,Amort. cumulé,view,view,view,translated in all three,3,CrossBuy/Views/Accounting/AssetCategories.cshtml
Accum. depreciation,مجمع الإهلاك,Accum. depreciation,Amortissement cumulé,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/AssetCategories.cshtml
Accumulated,مجمع الإهلاك,Accumulated,Cumulé,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/DepreciationRunDetail.cshtml
Acknowledge this appraisal?,إقرار هذا التقييم؟,Acknowledge this appraisal?,Accuser réception de cette évaluation ?,view,view,view,translated in all three,1,CrossBuy/Views/People/MyAppraisal.cshtml
Acknowledged,مُقَرّ,Acknowledged,Prise en compte,view,view,view,translated in all three,3,CrossBuy/Views/Admin/AppraisalScore.cshtml
Acknowledgment,الإقرار,Acknowledgment,Accusé de réception,view,view,view,translated in all three,1,CrossBuy/Views/People/MyAppraisal.cshtml
Acquired,تاريخ الاقتناء,Acquired,Acquis,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/FixedAssetDetail.cshtml
Acquisition JV,قيد الاقتناء,Acquisition JV,Écriture d'acquisition,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/FixedAssetDetail.cshtml
Acquisition date,تاريخ الاقتناء,Acquisition date,Date d'acquisition,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/FixedAssets.cshtml
Action,إجراء,Action,Action,view,view,view,translated in all three,8,CrossBuy/Views/Accounting/Journals.cshtml
Actions,الإجراءات,Actions,Actions,shared,shared,shared,translated in all three,38,CrossBuy/Views/Accounting/Customers.cshtml
Activate,تفعيل,Activate,Activer,view,view,view,translated in all three,4,CrossBuy/Views/Accounting/TaxCodes.cshtml
Activate default brand,تفعيل علامة افتراضية,Activate default brand,Activer la marque par défaut,view,view,view,translated in all three,1,CrossBuy/Views/Brand/Brands.cshtml
Activate driver?,تفعيل السائق؟,Activate driver?,Activer le livreur ?,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Drivers.cshtml
Activate this announcement?,تفعيل هذا الإعلان؟,Activate this announcement?,Activer cette annonce ?,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Announcements/Index.cshtml
Activate this tax code?,تفعيل كود الضريبة ده؟,Activate this tax code?,Activate this tax code?,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Accounting/TaxCodes.cshtml
Activate zone?,تفعيل المنطقة؟,Activate zone?,Activer la zone ?,view,view,view,translated in all three,1,CrossBuy/Views/Pos/DeliveryZones.cshtml
Active,نشط,Active,Actif,shared,shared,shared,translated in all three,61,CrossBuy/Views/Accounting/BankAccounts.cshtml
Active contracts,العقود النشطة,Active contracts,Active contracts,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Admin/HrDocuments.cshtml
Active leads,عملاء محتملون نشطون,Active leads,Active leads,shared,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Crm/Index.cshtml
Active orders,أوامر نشطة,Active orders,Ordres actifs,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ManufDashboard.cshtml
Activities,الأنشطة والمهام,Activities,Activités,shared,shared,shared,translated in all three,4,CrossBuy/Views/Crm/AccountInsights.cshtml
Activities & tasks,Activities & tasks,Activities & tasks,Activities & tasks,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Crm/Activities.cshtml
Activity,النشاط,Activity,Activity,view,view,fallback-to-key,MISSING french — English key shown,2,CrossBuy/Views/Crm/CustomFields.cshtml
Activity Logs,سجلات النشاط,Activity Logs,Journaux d'activité,view,view,view,translated in all three,1,CrossBuy/Views/Shared/_LayoutManufacturing.cshtml
Activity code,كود النشاط,Activity code,Code d'activité,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/EtaStatus.cshtml
Activity subject,موضوع النشاط,Activity subject,Objet de l'activité,view,view,view,translated in all three,1,CrossBuy/Views/Crm/AutomationRules.cshtml
Activity subject (EN),Activity subject (EN),Activity subject (EN),Activity subject (EN),fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Crm/AutomationRules.cshtml
Activity timeline,سجل النشاط,Activity timeline,Journal d'activité,shared,shared,shared,translated in all three,2,CrossBuy/Views/Crm/_Timeline.cshtml
Activity type,نوع النشاط,Activity type,Type d'activité,view,view,view,translated in all three,3,CrossBuy/Views/Crm/AutomationRules.cshtml
Activity type enables branch capabilities. Configuration only — no GL/stock impact.,نوع النشاط يفعّل قدرات الفرع (طاولات/مطبخ/تصنيع/…). إعداد فقط — لا يمسّ الحسابات أو المخزون.,Activity type enables branch capabilities. Configuration only — no GL/stock impact.,Le type d'activité active les capacités de la succursale. Configuration uniquement — aucun impact comptable/stock.,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Setup.cshtml
Activity types,أنواع النشاط,Activity types,Types d'activité,view,view,view,translated in all three,2,CrossBuy/Views/Project/ActivityTypes.cshtml
Actor,المنفّذ,Actor,Auteur,view,view,view,translated in all three,2,CrossBuy/Views/BusinessEventMonitor/Index.cshtml
Actual,الفعلي,Actual,Réel,view,view,view,translated in all three,4,CrossBuy/Views/Inventory/IntegrityReconciliation.cshtml
Add,إضافة,Add,Ajouter,shared,shared,shared,translated in all three,23,CrossBuy/Views/Accounting/PayrollTaxSettings.cshtml
Add & select,Add & select,Add & select,Add & select,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/PosApp/Terminal.cshtml
Add Contact,إضافة جهة اتصال,Add Contact,Ajouter un contact,view,view,view,translated in all three,1,CrossBuy/Views/Shared/_LayoutManufacturing.cshtml
Add Event,إضافة حدث,Add Event,Ajouter un événement,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Calendar/Index.cshtml
Add Member,إضافة عضو,Add Member,Ajouter un membre,view,view,view,translated in all three,5,CrossBuy/Views/Admin/AdministrativeBodiesCompany.cshtml
Add Product,إضافة صنف,Add Product,Ajouter un produit,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/Items.cshtml
Add Selected Users,إضافة المستخدمين المحددين,Add Selected Users,Ajouter les utilisateurs sélectionnés,view,view,view,translated in all three,1,CrossBuy/Views/Shared/_LayoutManufacturing.cshtml
Add To Cart,Add To Cart,Add To Cart,Add To Cart,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Home/Store.cshtml
Add To Wishlist,أضف إلى المفضلة,Add To Wishlist,Add To Wishlist,view,fallback-to-key,fallback-to-key,english falls back to key text,3,CrossBuy/Views/Home/Store.cshtml
Add a caption…,أضف تعليقًا…,Add a caption…,Add a caption…,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Chat/Index.cshtml
Add a charge with amount & account,Add a charge with amount & account,Add a charge with amount & account,Add a charge with amount & account,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Inventory/NewLandedCost.cshtml
Add a demand to see requirements.,أضِف طلبًا لرؤية الاحتياجات.,Add a demand to see requirements.,Ajoutez une demande pour voir les besoins.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/PlanDetails.cshtml
Add a line,أضف بندًا,Add a line,Ajouter une ligne,view,view,view,translated in all three,4,CrossBuy/Views/Accounting/NewPurchaseInvoice.cshtml
Add a message,إضافة رسالة,Add a message,Ajouter un message,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Shared/_EntityConversation.cshtml
Add a new customer,إضافة عميل جديد,Add a new customer,Add a new customer,shared,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Hyper/Customer.cshtml
Add a row with an amount,أضف سطرًا بمبلغ,Add a row with an amount,Ajouter une ligne avec un montant,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/OpeningBalances.cshtml
Add a section first.,أضِف سيكشن أولًا.,Add a section first.,Ajoutez d'abord une section.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/WarehouseSections.cshtml
"Add a tab, then buttons from the catalog.",أضِف تبويبًا ثم أزرارًا من الكتالوج.,"Add a tab, then buttons from the catalog.","Ajoutez un onglet, puis des boutons depuis le catalogue.",view,view,view,translated in all three,1,CrossBuy/Views/Pos/QuickMenu.cshtml
Add all list members to the campaign?,إضافة كل أعضاء القائمة إلى الحملة؟,Add all list members to the campaign?,Ajouter tous les membres de la liste à la campagne ?,view,view,view,translated in all three,1,CrossBuy/Views/Crm/CampaignDetail.cshtml
Add an item,أضف صنفًا,Add an item,Ajouter un article,view,view,view,translated in all three,3,CrossBuy/Views/Inventory/NewDelivery.cshtml
Add an item and a warehouse first.,أضف صنفًا ومخزنًا أولًا.,Add an item and a warehouse first.,Ajoutez d'abord un article et un entrepôt.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/NewMovement.cshtml
Add an item to the demand.,أضِف صنفًا للطلب.,Add an item to the demand.,Ajouter un article à la demande.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/PlanDetails.cshtml
Add and link,إضافة وربط,Add and link,Add and link,shared,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Hyper/Customer.cshtml
Add another condition,إضافة شرط آخر,Add another condition,Ajouter une autre condition,view,view,view,translated in all three,1,CrossBuy/Views/Admin/PolicesData.cshtml
Add at least one category and one unit before creating items.,أضف فئة ووحدة قياس واحدة على الأقل قبل إنشاء الأصناف.,Add at least one category and one unit before creating items.,Ajoutez au moins une catégorie et une unité avant de créer des articles.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/Items.cshtml
Add at least one criterion,أضف معيارًا واحدًا على الأقل,Add at least one criterion,Ajoutez au moins un critère,view,view,view,translated in all three,1,CrossBuy/Views/Admin/AppraisalTemplateEditor.cshtml
Add at least one item line,أضف بند صنف واحدًا على الأقل,Add at least one item line,Ajoutez au moins une ligne d'article,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/NewPurchaseReturn.cshtml
Add at least one line,أضف بندًا واحدًا على الأقل,Add at least one line,Ajoutez au moins une ligne,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/NewSalesInvoice.cshtml
Add bracket,إضافة شريحة,Add bracket,Ajouter une tranche,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/PayrollTaxSettings.cshtml
Add category,فئة جديدة,Add category,Ajouter une catégorie,view,view,view,translated in all three,2,CrossBuy/Views/Inventory/Categories.cshtml
Add component,إضافة مكوّن,Add component,Ajouter un composant,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ItemForm.cshtml
Add contract,إضافة عقد,Add contract,Ajouter un contrat,view,view,view,translated in all three,1,CrossBuy/Views/Admin/HrDocuments.cshtml
Add customer balance,إضافة رصيد عميل,Add customer balance,Ajouter un solde client,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/OpeningBalances.cshtml
Add document,إضافة مستند,Add document,Ajouter un document,view,view,view,translated in all three,1,CrossBuy/Views/Admin/HrDocuments.cshtml
Add failed,فشل الإضافة,Add failed,Échec de l'ajout,view,view,view,translated in all three,1,CrossBuy/Views/Admin/AdministrativeStructure.cshtml
Add files,إضافة ملفات,Add files,Add files,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Admin/_HrDocGallery.cshtml
Add group,إضافة مجموعة,Add group,Ajouter un groupe,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Modifiers.cshtml
Add item,إضافة صنف,Add item,Ajouter un article,view,view,view,translated in all three,2,CrossBuy/Views/Inventory/ItemForm.cshtml
Add line,إضافة بند,Add line,Add line,shared,fallback-to-key,fallback-to-key,english falls back to key text,15,CrossBuy/Views/Accounting/CreateJournal.cshtml
Add member,Add member,Add member,Add member,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,3,CrossBuy/Views/Chat/Index.cshtml
Add new contact,إضافة جهة اتصال جديدة,Add new contact,Ajouter un nouveau contact,view,view,view,translated in all three,2,CrossBuy/Views/Service/BranchDetails.cshtml
Add new customer,إضافة عميل جديد,Add new customer,Ajouter un nouveau client,view,view,view,translated in all three,1,CrossBuy/Views/PosApp/Terminal.cshtml
Add new group,إضافة مجموعة جديدة,Add new group,Ajouter un nouveau groupe,view,view,view,translated in all three,2,CrossBuy/Views/Service/BranchDetails.cshtml
Add opening asset,إضافة أصل افتتاحي,Add opening asset,Ajouter un actif d'ouverture,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/OpeningBalances.cshtml
Add opening stock,إضافة مخزون افتتاحي,Add opening stock,Ajouter un stock d'ouverture,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/OpeningBalances.cshtml
Add payment method,إضافة طريقة دفع,Add payment method,Ajouter un mode de paiement,view,view,view,translated in all three,1,CrossBuy/Views/Pos/PaymentMethods.cshtml
Add policy,إضافة لائحة,Add policy,Ajouter une politique,view,view,view,translated in all three,1,CrossBuy/Views/Admin/PolicesData.cshtml
Add products to this category one by one by manually selecting this category during product creation or update.,أضف المنتجات إلى هذه الفئة واحدًا تلو الآخر باختيار هذه الفئة يدويًا أثناء إنشاء المنتج أو تحديثه.,Add products to this category one by one by manually selecting this category during product creation or update.,Ajoutez les produits à cette catégorie un par un en sélectionnant manuellement cette catégorie lors de la création ou de la mise à jour du produit.,view,view,view,translated in all three,1,CrossBuy/Views/Admin/PolicesData.cshtml
Add rack,إضافة رف,Add rack,Ajouter un rayon,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/WarehouseSections.cshtml
Add search terms…,أضف كلمات بحث…,Add search terms…,Ajouter des termes de recherche…,view,view,view,translated in all three,25,CrossBuy/Views/Accounting/Customers.cshtml
