screen_id,module,route,title_en,title_ar,fields,actions,columns,notices,modals,code_evidence,runtime_evidence,screenshot_en,screenshot_ar,actions_tested,roles_tested,gaps
SCR-ACCOUNTING-MovementSummary,Accounting,/Accounting/MovementSummary,Movement summary,ملخص الحركة,0,2,25,0,0,repository-verified,NOT viewed,no,no,none — no action was performed on any screen,administrator only,no English screenshot; no Arabic screenshot
SCR-ACCOUNTING-NewPurchaseInvoice,Accounting,/Accounting/NewPurchaseInvoice,Edit invoice,تعديل الفاتورة,6,5,10,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-NewPurchaseReturn,Accounting,/Accounting/NewPurchaseReturn,Edit invoice,تعديل الفاتورة,4,5,5,1,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-NewSalesInvoice,Accounting,/Accounting/NewSalesInvoice,Edit invoice,تعديل الفاتورة,6,5,10,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-NewSalesReturn,Accounting,/Accounting/NewSalesReturn,Edit invoice,تعديل الفاتورة,4,5,9,1,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-PartyStatementPicker,Accounting,/Accounting/PartyStatementPicker,Account statement,كشف حساب,3,2,0,0,0,repository-verified,NOT viewed,no,no,none — no action was performed on any screen,administrator only,no English screenshot; no Arabic screenshot
SCR-ACCOUNTING-Payments,Accounting,/Accounting/Payments,Payments,سندات الدفع,10,4,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-Payroll,Accounting,/Accounting/Payroll,Payroll Journal,قيد الرواتب,3,2,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-PayrollDisbursement,Accounting,/Accounting/PayrollDisbursement,Payroll disbursement & remittance,Payroll disbursement & remittance,4,4,0,1,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,heading has NO ARABIC — the key is shown to the user; 2 field(s) with no caption
SCR-ACCOUNTING-PayrollTaxSettings,Accounting,/Accounting/PayrollTaxSettings,Payroll tax & insurance,Payroll tax & insurance,9,4,3,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,heading has NO ARABIC — the key is shown to the user; 2 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-Payslip,Accounting,/Accounting/Payslip,Payslip,قسيمة راتب,0,2,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-Payslips,Accounting,/Accounting/Payslips,Payslips,قسائم الرواتب,2,3,8,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-Periods,Accounting,/Accounting/Periods,Fiscal Periods,الفترات المالية,1,3,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-PurchaseInvoiceDetail,Accounting,/Accounting/PurchaseInvoiceDetail,Purchase Invoice,فاتورة شراء,0,2,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-PurchaseInvoices,Accounting,/Accounting/PurchaseInvoices,Purchase Invoices,فواتير الشراء,3,3,7,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-PurchaseReturnDetail,Accounting,/Accounting/PurchaseReturnDetail,Debit Note,إشعار مدين,0,2,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-PurchaseReturns,Accounting,/Accounting/PurchaseReturns,Purchase Returns / Debit Notes,مرتجعات الشراء / إشعارات المدين,1,3,7,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 2 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-Receipts,Accounting,/Accounting/Receipts,Receipts,سندات القبض,9,4,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-Reconcile,Accounting,/Accounting/Reconcile,Bank Reconciliation,التسوية البنكية,4,3,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-Reconciliations,Accounting,/Accounting/Reconciliations,Bank Reconciliations,التسويات البنكية,0,1,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-SalesInvoiceDetail,Accounting,/Accounting/SalesInvoiceDetail,Sales Invoice,فاتورة بيع,0,2,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-SalesInvoicePrint,Accounting,/Accounting/SalesInvoicePrint,TAX INVOICE,فاتورة ضريبية,0,0,6,0,0,repository-verified,NOT viewed,no,no,none — no action was performed on any screen,administrator only,no English screenshot; no Arabic screenshot
SCR-ACCOUNTING-SalesInvoices,Accounting,/Accounting/SalesInvoices,Sales Invoices,فواتير البيع,3,2,7,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-SalesReturnDetail,Accounting,/Accounting/SalesReturnDetail,Credit Note,إشعار دائن,0,2,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-SalesReturns,Accounting,/Accounting/SalesReturns,Sales Returns / Credit Notes,مرتجعات البيع / إشعارات الدائن,1,3,7,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 2 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-TaxCodes,Accounting,/Accounting/TaxCodes,Tax Codes,أكواد الضرائب,13,8,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 3 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-Transfer,Accounting,/Accounting/Transfer,Internal Transfer,تحويل بين الحسابات,5,1,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-TrialBalance,Accounting,/Accounting/TrialBalance,Trial Balance,ميزان المراجعة,4,2,4,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-VatReturnDetail,Accounting,/Accounting/VatReturnDetail,VAT Return,إقرار ض.ق.م,1,5,0,1,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-VatReturns,Accounting,/Accounting/VatReturns,VAT Returns,إقرارات ض.ق.م,4,4,6,1,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 1 icon-only action(s) — must be illustrated
SCR-ACCOUNTING-VendorStatement,Accounting,/Accounting/VendorStatement,Account statement,كشف حساب,3,4,7,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ACCOUNTING-Vendors,Accounting,/Accounting/Vendors,Vendors,الموردون,13,4,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ACCOUNTING-YearEndClose,Accounting,/Accounting/YearEndClose,Year-end Close,إقفال السنة المالية,0,3,13,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-ADMIN-AdministrativeBodiesCompany,Admin,/Admin/AdministrativeBodiesCompany,Administrative Bodies in the Company,الجهات الادارية في الشركة,3,4,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ADMIN-AdministrativeBodiesCompanyList,Admin,/Admin/AdministrativeBodiesCompanyList,List of Administrative Bodies in the Company,قائمة الجهات الادارية للشركة,0,4,3,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,3 icon-only action(s) — must be illustrated
SCR-ADMIN-AdministrativeStructure,Admin,/Admin/AdministrativeStructure,Administrative Structure,الهيكل الإداري,6,18,0,0,11,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 12 icon-only action(s) — must be illustrated
SCR-ADMIN-ApplicationDetail,Admin,/Admin/ApplicationDetail,Application details,تفاصيل الطلب,4,15,0,0,2,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,5 icon-only action(s) — must be illustrated
SCR-ADMIN-ApplicationForm,Admin,/Admin/ApplicationForm,Edit application,تعديل الطلب,19,6,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ADMIN-Applications,Admin,/Admin/Applications,Job applications,طلبات التوظيف,0,2,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-ADMIN-AppraisalScore,Admin,/Admin/AppraisalScore,Appraisal,تقييم الأداء,1,3,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ADMIN-AppraisalTemplateEditor,Admin,/Admin/AppraisalTemplateEditor,Edit template,تعديل نموذج,7,4,3,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,2 icon-only action(s) — must be illustrated
SCR-ADMIN-AppraisalTemplates,Admin,/Admin/AppraisalTemplates,Appraisal templates,نماذج التقييم,0,3,3,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,2 icon-only action(s) — must be illustrated
SCR-ADMIN-Appraisals,Admin,/Admin/Appraisals,Performance appraisal,تقييم الأداء,6,5,7,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,2 field(s) with no caption
SCR-ADMIN-Attendance,Admin,/Admin/Attendance,Monthly attendance summary,ملخص الحضور الشهري,2,2,8,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ADMIN-AttendanceEntry,Admin,/Admin/AttendanceEntry,Record attendance,تسجيل الحضور والانصراف,7,2,8,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-ADMIN-CourseEnrollments,Admin,/Admin/CourseEnrollments,Course enrollments,تسجيلات الدورة,4,4,3,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,3 field(s) with no caption; 2 icon-only action(s) — must be illustrated
SCR-ADMIN-DocExpiryAlerts,Admin,/Admin/DocExpiryAlerts,Document & contract expiry alerts,Document & contract expiry alerts,1,4,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,heading has NO ARABIC — the key is shown to the user; 3 icon-only action(s) — must be illustrated
SCR-ADMIN-EmployeeData,Admin,/Admin/EmployeeData,Employee Registration,تسجيل موظف,18,9,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,2 field(s) with no caption
SCR-ADMIN-EmployeesList,Admin,/Admin/EmployeesList,Employees List,قائمة الموظفين,1,3,8,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 2 icon-only action(s) — must be illustrated
SCR-ADMIN-FinalSettlement,Admin,/Admin/FinalSettlement,Termination & final settlement,Termination & final settlement,7,2,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,heading has NO ARABIC — the key is shown to the user
SCR-ADMIN-HolidaysList,Admin,/Admin/HolidaysList,Official holidays,العطلات الرسمية,6,5,5,1,1,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 2 icon-only action(s) — must be illustrated
SCR-ADMIN-HrDocuments,Admin,/Admin/HrDocuments,Employee contracts & documents,Employee contracts & documents,11,8,7,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,heading has NO ARABIC — the key is shown to the user; 2 icon-only action(s) — must be illustrated
SCR-ADMIN-Index,Admin,/Admin/Index,Human Resources,الموارد البشرية,0,7,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-ADMIN-JobTitle,Admin,/Admin/JobTitle,Job Title Data,بيانات المسمي الوظيفي,3,4,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ADMIN-JobTitlesList,Admin,/Admin/JobTitlesList,Job Titles List,قائمة المسميات,0,4,3,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,3 icon-only action(s) — must be illustrated
SCR-ADMIN-LeaveAccrual,Admin,/Admin/LeaveAccrual,Leave encashment & provision,Leave encashment & provision,6,3,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,heading has NO ARABIC — the key is shown to the user; 5 field(s) with no caption
SCR-ADMIN-LeaveCarryOver,Admin,/Admin/LeaveCarryOver,Annual leave carry-over,ترحيل رصيد الإجازات السنوي,1,1,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-ADMIN-LeaveTypesList,Admin,/Admin/LeaveTypesList,Types of Leaves,أنواع الأجازات,3,6,3,0,3,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,3 icon-only action(s) — must be illustrated
SCR-ADMIN-Polices,Admin,/Admin/Polices,Policies,السياسات,48,28,18,0,22,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,2 field(s) with no caption; 10 icon-only action(s) — must be illustrated
SCR-ADMIN-PolicesData,Admin,/Admin/PolicesData,Policies,اللوائح والسياسات,22,32,5,0,1,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,3 field(s) with no caption; 17 icon-only action(s) — must be illustrated
SCR-ADMIN-RequiredDocTypesList,Admin,/Admin/RequiredDocTypesList,Required documents,أنواع المستندات المطلوبة,6,5,5,0,2,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 2 icon-only action(s) — must be illustrated
SCR-ADMIN-TrainingCourseEditor,Admin,/Admin/TrainingCourseEditor,Edit course,تعديل دورة,12,2,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-ADMIN-TrainingCourses,Admin,/Admin/TrainingCourses,Training courses,الدورات التدريبية,1,4,7,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 3 icon-only action(s) — must be illustrated
SCR-ANNOUNCEMENTS-Index,Announcements,/Announcements/Index,Announcements,الإعلانات,7,4,6,0,1,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-APPROVALS-Index,Approvals,/Approvals/Index,My approvals,موافقاتي,0,1,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-BRAND-BrandEditor,Brand,/Brand/BrandEditor,Edit brand,تعديل علامة,16,2,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-BRAND-Brands,Brand,/Brand/Brands,Brands,العلامات التجارية,2,5,6,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,2 icon-only action(s) — must be illustrated
SCR-BUSINESSEVENTMONITOR-Index,BusinessEventMonitor,/BusinessEventMonitor/Index,Business Event Monitor,مراقب أحداث المنصّة,16,7,9,0,3,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
SCR-CALENDAR-Index,Calendar,/Calendar/Index,Calendar,التقويم,12,3,0,0,8,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-CALENDAR-ResourceView,Calendar,/Calendar/ResourceView,,,1,3,0,1,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,no heading element — name it from the navigation; 1 field(s) with no caption; 3 icon-only action(s) — must be illustrated
SCR-CALENDAR-Timeline,Calendar,/Calendar/Timeline,,,1,4,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,no heading element — name it from the navigation; 1 field(s) with no caption; 4 icon-only action(s) — must be illustrated
SCR-CHAT-Index,Chat,/Chat/Index,Chat,المحادثات,9,22,0,0,5,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,6 field(s) with no caption; 14 icon-only action(s) — must be illustrated
SCR-CLIENTPORTAL-Index,ClientPortal,/ClientPortal/Index,,,0,0,0,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,no heading element — name it from the navigation
SCR-CLIENTPORTAL-Invoices,ClientPortal,/ClientPortal/Invoices,Invoices & Payments,الفواتير والمدفوعات,0,0,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-CLIENTPORTAL-NoAccess,ClientPortal,/ClientPortal/NoAccess,,,0,0,0,0,0,repository-verified,NOT viewed,no,no,none — no action was performed on any screen,administrator only,no English screenshot; no Arabic screenshot; no heading element — name it from the navigation
SCR-CLIENTPORTAL-Projects,ClientPortal,/ClientPortal/Projects,My Projects,مشاريعي,0,0,5,0,0,repository-verified,runtime viewed,yes,no,none — no action was performed on any screen,administrator only,no Arabic screenshot
SCR-CLIENTPORTAL-Quotations,ClientPortal,/ClientPortal/Quotations,Quotations,عروض الأسعار,0,0,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,none identified
SCR-COMM-Compose,Comm,/Comm/Compose,Email,البريد,4,7,0,1,1,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,4 field(s) with no caption
SCR-COMM-Index,Comm,/Comm/Index,Email,البريد,1,3,0,3,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption; 2 icon-only action(s) — must be illustrated
SCR-COMM-View,Comm,/Comm/View,Email,البريد,0,7,0,0,0,repository-verified,NOT viewed,no,no,none — no action was performed on any screen,administrator only,no English screenshot; no Arabic screenshot; 2 icon-only action(s) — must be illustrated
SCR-CRM-AccountEditor,Crm,/Crm/AccountEditor,New account,حساب جديد,15,5,5,2,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,2 icon-only action(s) — must be illustrated
SCR-CRM-AccountInsights,Crm,/Crm/AccountInsights,Account Insights,تحليلات الحسابات,2,6,11,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,2 field(s) with no caption; 1 icon-only action(s) — must be illustrated
SCR-CRM-Accounts,Crm,/Crm/Accounts,Accounts,الحسابات,2,2,8,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 field(s) with no caption
SCR-CRM-Activities,Crm,/Crm/Activities,Activities & tasks,Activities & tasks,8,4,5,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,heading has NO ARABIC — the key is shown to the user; 1 field(s) with no caption
SCR-CRM-AutomationRules,Crm,/Crm/AutomationRules,Automation rules (CRM),قواعد الأتمتة (CRM),13,2,4,0,0,repository-verified,runtime viewed,yes,yes,none — no action was performed on any screen,administrator only,1 icon-only action(s) — must be illustrated
