message_id,kind,source,english,arabic,french,translated,evidence,where
MSG-Invalid identifier.,validation,SharedResources,Invalid identifier.,معرّف غير صالح.,Identifiant non valide.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Invalid login credentials,validation,SharedResources,Invalid login credentials,بيانات الدخول غير صحيحة,Identifiants de connexion non valides,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Invalid section,validation,SharedResources,Invalid section,سيكشن غير صالح,Section non valide,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Invalid split format,validation,SharedResources,Invalid split format,صيغة التقسيم غير صحيحة,Format de partage non valide,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Invalid status,validation,SharedResources,Invalid status,حالة غير صحيحة,Statut non valide,yes,repository-verified,Resources/SharedResources.*.resx
MSG-InvalidLogin,failure,SharedResources,That user name or password is not correct.,اسم المستخدم أو كلمة المرور غير صحيح.,Nom d'utilisateur ou mot de passe incorrect !,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Item not found,empty-state,SharedResources,Item not found,العنصر غير موجود,Article introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Journal entry not found,empty-state,SharedResources,Journal entry not found,القيد غير موجود,Écriture de journal introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Last name is required,validation,SharedResources,Last name is required,الاسم الاخير مطلوب,Le nom de famille est obligatoire,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Leave type not found.,empty-state,SharedResources,Leave type not found.,لم يتم العثور على نوع الإجازة.,Type de congé introuvable.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Loading the {0} rounding remainder would drive a line negative — rejected.,validation,SharedResources,Loading the {0} rounding remainder would drive a line negative — rejected.,تحميل فرق التقريب {0} سيجعل سطرًا سالبًا — مرفوض.,(missing — English key shown),NO,repository-verified,Resources/SharedResources.*.resx
MSG-MedicalCertificateRequired,validation,SharedResources,Medical Certificate Required,شهادة طبية مطلوبة,Certificat médical requis,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Member already exists,failure,SharedResources,Member already exists,العضو موجود بالفعل,Le membre existe déjà,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Negative values are not allowed,refusal,SharedResources,Negative values are not allowed,القيم السالبة غير مسموح بها,Les valeurs négatives ne sont pas autorisées,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Net loss detail,validation,SharedResources,"Expenses exceeded total revenue during the selected period, resulting in a net loss.",تجاوزت المصروفات إجمالي الإيرادات خلال الفترة المحددة، مما أدى إلى صافي خسارة.,"Les charges ont dépassé le total des revenus sur la période sélectionnée, entraînant une perte nette.",yes,repository-verified,Resources/SharedResources.*.resx
MSG-Net profit detail,validation,SharedResources,"Revenue exceeded total expenses during the selected period, achieving a positive net profit.",تجاوزت الإيرادات إجمالي المصروفات خلال الفترة المحددة، محققةً صافي ربح موجب.,"Les revenus ont dépassé le total des charges sur la période sélectionnée, générant un bénéfice net positif.",yes,repository-verified,Resources/SharedResources.*.resx
MSG-No activity yet,empty-state,SharedResources,No activity yet,لا يوجد نشاط بعد,Aucune activité pour le moment,yes,repository-verified,Resources/SharedResources.*.resx
MSG-No data submitted.,empty-state,SharedResources,No data submitted.,لا توجد بيانات مرسلة.,Aucune donnée soumise.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-No eligible P&amp;L line to bear the {0} rounding remainder — rejected.,empty-state,SharedResources,No eligible P&amp;L line to bear the {0} rounding remainder — rejected.,لا يوجد سطر ربح/خسارة مؤهَّل لاستحمال فرق التقريب {0} — مرفوض.,(missing — English key shown),NO,repository-verified,Resources/SharedResources.*.resx
MSG-No fiscal period covers the entry date,empty-state,SharedResources,No fiscal period covers the entry date,لا توجد فترة مالية تغطي تاريخ القيد,Aucune période fiscale ne couvre la date de l'écriture,yes,repository-verified,Resources/SharedResources.*.resx
MSG-No movements in this period,empty-state,SharedResources,No movements in this period,لا توجد حركات في هذه الفترة,Aucun mouvement sur cette période,yes,repository-verified,Resources/SharedResources.*.resx
MSG-No split data,empty-state,SharedResources,No split data,لا توجد بيانات تقسيم,Aucune donnée de partage,yes,repository-verified,Resources/SharedResources.*.resx
MSG-NoData,empty-state,SharedResources,No data available,لا توجد بيانات,Aucune donnée disponible,yes,repository-verified,Resources/SharedResources.*.resx
MSG-NoLeavesAdded,empty-state,SharedResources,No Leaves Added,لا توجد إجازات مضافة,Aucun congé ajouté,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Not balanced notice detail,validation,SharedResources,There is a difference between total debit and total credit that must be reviewed and corrected before closing the period.,يوجد فرق بين إجمالي المدين وإجمالي الدائن يجب مراجعته وتصحيحه قبل اعتماد الفترة.,Il existe un écart entre le total du débit et le total du crédit qui doit être vérifié et corrigé avant la clôture.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-NotRequired,validation,SharedResources,Not Required,غير مطلوب,Non requis,yes,repository-verified,Resources/SharedResources.*.resx
MSG-PasswordRequired,validation,SharedResources,Password is required,أدخل كلمة المرور,Le mot de passe est requis,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Payslip not found,empty-state,SharedResources,Payslip not found,القسيمة غير موجودة,Bulletin de paie introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Plan not found,empty-state,SharedResources,Plan not found,الخطة غير موجودة,Plan introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-PleaseWaitMoment,failure,SharedResources,Please wait a moment,يرجي الإنتظار قليلا,Veuillez patienter un instant,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Policy not found.,empty-state,SharedResources,Policy not found.,لم يتم العثور على اللائحة.,Politique introuvable.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Price list not found,empty-state,SharedResources,Price list not found,قائمة الأسعار غير موجودة,Liste de prix introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Produced {0} and closed the order (variance posted to account 520109),failure,SharedResources,Produced {0} and closed the order (variance posted to account 520109),تم إنتاج {0} وإقفال الأمر (رُحّل الانحراف لحساب 520109),{0} produit(s) et ordre clôturé (écart comptabilisé au compte 520109),yes,repository-verified,Resources/SharedResources.*.resx
MSG-Purchase order exceeds the approval limit — sent for approval,validation,SharedResources,Purchase order exceeds the approval limit — sent for approval,تجاوز أمر الشراء حد الاعتماد — أُرسل للموافقة,Le bon de commande dépasse la limite d'approbation — envoyé pour approbation,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Purchase order not found,empty-state,SharedResources,Purchase order not found,أمر الشراء غير موجود,Bon de commande introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Quotation not found,empty-state,SharedResources,Quotation not found,عرض السعر غير موجود,Devis introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Rack must belong to the selected section,validation,SharedResources,Rack must belong to the selected section,الرف يجب أن يتبع السيكشن المختار,Le rayon doit appartenir à la section sélectionnée,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Record not found.,empty-state,SharedResources,Record not found.,السجل غير موجود.,Enregistrement introuvable.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-RejectRequestOnLimitExceeded,validation,SharedResources,Reject Request on Limit Exceeded,رفض الطلب عند التجاوز,Refuser la demande en cas de dépassement de la limite,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Required documents,validation,SharedResources,Required documents,أنواع المستندات المطلوبة,Documents requis,yes,repository-verified,Resources/SharedResources.*.resx
MSG-RequiredConfirm,validation,SharedResources,Please fill in the required fields correctly.,يرجى تعبئة الحقول المطلوبة بشكل صحيح,Veuillez remplir correctement les champs obligatoires.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Return not found,empty-state,SharedResources,Return not found,المرتجع غير موجود,Retour introuvable,yes,repository-verified,Resources/SharedResources.*.resx
"MSG-Rounding remainder {0} exceeds the guard ({1}) — rejected as a real imbalance, not rounding.",validation,SharedResources,"Rounding remainder {0} exceeds the guard ({1}) — rejected as a real imbalance, not rounding.",فرق التقريب {0} يتجاوز الحدّ المسموح ({1}) — مرفوض كاختلال حقيقيّ لا فرق تقريب.,(missing — English key shown),NO,repository-verified,Resources/SharedResources.*.resx
MSG-SaveFailed,failure,SharedResources,"An error occurred, the data was not saved",حدث خطأ لم يتم حفظ البيانات !,"Une erreur s'est produite, les données n'ont pas été enregistrées",yes,repository-verified,Resources/SharedResources.*.resx
MSG-Segregation of duties: the entry's creator cannot approve it — another chief accountant is required,validation,SharedResources,Segregation of duties: the entry's creator cannot approve it — another chief accountant is required,فصل المهام: لا يمكن لمنشئ القيد اعتماده — يلزم رئيس حسابات آخر,Séparation des tâches : le créateur de l'écriture ne peut pas l'approuver — un autre chef comptable est requis,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Session expired,failure,SharedResources,Session expired,انتهت الجلسة,Session expirée,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Shift closed,failure,SharedResources,Shift closed,تم إغلاق الوردية,Caisse fermée,yes,repository-verified,Resources/SharedResources.*.resx
MSG-SignInErrorGeneric,failure,SharedResources,Something went wrong. Please try again.,حدث خطأ غير متوقع. حاول مرة أخرى.,Une erreur s'est produite. Veuillez réessayer.,yes,repository-verified,Resources/SharedResources.*.resx
MSG-SignInFailed,failure,SharedResources,Sign-in failed,تعذّر تسجيل الدخول,Échec de la connexion,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Stock count adjustment exceeds the approval limit — sent for approval,validation,SharedResources,Stock count adjustment exceeds the approval limit — sent for approval,تجاوزت تسوية الجرد حد الاعتماد — أُرسلت للموافقة,L'ajustement d'inventaire dépasse la limite d'approbation — envoyé pour approbation,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Table is closed,failure,SharedResources,Table is closed,الطاولة مغلقة,La table est fermée,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Table not found,empty-state,SharedResources,Table not found,الطاولة غير موجودة,Table introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Table number is already in use,failure,SharedResources,Table number is already in use,رقم الطاولة مستخدم,Le numéro de la table est déjà utilisé,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The amount ({0:N2}) exceeds the approval threshold — the chief accountant is required,validation,SharedResources,The amount ({0:N2}) exceeds the approval threshold — the chief accountant is required,المبلغ ({0:N2}) يتجاوز حد الاعتماد — يلزم رئيس الحسابات,Le montant ({0:N2}) dépasse le seuil d'approbation — le chef comptable est requis,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The bank name and ledger account are required,validation,SharedResources,The bank name and ledger account are required,اسم البنك والحساب الدفتري مطلوبان,Le nom de la banque et le compte du grand livre sont obligatoires,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The bracket's upper limit must exceed the lower limit,validation,SharedResources,The bracket's upper limit must exceed the lower limit,حد الشريحة الأعلى يجب أن يتجاوز الأدنى,La limite supérieure de la tranche doit être supérieure à la limite inférieure,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The code and name are required,validation,SharedResources,The code and name are required,الكود والاسم مطلوبان,Le code et le nom sont obligatoires,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The company currency cannot be changed once postings exist — the currency is locked,failure,SharedResources,The company currency cannot be changed once postings exist — the currency is locked,لا يمكن تغيير عملة الشركة بعد وجود قيود — العملة مستقرة,La devise de l'entreprise ne peut pas être modifiée une fois que des écritures existent — la devise est verrouillée,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The currency code already exists,failure,SharedResources,The currency code already exists,كود العملة موجود بالفعل,Le code de devise existe déjà,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The currency code is already in use,failure,SharedResources,The currency code is already in use,كود العملة مستخدم بالفعل,Le code de devise est déjà utilisé,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The entry ({0:N2}) exceeds the approval threshold — saved as a draft awaiting the chief accountant's approval,validation,SharedResources,The entry ({0:N2}) exceeds the approval threshold — saved as a draft awaiting the chief accountant's approval,القيد ({0:N2}) يتجاوز حد الاعتماد — حُفظ كمسودة بانتظار اعتماد رئيس الحسابات,L'écriture ({0:N2}) dépasse le seuil d'approbation — enregistrée en brouillon en attente de l'approbation du chef comptable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The entry ({0:N2}) exceeds the approval threshold — the chief accountant's approval is required,validation,SharedResources,The entry ({0:N2}) exceeds the approval threshold — the chief accountant's approval is required,القيد ({0:N2}) يتجاوز حد الاعتماد — يلزم اعتماد رئيس الحسابات,L'écriture ({0:N2}) dépasse le seuil d'approbation — l'approbation du chef comptable est requise,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The entry must contain at least one line,validation,SharedResources,The entry must contain at least one line,يجب أن يحتوي القيد على سطر واحد على الأقل,L'écriture doit contenir au moins une ligne,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The entry must contain at least two lines,validation,SharedResources,The entry must contain at least two lines,يجب أن يحتوي القيد على سطرين على الأقل,L'écriture doit contenir au moins deux lignes,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The entry total must be greater than zero,validation,SharedResources,The entry total must be greater than zero,إجمالي القيد يجب أن يكون أكبر من صفر,Le total de l'écriture doit être supérieur à zéro,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The fiscal period is closed — posting into it is not allowed,refusal,SharedResources,The fiscal period is closed — posting into it is not allowed,الفترة المالية مقفلة — الترحيل إليها غير مسموح,La période fiscale est clôturée — la comptabilisation y est interdite,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The fiscal year was closed and the closing entry posted,failure,SharedResources,The fiscal year was closed and the closing entry posted,تم إقفال السنة المالية وترحيل قيد الإقفال,L'exercice a été clôturé et l'écriture de clôture comptabilisée,yes,repository-verified,Resources/SharedResources.*.resx
MSG-The name and ledger account are required,validation,SharedResources,The name and ledger account are required,الاسم والحساب الدفتري مطلوبان,Le nom et le compte du grand livre sont obligatoires,yes,repository-verified,Resources/SharedResources.*.resx
MSG-This branch currency is locked after the first transaction — it cannot be changed,failure,SharedResources,This branch currency is locked after the first transaction — it cannot be changed,عملة هذا الفرع مقفلة بعد أول معاملة — لا يمكن تغييرها,La devise de cette succursale est verrouillée après la première transaction — elle ne peut pas être modifiée,yes,repository-verified,Resources/SharedResources.*.resx
MSG-This entry already has a reversal attached,failure,SharedResources,This entry already has a reversal attached,هذا القيد له قيد عكسي بالفعل,Cette écriture a déjà une extourne,yes,repository-verified,Resources/SharedResources.*.resx
MSG-This entry belongs to a source document and cannot be changed on its own,failure,SharedResources,This entry belongs to a source document and cannot be changed on its own,هذا القيد تابع لمستند ولا يمكن تعديله بمفرده,Cette écriture dépend d'un document source et ne peut pas être modifiée seule,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Transfer exceeds the approval limit — sent for approval,validation,SharedResources,Transfer exceeds the approval limit — sent for approval,تجاوز التحويل حد الاعتماد — أُرسل للموافقة,Le transfert dépasse la limite d'approbation — envoyé pour approbation,yes,repository-verified,Resources/SharedResources.*.resx
MSG-UserNameRequired,validation,SharedResources,User name is required,أدخل اسم المستخدم,Le nom d'utilisateur est requis,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Work order not found,empty-state,SharedResources,Work order not found,أمر التشغيل غير موجود,Ordre de fabrication introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-Write-off exceeds the approval limit — sent for approval,validation,SharedResources,Write-off exceeds the approval limit — sent for approval,تجاوز الإعدام حد الاعتماد — أُرسل للموافقة,La mise au rebut dépasse la limite d'approbation — envoyée pour approbation,yes,repository-verified,Resources/SharedResources.*.resx
MSG-evt_block_Done,validation,SharedResources,Completed — replaying could duplicate its side effects,مكتمل — إعادة تشغيله قد تُكرّر آثاره,Terminé — un rejeu pourrait dupliquer ses effets,yes,repository-verified,Resources/SharedResources.*.resx
MSG-evt_block_Pending,failure,SharedResources,Already queued,مُدرَج في الطابور بالفعل,Déjà en file,yes,repository-verified,Resources/SharedResources.*.resx
MSG-evt_outcome_AlreadyDone,failure,SharedResources,This consumer already completed,اكتمل هذا المستهلك بالفعل — إعادة تشغيله قد تُكرّر آثاره,Ce consommateur a déjà terminé,yes,repository-verified,Resources/SharedResources.*.resx
MSG-evt_outcome_AlreadyPending,failure,SharedResources,Already queued,مُدرَج في الطابور بالفعل,Déjà en file,yes,repository-verified,Resources/SharedResources.*.resx
MSG-evt_outcome_AttemptsExhausted,validation,SharedResources,All attempts used — an elevated override with a reason is required,استُنفدت كل المحاولات — يتطلّب تجاوزًا بصلاحية موسّعة مع سبب,Tentatives épuisées — dérogation avec motif requise,yes,repository-verified,Resources/SharedResources.*.resx
MSG-evt_outcome_NotFound,empty-state,SharedResources,Dispatch row not found,السجل غير موجود,Ligne introuvable,yes,repository-verified,Resources/SharedResources.*.resx
MSG-evt_outcome_ReasonRequired,validation,SharedResources,A reason is required so the retry can be audited,السبب مطلوب حتى تُدقَّق إعادة المحاولة,Un motif est requis pour auditer,yes,repository-verified,Resources/SharedResources.*.resx
MSG-EX-AccountingApiAuthorization-4257,business-rule refusal,InvalidOperationException,No IModuleAccessService is registered for the accounting scope. The accounting API cannot ,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/AccountingApiAuthorization.cs
MSG-EX-AdministrativeBodiesCompanyService-1584,business-rule refusal,Exception,JobTitle not found.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/AdministrativeBodiesCompanyService.cs
MSG-EX-AppraisalService-4057,business-rule refusal,InvalidOperationException,Template not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/AppraisalService.cs
MSG-EX-BrandService-3110,business-rule refusal,InvalidOperationException,العلامة غير موجودة,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/BrandService.cs
MSG-EX-CompanyService-12165,business-rule refusal,Exception,An error occurred while adding the company,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/CompanyService.cs
MSG-EX-CompanyService-12420,business-rule refusal,Exception,An error occurred while adding the company,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/CompanyService.cs
MSG-EX-CompanyService-15163,business-rule refusal,Exception,An error occurred while processing the image,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/CompanyService.cs
MSG-EX-CompanyService-17842,business-rule refusal,Exception,An error occurred while processing the image,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/CompanyService.cs
MSG-EX-CompanyService-22998,business-rule refusal,Exception,An error occurred while adding the company,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/CompanyService.cs
MSG-EX-CompanyService-23253,business-rule refusal,Exception,An error occurred while adding the company,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/CompanyService.cs
MSG-EX-CrmAutomationService-1742,business-rule refusal,InvalidOperationException,القاعدة غير موجودة,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/CrmAutomationService.cs
MSG-EX-CrmCustomFieldService-2177,business-rule refusal,InvalidOperationException,الحقل غير موجود,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/CrmCustomFieldService.cs
MSG-EX-EmployeeService-7923,business-rule refusal,KeyNotFoundException,Employee not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/EmployeeService.cs
