screen_id,language,filename,route,final_url,role,state,http_status,page_title,heading,html_lang,direction,inputs,buttons,table_rows,modals,reauthenticated,dev_overlay_visible,capture_date,viewport,privacy_treatment,verification_level,intended_manual_section,workflows,capture_error
SCR-ACCOUNT-Subscription,ar,account-subscription.ar.png,/Account/Subscription,/Account/Subscription,development administrator (single session),rendered-with-data,200,لوحة تحكم CrossBuy,اشتراكي,ar,rtl,21,14,0,2,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 1 — Getting started,,
SCR-ACCOUNT-Subscription,en,account-subscription.en.png,/Account/Subscription,/Account/Subscription,development administrator (single session),rendered-with-data,200,CrossBuy Admin,My Subscription,en,ltr,21,14,0,2,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 1 — Getting started,,
SCR-ACCOUNTING-AccountingRoles,ar,accounting-accountingroles.ar.png,/Accounting/AccountingRoles,/Accounting/AccountingRoles,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,أدوار وصلاحيات المحاسبة,ar,rtl,83,52,1,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-SETUP-02,
SCR-ACCOUNTING-AccountingRoles,en,accounting-accountingroles.en.png,/Accounting/AccountingRoles,/Accounting/AccountingRoles,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Accounting roles,en,ltr,83,52,1,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-SETUP-02,
SCR-ACCOUNTING-AiInsights,ar,accounting-aiinsights.ar.png,/Accounting/AiInsights,/Accounting/AiInsights,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,رؤى ذكية,ar,rtl,80,49,0,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-AI-01,
SCR-ACCOUNTING-AiInsights,en,accounting-aiinsights.en.png,/Accounting/AiInsights,/Accounting/AiInsights,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,AI Insights,en,ltr,80,49,0,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-AI-01,
SCR-ACCOUNTING-ApAging,ar,accounting-apaging.ar.png,/Accounting/ApAging,/Accounting/ApAging,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,أعمار ديون الموردين,ar,rtl,81,49,3,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-ApAging,en,accounting-apaging.en.png,/Accounting/ApAging,/Accounting/ApAging,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,AP Aging,en,ltr,81,49,3,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:1 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-ArAging,ar,accounting-araging.ar.png,/Accounting/ArAging,/Accounting/ArAging,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,أعمار ديون العملاء,ar,rtl,81,49,41,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-ArAging,en,accounting-araging.en.png,/Accounting/ArAging,/Accounting/ArAging,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,AR Aging,en,ltr,81,49,41,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:1 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-AssetCategories,ar,accounting-assetcategories.ar.png,/Accounting/AssetCategories,/Accounting/AssetCategories,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,فئات الأصول,ar,rtl,87,52,2,6,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-AssetCategories,en,accounting-assetcategories.en.png,/Accounting/AssetCategories,/Accounting/AssetCategories,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Asset Categories,en,ltr,87,52,2,6,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-BalanceSheet,ar,accounting-balancesheet.ar.png,/Accounting/BalanceSheet,/Accounting/BalanceSheet,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,قائمة المركز المالي,ar,rtl,83,51,27,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:4 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-ACC-02,
SCR-ACCOUNTING-BalanceSheet,en,accounting-balancesheet.en.png,/Accounting/BalanceSheet,/Accounting/BalanceSheet,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Balance Sheet,en,ltr,83,51,27,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:4 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-ACC-02,
SCR-ACCOUNTING-BankAccounts,ar,accounting-bankaccounts.ar.png,/Accounting/BankAccounts,/Accounting/BankAccounts,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,الحسابات البنكية,ar,rtl,89,52,1,6,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:2 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-BankAccounts,en,accounting-bankaccounts.en.png,/Accounting/BankAccounts,/Accounting/BankAccounts,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Bank Accounts,en,ltr,89,52,1,6,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:2 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-CashBoxes,ar,accounting-cashboxes.ar.png,/Accounting/CashBoxes,/Accounting/CashBoxes,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,الخزائن النقدية,ar,rtl,84,52,1,6,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-CashBoxes,en,accounting-cashboxes.en.png,/Accounting/CashBoxes,/Accounting/CashBoxes,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Cash Boxes,en,ltr,84,52,1,6,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-CashFlow,ar,accounting-cashflow.ar.png,/Accounting/CashFlow,/Accounting/CashFlow,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,قائمة التدفقات النقدية,ar,rtl,86,51,6,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-ACC-02,
SCR-ACCOUNTING-CashFlow,en,accounting-cashflow.en.png,/Accounting/CashFlow,/Accounting/CashFlow,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Cash Flow Statement,en,ltr,86,51,6,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-ACC-02,
SCR-ACCOUNTING-ChartOfAccounts,ar,accounting-chartofaccounts.ar.png,/Accounting/ChartOfAccounts,/Accounting/ChartOfAccounts,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,شجرة الحسابات,ar,rtl,96,71,0,7,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-ACC-01,
SCR-ACCOUNTING-ChartOfAccounts,en,accounting-chartofaccounts.en.png,/Accounting/ChartOfAccounts,/Accounting/ChartOfAccounts,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Chart of Accounts,en,ltr,96,71,0,7,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-ACC-01,
SCR-ACCOUNTING-CostCenters,ar,accounting-costcenters.ar.png,/Accounting/CostCenters,/Accounting/CostCenters,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,مراكز التكلفة,ar,rtl,81,51,2,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-ACC-01,
SCR-ACCOUNTING-CostCenters,en,accounting-costcenters.en.png,/Accounting/CostCenters,/Accounting/CostCenters,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Cost Centers,en,ltr,81,51,2,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-ACC-01,
SCR-ACCOUNTING-CreateJournal,ar,accounting-createjournal.ar.png,/Accounting/CreateJournal,/Accounting/CreateJournal,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,قيد يومية جديد,ar,rtl,99,60,2,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:1 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-CreateJournal,en,accounting-createjournal.en.png,/Accounting/CreateJournal,/Accounting/CreateJournal,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,New Journal Entry,en,ltr,99,60,2,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:3 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-CustomerAnalytics,ar,accounting-customeranalytics.ar.png,/Accounting/CustomerAnalytics,/Accounting/CustomerAnalytics,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,تحليلات العملاء,ar,rtl,81,51,43,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:10 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-CustomerAnalytics,en,accounting-customeranalytics.en.png,/Accounting/CustomerAnalytics,/Accounting/CustomerAnalytics,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Customer analytics,en,ltr,81,51,43,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:10 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-CustomerStatement,ar,accounting-customerstatement.ar.png,/Accounting/CustomerStatement,/Accounting/CustomerStatement,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,كشف حساب,ar,rtl,87,51,0,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-CustomerStatement,en,accounting-customerstatement.en.png,/Accounting/CustomerStatement,/Accounting/CustomerStatement,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Account statement,en,ltr,87,51,0,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-Customers,ar,accounting-customers.ar.png,/Accounting/Customers,/Accounting/Customers,development administrator (single session),rendered-empty-state,200,النظام المحاسبي - CrossBuy,العملاء,ar,rtl,95,54,0,6,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:1 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-Customers,en,accounting-customers.en.png,/Accounting/Customers,/Accounting/Customers,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Customers,en,ltr,95,104,25,6,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:7 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-DepreciationRunDetail,ar,accounting-depreciationrundetail.ar.png,/Accounting/DepreciationRunDetail,/Accounting/DepreciationRuns,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,الإهلاك الشهري,ar,rtl,84,56,4,6,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-DepreciationRunDetail,en,accounting-depreciationrundetail.en.png,/Accounting/DepreciationRunDetail,/Accounting/DepreciationRuns,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Monthly Depreciation,en,ltr,84,56,4,6,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-DepreciationRuns,ar,accounting-depreciationruns.ar.png,/Accounting/DepreciationRuns,/Accounting/DepreciationRuns,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,الإهلاك الشهري,ar,rtl,84,56,4,6,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-ACC-02,
SCR-ACCOUNTING-DepreciationRuns,en,accounting-depreciationruns.en.png,/Accounting/DepreciationRuns,/Accounting/DepreciationRuns,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Monthly Depreciation,en,ltr,84,56,4,6,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-ACC-02,
SCR-ACCOUNTING-EtaStatus,ar,accounting-etastatus.ar.png,/Accounting/EtaStatus,/Accounting/EtaStatus,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,الفاتورة الإلكترونية (ETA),ar,rtl,81,49,50,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:10 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-EtaStatus,en,accounting-etastatus.en.png,/Accounting/EtaStatus,/Accounting/EtaStatus,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,E-Invoice (ETA),en,ltr,81,49,50,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:10 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-Executive,ar,accounting-executive.ar.png,/Accounting/Executive,/Accounting/Executive,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,اللوحة التنفيذية,ar,rtl,80,57,5,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:1 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-Executive,en,accounting-executive.en.png,/Accounting/Executive,/Accounting/Executive,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Executive Dashboard,en,ltr,80,57,5,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:1 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-FixedAssetDetail,ar,accounting-fixedassetdetail.ar.png,/Accounting/FixedAssetDetail,/Accounting/FixedAssets,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,الأصول الثابتة,ar,rtl,93,59,7,6,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-FixedAssetDetail,en,accounting-fixedassetdetail.en.png,/Accounting/FixedAssetDetail,/Accounting/FixedAssets,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Fixed Assets,en,ltr,93,59,7,6,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-FixedAssets,ar,accounting-fixedassets.ar.png,/Accounting/FixedAssets,/Accounting/FixedAssets,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,الأصول الثابتة,ar,rtl,93,59,7,6,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-FixedAssets,en,accounting-fixedassets.en.png,/Accounting/FixedAssets,/Accounting/FixedAssets,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Fixed Assets,en,ltr,93,59,7,6,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-IncomeStatement,ar,accounting-incomestatement.ar.png,/Accounting/IncomeStatement,/Accounting/IncomeStatement,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,قائمة الدخل,ar,rtl,86,51,17,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:7 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-ACC-02,
SCR-ACCOUNTING-IncomeStatement,en,accounting-incomestatement.en.png,/Accounting/IncomeStatement,/Accounting/IncomeStatement,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Income Statement,en,ltr,86,51,17,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:7 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,WF-ACC-02,
SCR-ACCOUNTING-Index,ar,accounting-index.ar.png,/Accounting/Index,/Accounting/Index,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,النظام المحاسبي,ar,rtl,80,56,8,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:16 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-Index,en,accounting-index.en.png,/Accounting/Index,/Accounting/Index,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Accounting,en,ltr,80,56,8,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:16 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-JournalEntry,ar,accounting-journalentry.ar.png,/Accounting/JournalEntry,/Accounting/Journals,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,القيود اليومية,ar,rtl,83,103,25,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:52 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-JournalEntry,en,accounting-journalentry.en.png,/Accounting/JournalEntry,/Accounting/Journals,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Journal Entries,en,ltr,83,103,25,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:52 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-Journals,ar,accounting-journals.ar.png,/Accounting/Journals,/Accounting/Journals,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,القيود اليومية,ar,rtl,83,103,25,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:52 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-Journals,en,accounting-journals.en.png,/Accounting/Journals,/Accounting/Journals,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Journal Entries,en,ltr,83,103,25,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:52 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-Ledger,ar,accounting-ledger.ar.png,/Accounting/Ledger,/Accounting/TrialBalance,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,ميزان المراجعة,ar,rtl,88,51,36,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:3 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-Ledger,en,accounting-ledger.en.png,/Accounting/Ledger,/Accounting/TrialBalance,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Trial Balance,en,ltr,88,51,36,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:3 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-MaintenanceDue,ar,accounting-maintenancedue.ar.png,/Accounting/MaintenanceDue,/Accounting/MaintenanceDue,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,صيانة مستحقّة,ar,rtl,81,55,5,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:5 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-MaintenanceDue,en,accounting-maintenancedue.en.png,/Accounting/MaintenanceDue,/Accounting/MaintenanceDue,development administrator (single session),rendered-with-data,200,Accounting System - CrossBuy,Maintenance due,en,ltr,81,55,5,5,no,no,2026-09-20,1440x900,development data; automatic scan flagged: phone-like:5 — REVIEW BEFORE PUBLICATION,runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
SCR-ACCOUNTING-MatchReceipts,ar,accounting-matchreceipts.ar.png,/Accounting/MatchReceipts,/Accounting/MatchReceipts,development administrator (single session),rendered-with-data,200,النظام المحاسبي - CrossBuy,مطابقة فاتورة المورّد مع إذن الاستلام,ar,rtl,81,51,0,5,no,no,2026-09-20,1440x900,"development data; no e-mail, phone, IBAN or 14-digit id detected. The signed-in user name and avatar are visible in the header.",runtime viewed (screen renders); no action performed,Part 5 — Accounting,,
