CapabilityId,PlatformOrModule,Capability,Description,CurrentStatus,ImplementationLevel,ProductionActivation,UIStatus,APIStatus,DatabaseStatus,TestEvidence,SecurityStatus,MultiTenantStatus,ReportingStatus,CommunicationStatus,MobileStatus,AIReadiness,Dependencies,BlockingDecision,RiskIds,RecommendedPhase,SourceEvidence
CRM-01,CRM,Customer and lead management,"Accounts, contacts, leads, opportunities, pipeline.",LegacyExisting,Full,Active,Crm views (32),None,Crm entities,Batch C access tests,Bootstrap-open on unconfigured company,Per company,Planned,Planned,Planned,Customer data,PLT-01,D-03,R-33,R6,BL/CrmService.cs
CRM-02,CRM,CRM automation and reminders,Automation rules and a reminder hosted service.,LegacyExisting,Full,Active - hosted service registered,Crm views,None,Automation tables,Partial,Bootstrap-open,Per company,Planned,Planned,None,None,CRM-01,D-03,R-34,R6,BL/CrmAutomationService.cs; BL/CrmReminderHostedService.cs
CRM-03,CRM,CRM custom fields,Per-company custom field definitions and values.,LegacyExisting,Full,Active,Crm views,None,Custom field tables,Partial,Bootstrap-open,Per company,Planned,None,None,None,CRM-01,D-03,R-35,R6,BL/CrmCustomFieldService.cs
CRM-04,CRM,Visible-owner scope,Row-level owner visibility; currently returns null (unrestricted) when unconfigured.,BlockedByDecision,Partial,Legacy behaviour live,None,None,None,Non-change asserted,Unrestricted when unconfigured,Per company,None,None,None,None,SEC-04,D-04,R-36,R6,BL/CrmAccessService.cs:98
FIL-01,Files and Document Management,File manager,"File upload, browse and attachment to records.",LegacyExisting,Full,Active,1 view,None,File tables,None identified,No dedicated access service,Per company,None,Attachment source,Planned,Document corpus,PLT-01,None,R-88,R1,BL/FileManagerService.cs
FIL-02,Files and Document Management,Document control,"Versioning, approval, controlled distribution, transmittals.",NotStarted,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned,None,FIL-01,None,R-89,R7,No source
HR-01,HR,Employee master,"Employees, job titles, administrative structure.",LegacyExisting,Full,Active,People (12) + Admin (31) views,EmployeesApiController,Admin entities (36),Stage 1 partial,HrAccessService,Per company,Planned,Planned,Planned,None,PLT-01,D-26 Master Data ownership,R-53,R8,BL/EmployeeService.cs
HR-02,HR,Attendance,Attendance capture and processing.,LegacyExisting,Full,Active,People views,None,Attendance tables,Partial,HrAccessService,Per company,Planned,None,Mobile attendance exists,None,HR-01,None,R-54,R8,BL/AttendanceService.cs
HR-03,HR,Leave management,"Leave workflow, accrual, dashboard.",LegacyExisting,Full,Active,People views,LeaveApiController,Leave tables,Partial,HrAccessService,Per company,Planned,Notifications,Planned,None,HR-01,None,R-55,R8,BL/LeaveWorkflowService.cs
HR-04,HR,Payroll and final settlement,"Employee cost, final settlement.",LegacyExisting,Full,Active,People views,HrApiController,HR tables,Partial,Hr.payroll-manage is Never-bootstrap-open,Per company,Planned,None,None,None,HR-01,None,R-56,R8,BL/FinalSettlementService.cs
HR-05,HR,Appraisals,Performance appraisal cycles.,LegacyExisting,Full,Active,Admin views,None,hr9_appraisals,Partial,HrAccessService,Per company,Planned,None,None,None,HR-01,None,R-57,R8,BL/AppraisalService.cs
HR-06,HR,Recruitment,"Vacancies, candidates, hiring pipeline.",LegacyExisting,Full,Active,Admin views,None,hr11_recruitment,Partial,HrAccessService,Per company,Planned,None,None,None,HR-01,None,R-58,R8,BL/RecruitmentService.cs
HR-07,HR,Training,Training programmes and attendance.,LegacyExisting,Full,Active,Admin views,None,hr10_training,Partial,HrAccessService,Per company,Planned,None,None,None,HR-01,None,R-59,R8,BL/TrainingService.cs
IDN-01,Identity and Access,Authentication,"Login, session, employee blob, token service.",LegacyExisting,Full,Active,Account views (5),AuthApiController,User tables,Stage 1 suite,Authentication only,Per company,None,None,Mobile login,None,None,None,R-100,R1,Controllers/AccountController.cs; BL/TokenService.cs
IDN-02,Identity and Access,Platform role directory,Platform-level role catalogue and permission provider.,VerifiedComplete,Full,Active,None,None,platform_role_assignments,Batch A suite,Core control,Per company,None,None,None,None,PLT-01,None,R-101,R6,BL/Platform/PlatformRoleDirectory.cs; ADR-026
INT-01,Integration Hub,Integration hub,"Outbound/inbound connectors, webhooks, partner APIs.",NotStarted,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned,Planned,PLT-02,None,R-99,R15,No source
INV-01,Inventory and WMS,Stock ledger,StockService is the single stock writer; movements never deleted.,VerifiedComplete,Full,Active,Inventory views (78),InventoryApiController,Inventory entities,Hyper + Stage 1,Attribute + in-body,Per company,Planned,Events raised,Planned,Stock data,PLT-01,D-02 cost breadth,R-26,R9,BL/StockService.cs
INV-02,Inventory and WMS,"Warehouses, bins and sections","Warehouse master, bin stock, keeper scoping.",LegacyExisting,Full,Active,Inventory views,None,Inventory entities,Warehouse scope 10/10,Scope enforced post-B6,Per company,Planned,None,Planned,None,"INV-01,SEC-03",D-02,R-27,R9,BL/WarehouseService.cs
INV-03,Inventory and WMS,"Counts, batches and expiry","Stock counts, batch tracking, expiry control.",LegacyExisting,Full,Active,Inventory views,None,Inventory entities,Hyper suite,Partial,Per company,Planned,None,Planned,None,INV-01,None,R-28,R9,BL/ItemService.cs; hm7_count_batch.sql
INV-04,Inventory and WMS,Pricing and promotions,"Price lists, margin, cost-plus, discount approval, promotions.",LegacyExisting,Full,Active,Inventory views,None,Pricing tables,Hyper suite,Partial,Per company,Planned,None,None,Pricing data,INV-01,None,R-29,R9,BL/PricingService.cs
INV-05,Inventory and WMS,Advanced WMS,"Wave picking, putaway strategies, cycle-count planning, labour.",NotStarted,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned,None,INV-02,None,R-30,R9,No source
MDM-01,Master Data,Master data management,"Governed master entities, deduplication, cross-module ownership.",NotStarted,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned,Planned,"HR-01,CRM-01,INV-01",D-26 Master Data ownership,R-105,R6,No source
MFG-01,Manufacturing,Work orders and BOM,"Manufacturing work orders, raw consumption, output.",LegacyExisting,Full,Active,Inventory views,None,Manuf entities,Hyper suite,Partial,Per company,Planned,Events raised,Planned,None,INV-01,None,R-42,R9,BL/ManufService.cs
MFG-02,Manufacturing,Production variance,Variance capture against standard.,Partial,Schema only,Active,None,None,manuf_variance slice,Partial,Partial,Per company,Planned,None,None,None,MFG-01,None,R-43,R9,deploy/sql/manuf_variance_520109.sql
MOB-01,Mobile and Field Operations,Flutter mobile app,"crossbuy_mobile: 10 screens, services, providers, l10n.",Partial,10 screens,Ships separately,10 Flutter screens,Consumes API controllers,N/A,No mobile test evidence in suite,Depends on API authorization,Per company,Planned,Planned,Core,None,IDN-01,D-30 mobile/offline policy,R-108,R14,crossbuy_mobile/lib/screens (10)
NOT-01,Notifications,Notification service,NotifyAsync/NotifyRoleAsync with optional entity linkage.,LegacyExisting,Full,Active,1 view,NotificationsApiController,Notifications tables,Kernel suite,Partial,Per company,None,Projection target,Planned,None,PLT-01,None,R-90,R1,BL/NotificationService.cs
NOT-02,Notifications,Realtime hub,SignalR notifications hub and chat hub.,LegacyExisting,Full,Active,Shared layout,None,N/A,None identified,Partial,Per company,None,Realtime channel,Planned,None,NOT-01,None,R-91,R1,Hubs/NotificationsHub.cs
NOT-03,Notifications,Mutes and preferences,Per-user notification mutes.,LegacyExisting,Full,Active,None,None,notification_mutes_p2,None identified,Partial,Per user,None,Overlaps COM-03,None,None,NOT-01,D-06,R-92,R2,deploy/sql/notification_mutes_p2.sql
PLT-01,Platform Framework,Business context resolution,Signed-in employee/company resolution; fail-closed; no company-1 fallback.,VerifiedComplete,Full,Active,None,None,None,Stage 1 DI + scope tests,Core control,Core control,None,None,N/A,None,IDN-01,None,R-09,R0,BL/Platform/BusinessContextFactory.cs; ADR-022
PLT-02,Platform Framework,Business events and outbox,"Transactional event recording, per-consumer dispatch rows, READPAST claim, no cursor.",VerifiedComplete,Full,Active - hosted dispatcher registered,None,None,platform_business_events slices 1-2 applied,Kernel suite,Scoped,Per company,Event source,Notification source,N/A,Event stream,PLT-01,None,R-10,R0,"BL/Platform/BusinessEventService.cs; ADR-001,003,007"
PLT-03,Platform Framework,Entity registry,"Frozen entity codes gating event names, timeline support and comment surfaces.",VerifiedComplete,Full,Active,None,None,None,Kernel suite,N/A,N/A,Entity vocabulary,Entity vocabulary,N/A,None,PLT-02,None,R-11,R0,BL/Platform/EntityRegistry.cs; ADR-002
PLT-04,Platform Framework,Notification projection,"Event to notification mapping via dispatch worker, post-commit.",VerifiedComplete,Full,Active,None,None,Notifications table,Kernel suite,N/A,Per company,None,Primary path,N/A,None,"PLT-02,NOT-01",None,R-12,R0,BL/Platform/NotificationProjectionConsumer.cs; ADR-006
PLT-05,Platform Framework,Timeline aggregation,Timeline projection plus legacy adapters for pre-event history.,FoundationComplete,Full,Active for onboarded entities,PlatformTimelineController only,None,Projection tables,Kernel suite,N/A,Per company,None,Timeline surface,N/A,None,"PLT-02,PLT-03",None,R-13,R2,BL/Platform/TimelineProjectionService.cs; ADR-036
PLT-06,Platform Framework,Business Event Monitor,The one delivered platform operational screen: event and dispatch inspection.,VerifiedComplete,Full,Active,3 views delivered,None,Reads kernel tables,Kernel suite,PlatformOps gated,Per company,None,None,None,None,PLT-02,None,R-14,R0,Controllers/BusinessEventMonitorController.cs; Views/BusinessEventMonitor (3)
PLT-07,Platform Framework,Company query filters,Global EF filters resolved through the executing DbContext on pilot entities.,FoundationComplete,Pilot entities only,Active,None,None,N/A,Stage 1 isolation tests,Core control,Core control,None,None,N/A,None,PLT-01,None,R-15,R1,BL/Platform/CompanyQueryFilters.cs; ADR-024
PLT-08,Platform Framework,Deployment manifest and schema history,Slice tracking table and manifest for applied SQL.,Partial,Table authored,Not reliably applied,None,None,platform_schema_history.sql unapplied,None,N/A,N/A,None,None,N/A,None,None,"D-38,D-40 canonical root and applied registry",R-16,R1,deploy/sql/platform_schema_history.sql; ADR-012
PLT-09,Platform Framework,Feature capabilities,IsCapabilityEnabledAsync gating for optional behaviour.,LegacyExisting,Full,Active,None,None,Capability table,Hyper track tests,Not an authorization control,Per company,None,None,N/A,None,None,None,R-17,R1,BL capability checks
POS-01,POS,Point of sale core,"Order capture, payment, shift close, void, tips.",LegacyExisting,Full,Active,Pos (16) + PosApp (5) views,PosAppController,"POS entities, many slices",Hyper suite,PosAccessService,Per company,Planned,None,PosApp,Sales data,"INV-01,ACC-02",None,R-37,R14,BL/PosOrderService.cs
POS-02,POS,Kitchen display system,"KDS stations, send-to-kitchen routing.",LegacyExisting,Full,Active,Pos views,None,pos_kds slices,Partial,PosAccessService,Per company,None,None,Station screens,None,POS-01,None,R-38,R14,deploy/sql/pos_kds.sql
POS-03,POS,Delivery and reservations,"Delivery workflow slices C1-C3, table reservations, merges.",LegacyExisting,Full,Active,Pos views,None,pos_delivery slices,Partial,PosAccessService,Per company,None,None,Planned,None,POS-01,None,R-39,R14,deploy/sql/pos_delivery_c*.sql
POS-04,POS,Offline sync and conflict handling,Sync log and conflict resolution for terminal operation.,Partial,Sync log and conflict tables,Active,None,None,pos_sync slices,Partial,PosAccessService,Per company,None,None,Core to mobile,None,POS-01,D-27 mobile/offline policy,R-40,R14,deploy/sql/pos_sync_conflict_9e.sql
POS-05,POS,Hypermarket lane,"Hyper selling lane, loyalty earn, pay idempotency, receipt recovery.",VerifiedComplete,Full,Active,Hyper views (9),HyperPosController,hm* slices,Hyper acceptance suite,PosAccessService,Per company,Hyper sales reports,None,Planned,Sales data,"POS-01,INV-01",None,R-41,R14,Controllers/HyperController.cs; BL/SellingService.cs
PRJ-01,Projects,Project master and members,"Projects, membership, dimensions, cost centres.",LegacyExisting,Full,Active,Project views (16),None,Project entities,Batch C tests,ProjectsAccessService,Per company,Planned,Planned,Planned,None,PLT-01,None,R-44,R7,BL/ProjectService.cs
PRJ-02,Projects,Progress and billing,"Progress capture, progress billing, task billing.",LegacyExisting,Full,Active,Project views,None,projects_p3/p4 slices,Partial,Billing requires Accounting.post,Per company,Planned,None,Planned,None,"PRJ-01,ACC-01",None,R-45,R7,BL/ProgressBillingService.cs
PRJ-03,Projects,Material issue and labour,"Material issue to project, project labour, timesheets.",LegacyExisting,Full,Active,Project views,None,projects_p5a slice,Partial,Partial,Per company,Planned,None,Planned,None,"PRJ-01,INV-01",None,R-46,R7,BL/ProjectMaterialIssueService.cs
PRJ-04,Projects,Budgets,Project budget definition and tracking.,Partial,Service present,Active,Project views,None,Budget tables,Partial,Partial,Per company,Planned,None,None,None,PRJ-01,None,R-47,R7,BL/ProjectBudgetService.cs
PRT-01,Customer Portal,Customer portal,Portal controller and storefront catalog.,Partial,Controller + 1 view,Active,1 view,None,Store tables,None identified,Public catalog scope only,Public scope pinned to Store:StoreCompanyId,Planned,Planned,Planned,None,PLT-01,D-29 portal isolation,R-106,R11,Controllers/PortalController.cs; BL/StoreCatalogService.cs
PRT-02,Customer Portal,Storefront,Store browsing and category seed.,LegacyExisting,Full,Active,Store views (2),None,Store tables,None identified,Public catalog scope,Public scope,Planned,Planned,Planned,None,PRT-01,D-29,R-107,R11,Controllers/StoreController.cs
PUR-01,Purchasing,Procurement and purchase orders,"PO creation, PO-to-invoice conversion, goods receipt.",LegacyExisting,Full,Active,Inventory views,None,Procurement entities,Hyper suite,Single closed action - vocabulary defect,Per company,Planned,Events raised,None,None,"INV-01,ACC-03",D-23 purchase action split,R-31,R10,BL/ProcurementService.cs
PUR-02,Purchasing,Three-way match,PO / receipt / invoice reconciliation.,LegacyExisting,Full,Active,Inventory views,None,Match entities,Partial,Partial,Per company,Planned,None,None,None,PUR-01,None,R-32,R10,BL/ThreeWayMatchService.cs
REP-01,Reporting Platform,Dataset layer,"Dataset registry, data source, shaper, parameter engine.",FoundationComplete,Full,Registered via AddCrossBusinessReporting,None,None,"reporting_platform.sql, 12 tables",221/221 reporting suite,ReportAuthorizationService,Per company,Core,None,Planned,Dataset surface,PLT-01,D-35 first production dataset,R-69,R2,BL/Reporting/ReportDatasetRegistry.cs
REP-02,Reporting Platform,"Report catalog, templates, history, archive","Catalog, templates, favourites, shares, tags, run history, archive.",FoundationComplete,Full,"Registered, no user surface",None,None,12 tables authored,221/221,ReportPermissions mapped,Per company,Core,None,Planned,None,REP-01,None,R-70,R2,BL/Reporting/ReportCatalog.cs
REP-03,Reporting Platform,"Exporters HTML, CSV, Excel",Three working renderers/exporters.,FoundationComplete,Full,"Registered, no user surface",None,None,N/A,221/221,Authorization applied,Per company,Core,None,Planned,None,REP-01,None,R-71,R2,"BL/Reporting/HtmlReportRenderer.cs, CsvReportExporter.cs, ExcelReportExporter.cs"
REP-04,Reporting Platform,PDF runtime,Playwright-based PDF renderer present in code; runtime not provisioned.,Deferred,Renderer class present,Runtime not provisioned,None,None,N/A,Not covered end to end,N/A,N/A,Core,None,Planned,None,REP-03,D-09 PDF runtime owner,R-72,R4,BL/Reporting/PlaywrightPdfReportRenderer.cs
REP-05,Reporting Platform,Email delivery,Report delivery by email.,Deferred,Contract present,Not integrated,None,None,N/A,Not covered,N/A,N/A,Core,Depends on Comm channels,None,None,"REP-02,COM-03",D-10 email delivery integration,R-73,R4,BL/Reporting/ReportDelivery.cs
REP-06,Reporting Platform,Hosted scheduler,Scheduled report execution.,Deferred,"Service present, no hosted worker",Not activated,None,None,ReportSchedule table,Not covered,N/A,N/A,Core,None,None,None,REP-02,D-11 scheduler ownership,R-74,R4,BL/Reporting/ReportScheduleService.cs
REP-07,Reporting Platform,Production module data source,No production module is connected as a live dataset.,NotStarted,None,None,None,None,None,None,N/A,N/A,Blocking,None,None,None,"REP-01,ACC-07",D-35 first production dataset,R-75,R4,No production binding
REP-08,Reporting Platform,Report Studio UI,Author and edit report definitions.,NotStarted,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned,None,REP-07,D-16 Studio sequence,R-76,R4,No source
REP-09,Reporting Platform,Report Center UI,"Browse, run, export and schedule reports.",NotStarted,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned,None,REP-07,None,R-77,R4,No source
SEC-01,Core Security,Roslyn authorization analyzer,Compile-time detection and classification of mutating endpoints; CBA001-CBA006 diagnostics; shrink-only debt baseline.,VerifiedComplete,Full,Active - build gate,None,None,None,93/93 analyzer tests,Enforcing,N/A,None,None,N/A,None,Build integration,None,R-01,R0,CrossBuy.Analyzers/AuthorizationAnalyzer.cs
SEC-02,Core Security,Bootstrap access policy store,"BootstrapAccessPolicies table, 6 CHECK constraints, filtered unique active index, drift detection that throws.",ImplementedNotActivated,Full,SQL slice NOT applied to any production DB,None,None,Idempotent slice authored,32/32 focused B6,Enforcing,CompanyID scoped,None,None,N/A,None,SEC-03,None,R-02,R0,CrossBuy/deploy/sql/bootstrap_access_policies.sql
SEC-03,Core Security,Mechanism A replacement (B6),Action-aware bootstrap decision replacing blanket open-on-unconfigured at three approved sites.,VerifiedComplete,3 of 5 sites,Active in code,None,None,Requires SEC-02 slice,32/32 + 3/3 diagnosis,Enforcing,Per company,None,None,N/A,None,SEC-02,None,R-03,R0,"BL/AccountingAccessService.cs:60; BL/InventoryAccessService.cs:48,91"
SEC-04,Core Security,CRM bootstrap sites,"Two remaining Mechanism A sites in CrmAccessService, intentionally unconverted.",BlockedByDecision,0 of 2 sites,Legacy behaviour live,None,None,None,Non-change asserted by reflection,Open on unconfigured company,Per company,None,None,N/A,None,"D-03,D-04",D-03 CRM data breadth; D-04 visible-owner scope,R-04,R6,"BL/CrmAccessService.cs:59,98"
SEC-05,Core Security,Platform grant writer,"Direct platform role grants with privilege ceiling, idempotency, transactional business events.",ImplementedNotActivated,Full,"API present, no UI, no operator process",None,"3 mutating endpoints, in-body authorized",platform_role_assignments slices authored,Batch A suite,Enforcing,Company scoped,None,Events raised,N/A,None,PLT-02,None,R-05,R6,BL/Platform/PlatformGrantWriter.cs; Controllers/Api/PlatformGrantsApiController.cs
SEC-06,Core Security,Authorization debt backlog,143 mutating actions with neither attribute nor in-body authorization.,RemediationRequired,0 retired,Live exposure,N/A,143 actions affected,N/A,"Analyzer baseline, shrink-only",143 unprotected,Varies,None,None,N/A,None,SEC-01,None,R-06,R6,engineering/authorization-baseline.json
SEC-07,Core Security,Company isolation bypass,"Authorized, reasoned, scoped, audited cross-company access; IgnoreQueryFilters forbidden elsewhere.",VerifiedComplete,Full,Active,None,None,None,Stage 1 suite + enforcement test,Enforcing,Core control,None,None,N/A,None,PLT-01,None,R-07,R0,BL/Platform/CompanyIsolationBypass.cs; ADR-023
SEC-08,Core Security,Security Console UI,"Operator surface for roles, grants, bootstrap policies and debt.",NotStarted,None,None,Not started,None,None,None,No console,N/A,Planned,Planned,Planned,None,"SEC-02,SEC-05",None,R-08,R6,No source
