DecisionId,Area,Subject,Evidence,Options,Recommendation,Impact,BlockingWork,Owner,DueGate,Status
D-12,Communication,Unified timeline ownership,Both the platform timeline projection and the Comm aggregator can render activity; Tasks could implement a third.,A) platform timeline canonical; B) Communication aggregator canonical; C) both with one canonical source,"B for rendering, with business events as the canonical source of fact - Communication owns unified timeline rendering and notification generation contracts. Modules PUBLISH events; they do not build their own general timelines.",Resolved together with D-32. Tasks must not maintain a second independent general timeline.,R5,Owner,Decided,APPROVED
D-13,Communication,Support external-principal model,"No model exists for a customer participating in a thread; a customer is currently representable only as an employee BusinessContext, which would be wrong.",A) no external participation; B) mirrored portal identity; C) a distinct ExternalPrincipalContext,C - a customer must NOT be treated as an employee BusinessContext. Requires a future ExternalPrincipalContext ADR before any implementation.,Support must NOT be activated until this exists. Approved as architecture direction only.,R11,Owner,R11 entry,"APPROVED - architecture direction, ADR required"
D-14,Communication,Customer-visible comments,No distinction exists between internal notes and customer-facing replies.,A) never customer-visible; B) explicit per comment; C) per thread,B - two explicit comment types: InternalNote and CustomerVisibleReply. Explicit and auditable per comment.,Gates portal support. Approved as architecture direction.,R11,Owner,R11 entry,APPROVED - architecture direction
D-15,Communication,@Role reverse membership resolution,"Mention by role requires reverse role-to-user resolution, which no component owns.",A) platform role directory; B) per-module; C) cached projection,A - the platform role directory already exists and is the natural owner.,@Role mentions remain BLOCKED until reverse role-membership lookup exists.,R2,Owner,R2 entry,BLOCKED - pending implementation
D-16,Reporting,SQL vocabulary CHECK constraints,Reporting vocabulary is not constrained in SQL.,A) add CHECK constraints; B) enforce in code only; C) both,"B - a second copy of a vocabulary drifts, and it drifts in the dangerous direction. This is why the 15 Never-bootstrap-open actions were deliberately NOT duplicated as a CHECK constraint.",Schema hardening.,R4,Owner,R4 entry,OPEN
D-17,Reporting,Report Studio sequence,Whether authoring precedes or follows consumption.,A) Report Center first; B) Studio first; C) together,A - consumption before authoring. R4 delivers the Center; Studio follows.,Sequencing only.,R4,Owner,R4 entry,OPEN
D-19,Construction,DDL rollout environment,"construction_c1 DDL (8 tables) is authored and applied nowhere, while the C1 services ARE registered in Program.cs.",A) a dedicated non-production environment; B) shared dev; C) a production window,A - an approved non-production environment. The measurement must not run against shifting data.,Gates R2 construction activation and all of R7. No SQL executed in this increment.,"R2, R7",Owner,R2 entry,OPEN
D-20,Construction,M3 and M9 measurement result,The measurement script has not been run.,"Measure, then decide","Run the script in the D-19 environment. Stop automatically if M3 > 0, per the existing rule.",Gates C2 scope definition.,R7,Owner,R7 entry,OPEN
D-21,Construction,D-08 default mode per company,"The default commercial policy mode per company is unconfirmed. Modes: Warning, ApprovalRequired, HardBlock.",A) Warning; B) ApprovalRequired; C) HardBlock; D) per-company explicit with no default,"B - ApprovalRequired for unconfigured companies: safer than Warning, less operationally disruptive than HardBlock, and it requires explicit authority for overspend.",RECOMMENDATION ONLY - not approved. A silent default is how bootstrap-open happened.,R7,Owner,R7 entry,OPEN - recommendation recorded
D-23,Security,Inventory.purchase action split,"One action gates a PO draft, a goods receipt (creates stock) and a PO-to-invoice conversion (accounting effect) - three impact classes, one permission code.",A) keep closed whole; B) split into three codes; C) split into two,"B eventually - the single code cannot express three impacts. Kept closed whole for now, with the VOCABULARY DEFECT reason pinned by test so the decision cannot be reversed silently.",Permission vocabulary.,"R6, R9",Owner,R6 entry,OPEN - closed whole for now
D-24,Construction,Satellite-table consolidation timing,When to consolidate construction satellite tables.,A) before C2; B) during C4; C) never,A - consolidating after features are built on the current shape is far more expensive.,Schema shape.,R7,Owner,R7 entry,OPEN
D-25,Construction,C6 approval and C7 variation reroute,Header-only subcontract approval enforcement and the live VariationOrderService approval reroute are deferred.,A) as assessed - C6 and C7; B) earlier; C) later,A - as already assessed.,Sequencing.,R7,Owner,R7 entry,OPEN
D-26,Construction,Legacy concurrency strategy,Five legacy base tables lack concurrency control.,A) rowversion on all five; B) optimistic checks in services; C) accept the risk,A - the C1 work already proved the pattern.,Data integrity under concurrent commercial edits.,R7,Owner,R7 entry,OPEN
D-27,Platform,AI governance,"AiService and AiInsightsService exist with NO AI-specific authorization, behind a context that still has 143 unprotected actions.",A) governed dataset-only access; B) full read; C) disable until governed,"A - AI reads the reporting dataset layer, never raw tables.",Gates all AI work.,R12,Owner,R12 entry,OPEN
D-28,Platform,Search ownership,No search implementation exists; zero source files match.,A) platform-owned index; B) per-module search; C) external engine,"A - one index that honours per-module authorization AT QUERY TIME, not by filtering after retrieval.",Gates search.,R12,Owner,R12 entry,OPEN
D-29,Platform,Client portal isolation,The portal currently uses the constrained public catalog scope only.,A) extend the public scope; B) a dedicated ExternalPrincipalContext; C) a separate application,B - an external user is not an employee with fewer rights. Aligns with D-13.,Gates portals.,R11,Owner,R11 entry,OPEN
D-30,Platform,Mobile and offline policy,No agreed offline capability or conflict policy beyond POS sync.,"A) read-only offline; B) capture offline, sync online; C) full offline",B - matches the POS sync precedent without introducing offline selling.,Gates mobile.,R14,Owner,R14 entry,OPEN
D-31,Platform,Master Data ownership,"No owner for master entities shared across modules: Employee, Customer, Item, Supplier.",A) a platform-owned MDM; B) the originating module owns; C) per-entity ownership with a register,C - those four entities have genuinely different natural owners; a single MDM owner would be a fiction.,Gates Master Data work.,R6,Owner,R6 entry,OPEN
D-32,Platform,Task Management ownership and boundary,"Tasks already has a controller, 5 views, an access service, 7 SQL slices and 2 registered hosted services - it is not greenfield.","A) Tasks owns everything including its own timeline; B) split - Tasks owns state and rules, Communication owns collaboration; C) Communication absorbs Tasks","B - Tasks owns task entity, assignment, status, priority, due dates, dependencies, checklists, subtasks, escalation, time tracking and task-specific rules. Communication owns comments, mentions, attachments, reactions, followers, watchers, unified timeline rendering and notification generation contracts. Tasks PUBLISHES events to the shared timeline and must NOT maintain a second independent general timeline.","Prevents a second timeline implementation. Requires assessment of legacy task activity data before any migration. Work is integration and remediation, NOT greenfield task creation.",R5,Owner,Decided,APPROVED
D-33,Platform,Calendar ownership and boundary,"Calendar already has a service, controller and SQL slice - it is not greenfield.",A) Calendar owns all scheduling everywhere; B) Calendar owns calendar events and unified presentation only; C) each module owns its own calendar,"B - Calendar Platform owns calendar events, recurrence, attendees, meeting metadata, availability, reminders, resource booking, schedule views and external calendar integration contracts. Tasks owns task due dates and task scheduling rules. Projects and Construction own their domain schedules, milestones and activities. Communication owns event comments, mentions and timeline entries. Calendar may DISPLAY tasks but is not their source of truth.","Calendar provides unified presentation and coordination, not ownership of all scheduling data. Requires assessment of the existing service, controller and schema before modification. Do not rebuild from zero.",R5,Owner,Decided,APPROVED
D-35,Reporting,First production reporting dataset,No production module is bound as a live dataset. Business Events infrastructure and the Business Event Monitor already exist and are verified.,A) financial statements; B) stock valuation; C) sales analysis; D) Business Events / Platform Operations,"D - the Business Events / Platform Operations dataset, READ-ONLY. Lower commercial sensitivity than Accounting, Inventory or CRM; proves the full pipeline (dataset layer, filters, parameters, catalog, HTML, CSV, Excel, history, archive, permissions, row caps) without exposing ledger balances, stock costs or customer data; delivers operational value immediately.","Pilot fields: EventId, EventType, EventVersion, EntityType, EntityId, CompanyId, BranchId where available, OccurredAt, ActorId, CorrelationId, consumer states, failure state, retry count, dispatch timing, non-sensitive operational metadata. Full sensitive payload is NOT exposed by default.",R4,Owner,Decided,APPROVED
D-36,Platform,Canonical platform visual identity,crossbuy-brand.css currently overrides Metronic blue with ledger green and gold; CLAUDE.md records the contradiction as open.,A) green and gold; B) CrossBusiness Blue; C) selectable themes,"B - CrossBusiness Blue is the canonical platform identity. Platform shell, Workspace, Report Studio, administration consoles, Construction workspace and Communication UI all use blue. Green and gold remain permitted INSIDE financial charts, accounting reports, profit and loss indicators and domain-specific data visualizations - but are not the default shell identity.",All new screens use blue. Existing production UI and crossbuy-brand.css are NOT modified in this increment. Implementation path is D-37.,R3,Owner,Decided,APPROVED
D-37,Platform,BRAND-IMPLEMENTATION - legacy CSS migration,crossbuy-brand.css globally overrides Metronic blue with green and gold; 327 existing views render under it. D-36 makes blue canonical but changes no CSS.,"A) replace the current global green override now; B) apply blue to new screens first, then migrate legacy pages through an approved visual rollout; C) support selectable themes; D) retain legacy pages until individually redesigned","B - apply CrossBusiness Blue to all NEW screens first, then migrate legacy pages through an approved visual rollout. A global override flip would restyle 327 views at once with no design review.","Do NOT modify crossbuy-brand.css, existing production UI or CLAUDE.md in this increment. Specialized operational screens (POS, KDS, hyper lane, mobile attendance, storefront) keep their domain UX.",R3+,Owner,R3 entry,OPEN
D-38,Deployment,Canonical SQL deployment root,"Two trees: deploy/sql (57 slices, plus the generated fresh/ build and the operational purge and backup scripts) and CrossBuy/deploy/sql (60 slices, plus manifest.json). The manifest GENERATOR and the schema-history reporter both live at CrossBuy/deploy/. deploy/README.md states the authoritative provisioning method is BACKUP/RESTORE of CrossBuyDB2, not script replay, because EF migrations are broken and ~90 ad-hoc scripts in C:/temp built the schema.",A) deploy/sql canonical; B) CrossBuy/deploy/sql canonical; C) keep both with a manifest; D) a new third root,"B - CrossBuy/deploy/sql is the canonical AUTHORED-slice root, because the governance tooling (scan-sql-manifest.ps1, report-schema-history.ps1) and manifest.json already live beside it. deploy/ is retained and RE-LABELLED as the deployment PACKAGE root: generated artifacts (fresh/), operational scripts (backup, purge) and the server README - not an authoring root.","No file is moved or deleted in this increment. Migration of the 55 root-only module slices into the canonical root is an R1 action, executed slice by slice with hash verification.",R1,Owner,R1 entry,APPROVED - migration deferred to R1
D-39,Deployment,Divergent same-name slice reconciliation,"manifest.json already records 4 duplicateNames with identical=false and distinctHashes=2: pos_hold_recall, pos_order_guests, pos_quickmenu, pos_setup. It also flags 1 script as review (hm16_rename_grni.sql - unguarded, unread, DO NOT DEPLOY) and 1 as not-deployable (script.sql).",A) keep the newer by mtime; B) keep the canonical-root copy; C) diff and merge each pair deliberately; D) supersede both with a new reconciled slice,"C then D - each pair is diffed and read by its owner, then superseded by ONE reconciled slice with a new SliceId. Choosing by mtime or by location would be guessing about schema.","Until reconciled, 'apply pos_setup.sql' is ambiguous - the manifest says so explicitly. The review and not-deployable scripts must be resolved or formally excluded before any environment promotion.",R1,Owner,R1 entry,APPROVED - direction
D-40,Deployment,PlatformSchemaHistory canonical design,"platform_schema_history.sql is authored but applied nowhere, so the table meant to answer 'which slices are applied here' cannot answer it. manifest.json answers the AUTHORED side (115 scripts with SHA-256 and apply rank) but has no database-side counterpart.",A) trust the manifest alone; B) database-side applied record keyed by SliceId + SHA-256; C) external deployment log,"B - an applied record in each database: SliceId, filename, SHA-256, module, owner, dependencies, applied date, environment, result. The manifest is the authored registry; PlatformSchemaHistory is the applied registry. Neither replaces the other.","Enables drift detection: missing slice, changed applied slice, duplicate SliceId, same filename with a different hash, out-of-order dependency. Must be the FIRST slice applied in every environment.",R1,Owner,R1 entry,APPROVED - direction
D-41,Product,CrossBusiness Workspace as the first integrated product,Three platforms have zero user reach; the product has no unified front door.,A) module-by-module UI improvement; B) a unified workspace as the first product; C) defer any UI until all platforms are activated,"B - CrossBusiness Workspace is the first integrated user-facing product. It is NOT a new business module: it owns no Accounting, CRM, Task or Calendar data, orchestrates access through approved service contracts, must never bypass module permissions, uses CrossBusiness Blue, and requires an approved Metronic reference before UI implementation.",Defines R3. Workspace adds no permissions of its own - every read delegates to the owning module's access service.,R3,Owner,Decided,APPROVED
